episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A1_waste_cleared,A1_r_riverside,A1_r_beam,A1_r_cleared,A2_given,A2_received,A2_reward_env,A2_reward_total,A2_waste_cleared,A2_r_riverside,A2_r_beam,A2_r_cleared,time,reward_env_total
1000,500,50000,3.01e-02,2.07e-03,3.00e-01,2.72e-01,4.80,1.26e-03,7.41e-04,4.05e-04,2.07e-03,3.01e-02,1.70e+00,1.73e+00,0.90,3.50e-03,6.84e-03,8.38e-04,73,2.00e+00
2000,1000,100000,7.64e-03,1.08e-03,3.00e-01,2.93e-01,3.20,5.75e-04,2.93e-04,1.21e-04,1.08e-03,7.64e-03,1.40e+00,1.41e+00,0.30,3.20e-04,1.45e-03,6.52e-05,145,1.70e+00
3000,1500,150000,3.25e-03,6.96e-04,2.00e-01,1.97e-01,4.60,3.86e-04,2.60e-04,1.47e-04,6.96e-04,3.25e-03,2.90e+00,2.90e+00,0.30,5.79e-05,5.59e-04,1.55e-05,218,3.10e+00
4000,2000,200000,1.49e-03,7.39e-04,6.00e-01,5.99e-01,2.90,3.49e-04,2.65e-04,1.19e-04,7.39e-04,1.49e-03,1.20e+00,1.20e+00,0.50,9.20e-05,2.82e-04,1.63e-05,290,1.80e+00
5000,2500,250000,8.02e-04,1.04e-03,2.00e-01,2.00e-01,4.20,4.64e-04,3.53e-04,7.84e-05,1.04e-03,8.02e-04,2.10e+00,2.10e+00,0.10,2.26e-05,1.35e-04,1.71e-06,363,2.30e+00
6000,3000,300000,5.86e-04,1.28e-03,2.00e-01,2.01e-01,2.50,6.93e-04,4.05e-04,1.92e-04,1.28e-03,5.86e-04,9.00e-01,8.99e-01,0.50,2.28e-05,1.11e-04,6.34e-06,435,1.10e+00
7000,3500,350000,3.77e-04,1.90e+01,0.00e+00,1.90e+01,3.90,8.20e+00,1.88e+01,7.71e+00,1.90e+01,3.77e-04,1.70e+00,-1.73e+01,0.10,8.97e-06,5.78e-05,7.83e-07,508,1.70e+00
8000,4000,400000,1.02e-04,9.97e+01,0.00e+00,9.97e+01,38.70,9.97e+01,9.97e+01,7.73e+01,9.97e+01,1.02e-04,2.90e+01,-7.07e+01,0.00,0.00e+00,2.89e-07,0.00e+00,583,2.90e+01
9000,4500,450000,1.81e-05,2.20e+00,0.00e+00,2.20e+00,38.20,2.20e+00,2.20e+00,2.17e+00,2.20e+00,1.81e-05,2.91e+01,2.69e+01,0.00,0.00e+00,0.00e+00,0.00e+00,660,2.91e+01
10000,5000,500000,1.78e-05,3.00e+01,0.00e+00,3.00e+01,38.40,3.00e+01,3.00e+01,2.29e+01,3.00e+01,1.78e-05,3.20e+01,2.04e+00,0.00,0.00e+00,0.00e+00,0.00e+00,736,3.20e+01
11000,5500,550000,4.19e-07,2.21e+00,0.00e+00,2.21e+00,38.30,2.01e+00,2.21e+00,2.01e+00,2.21e+00,4.19e-07,3.32e+01,3.10e+01,0.00,0.00e+00,0.00e+00,0.00e+00,812,3.32e+01
12000,6000,600000,1.06e-07,2.00e+00,0.00e+00,2.00e+00,37.80,2.00e+00,2.00e+00,2.00e+00,2.00e+00,1.06e-07,3.42e+01,3.22e+01,0.00,0.00e+00,0.00e+00,0.00e+00,889,3.42e+01
13000,6500,650000,2.02e-07,9.98e+01,0.00e+00,9.98e+01,38.80,9.98e+01,9.98e+01,7.76e+01,9.98e+01,2.02e-07,3.42e+01,-6.56e+01,0.00,0.00e+00,0.00e+00,0.00e+00,965,3.42e+01
14000,7000,700000,6.26e-06,9.78e+01,0.00e+00,9.78e+01,37.10,9.78e+01,9.78e+01,7.42e+01,9.78e+01,6.26e-06,3.87e+01,-5.91e+01,0.00,0.00e+00,7.65e-08,0.00e+00,1040,3.87e+01
15000,7500,750000,2.31e-06,9.80e+01,0.00e+00,9.80e+01,37.50,9.80e+01,9.80e+01,7.50e+01,9.80e+01,2.31e-06,3.91e+01,-5.89e+01,0.00,0.00e+00,0.00e+00,0.00e+00,1115,3.91e+01
16000,8000,800000,1.55e-07,9.78e+01,0.00e+00,9.78e+01,37.50,9.78e+01,9.78e+01,7.50e+01,9.78e+01,1.55e-07,3.99e+01,-5.79e+01,0.00,0.00e+00,0.00e+00,0.00e+00,1190,3.99e+01
17000,8500,850000,1.58e-07,9.78e+01,0.00e+00,9.78e+01,37.20,9.78e+01,9.78e+01,7.44e+01,9.78e+01,1.58e-07,3.96e+01,-5.82e+01,0.00,0.00e+00,0.00e+00,0.00e+00,1265,3.96e+01
18000,9000,900000,6.16e-08,9.80e+01,0.00e+00,9.80e+01,36.00,9.80e+01,9.80e+01,7.20e+01,9.80e+01,6.16e-08,3.93e+01,-5.87e+01,0.00,0.00e+00,0.00e+00,0.00e+00,1341,3.93e+01
19000,9500,950000,5.77e-08,9.80e+01,0.00e+00,9.80e+01,37.30,9.80e+01,9.80e+01,7.46e+01,9.80e+01,5.77e-08,3.95e+01,-5.85e+01,0.00,0.00e+00,0.00e+00,0.00e+00,1416,3.95e+01
20000,10000,1000000,0.00e+00,9.80e+01,0.00e+00,9.80e+01,37.00,9.80e+01,9.80e+01,7.40e+01,9.80e+01,0.00e+00,3.88e+01,-5.92e+01,0.00,0.00e+00,0.00e+00,0.00e+00,1491,3.88e+01
