episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,steps_per_eps
100,100,646,3.528e+00,1.100e+00,8.000e-01,1.733e+00,2.005e+00,8.274e-01,3.965e-01,5.088e-01,8.000e+01,1.572e+00,1.100e+00,7.000e-01,2.005e+00,1.733e+00,8.691e-01,5.748e-01,5.613e-01,0.000e+00,2.50
200,200,1264,1.257e+00,1.000e+00,1.000e+00,1.540e+00,1.583e+00,7.474e-01,2.420e-01,5.507e-01,8.000e+01,3.343e+00,7.000e-01,1.100e+00,1.583e+00,1.540e+00,5.394e-01,4.153e-01,6.285e-01,0.000e+00,2.40
300,300,1938,3.824e-01,1.400e+00,8.000e-01,1.690e+00,2.508e+00,1.108e+00,4.143e-01,1.672e-01,6.000e+01,2.218e+00,1.100e+00,1.000e+00,2.508e+00,1.690e+00,1.075e+00,8.528e-01,5.801e-01,0.000e+00,3.30
400,400,2598,-1.229e+00,1.500e+00,9.000e-01,1.149e+00,1.377e+00,9.385e-01,1.071e-01,1.032e-01,6.000e+01,3.029e+00,9.000e-01,1.200e+00,1.377e+00,1.149e+00,6.545e-01,4.764e-01,2.466e-01,0.000e+00,3.30
500,500,3224,9.588e-01,9.000e-01,1.500e+00,1.202e+00,5.429e-01,8.675e-01,1.934e-01,1.407e-01,7.000e+01,2.641e+00,4.000e-01,1.500e+00,5.429e-01,1.202e+00,2.163e-01,1.542e-01,1.724e-01,0.000e+00,3.40
600,600,3887,1.737e+00,1.000e+00,1.400e+00,1.912e+00,1.075e+00,1.223e+00,1.896e-01,4.986e-01,6.000e+01,2.632e-01,9.000e-01,1.300e+00,1.075e+00,1.912e+00,7.123e-01,1.820e-01,1.806e-01,0.000e+00,3.60
700,700,4529,2.373e+00,8.000e-01,1.100e+00,2.357e+00,1.184e+00,1.341e+00,7.228e-01,2.932e-01,8.000e+01,1.827e+00,8.000e-01,1.700e+00,1.184e+00,2.357e+00,7.758e-01,1.841e-01,2.237e-01,0.000e+00,3.30
800,800,5132,3.895e+00,8.000e-01,1.300e+00,1.799e+00,1.503e+00,1.370e+00,2.269e-01,2.016e-01,7.000e+01,-2.953e-01,1.100e+00,1.100e+00,1.503e+00,1.799e+00,1.273e+00,1.154e-01,1.154e-01,0.000e+00,2.90
900,900,5727,1.180e+00,1.200e+00,1.300e+00,3.475e+00,1.895e+00,2.127e+00,7.546e-01,5.941e-01,8.000e+01,2.420e+00,7.000e-01,1.700e+00,1.895e+00,3.475e+00,9.228e-01,3.159e-01,6.566e-01,0.000e+00,3.70
1000,1000,6334,2.049e+00,1.000e+00,1.800e+00,3.346e+00,1.897e+00,1.773e+00,6.343e-01,9.391e-01,6.000e+01,-1.049e+00,7.000e-01,1.700e+00,1.897e+00,3.346e+00,1.008e+00,3.652e-01,5.243e-01,0.000e+00,4.00
1100,1100,6939,-1.332e-01,1.000e+00,9.000e-01,3.010e+00,2.844e+00,1.936e+00,6.740e-01,4.001e-01,6.000e+01,1.833e+00,7.000e-01,1.400e+00,2.844e+00,3.010e+00,1.231e+00,1.102e+00,5.105e-01,0.000e+00,3.70
1200,1200,7578,3.815e-01,1.100e+00,1.300e+00,2.004e+00,2.622e+00,1.643e+00,3.181e-01,4.293e-02,8.000e+01,3.719e+00,8.000e-01,1.600e+00,2.622e+00,2.004e+00,1.405e+00,2.064e-01,1.011e+00,0.000e+00,3.00
1300,1300,8197,2.150e+00,1.000e+00,7.000e-01,2.412e+00,2.961e+00,1.800e+00,4.253e-01,1.868e-01,8.000e+01,3.150e+00,9.000e-01,1.100e+00,2.961e+00,2.412e+00,1.653e+00,2.127e-01,1.096e+00,0.000e+00,2.60
1400,1400,8810,3.285e+00,8.000e-01,1.100e+00,1.878e+00,2.293e+00,1.550e+00,3.222e-01,5.327e-03,9.000e+01,2.515e+00,9.000e-01,1.500e+00,2.293e+00,1.878e+00,1.519e+00,7.032e-03,7.663e-01,0.000e+00,2.80
1500,1500,9462,7.477e-01,1.500e+00,7.000e-01,3.514e+00,1.966e+00,2.951e+00,4.961e-02,5.133e-01,1.000e+02,6.452e+00,5.000e-01,1.300e+00,1.966e+00,3.514e+00,8.772e-01,3.655e-01,7.237e-01,0.000e+00,2.50
1600,1600,10053,-9.422e-01,1.100e+00,7.000e-01,2.402e+00,1.345e+00,2.148e+00,2.536e-01,1.253e-03,8.000e+01,5.642e+00,3.000e-01,1.600e+00,1.345e+00,2.402e+00,5.503e-01,3.393e-01,4.550e-01,0.000e+00,2.90
1700,1700,10663,7.659e-01,1.300e+00,9.000e-01,2.556e+00,9.897e-01,2.438e+00,4.611e-03,1.130e-01,9.000e+01,5.534e+00,5.000e-01,1.400e+00,9.897e-01,2.556e+00,7.342e-01,8.939e-03,2.466e-01,0.000e+00,2.70
1800,1800,11302,2.601e+00,8.000e-01,1.700e+00,2.133e+00,1.631e+00,1.568e+00,1.556e-02,5.491e-01,9.000e+01,2.599e+00,8.000e-01,1.900e+00,1.631e+00,2.133e+00,1.084e+00,1.762e-01,3.711e-01,0.000e+00,3.40
1900,1900,11911,1.881e+00,1.200e+00,4.000e-01,2.993e+00,5.114e-01,2.386e+00,8.469e-02,5.218e-01,9.000e+01,4.519e+00,2.000e-01,1.700e+00,5.114e-01,2.993e+00,3.621e-01,3.804e-02,1.113e-01,0.000e+00,2.50
2000,2000,12504,9.748e-01,1.100e+00,6.000e-01,2.362e+00,8.875e-01,2.069e+00,2.745e-02,2.661e-01,9.000e+01,5.225e+00,4.000e-01,1.900e+00,8.875e-01,2.362e+00,4.889e-01,7.852e-03,3.907e-01,0.000e+00,2.60
2100,2100,13115,-5.367e-01,8.000e-01,1.100e+00,1.341e+00,9.775e-01,1.254e+00,4.291e-03,8.224e-02,6.000e+01,2.837e+00,6.000e-01,2.000e+00,9.775e-01,1.341e+00,5.520e-01,2.718e-01,1.537e-01,0.000e+00,3.20
2200,2200,13719,2.989e+00,8.000e-01,7.000e-01,2.362e+00,1.874e+00,1.585e+00,7.768e-01,2.075e-04,1.000e+02,4.111e+00,7.000e-01,1.500e+00,1.874e+00,2.362e+00,1.002e+00,5.778e-01,2.940e-01,0.000e+00,2.80
