episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A2_reward_total,A2_n_lever,A2_n_door,steps_per_eps
100,100,314,2.000e-01,1.400e+00,8.000e-01,3.100e+00,9.000e-01,1.000e+00,3.00
200,200,636,2.500e+00,8.000e-01,1.000e+00,2.600e+00,7.000e-01,8.000e-01,2.50
300,300,951,-1.200e+00,1.100e+00,1.200e+00,3.600e+00,4.000e-01,1.300e+00,3.10
400,400,1263,-1.200e+00,7.000e-01,1.900e+00,1.000e+00,4.000e-01,1.700e+00,3.60
500,500,1602,4.000e-01,8.000e-01,2.400e+00,-1.900e+00,7.000e-01,1.700e+00,3.90
600,600,1917,5.000e-01,6.000e-01,2.200e+00,2.000e+00,5.000e-01,2.100e+00,3.30
700,700,2239,6.000e-01,3.000e-01,3.700e+00,1.000e-01,3.000e-01,3.400e+00,4.10
800,800,2552,1.700e+00,0.000e+00,4.000e+00,-1.600e+00,3.000e-01,4.000e+00,4.50
900,900,2897,-4.000e-01,1.000e-01,4.300e+00,0.000e+00,1.000e-01,4.400e+00,4.60
1000,1000,3283,-1.800e+00,1.000e-01,4.600e+00,-1.200e+00,1.000e-01,4.900e+00,5.00
1100,1100,3683,-2.000e-01,0.000e+00,4.800e+00,-1.300e+00,1.000e-01,4.700e+00,4.90
1200,1200,4112,-1.100e+00,1.000e-01,4.600e+00,0.000e+00,0.000e+00,4.700e+00,4.70
1300,1300,4544,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
1400,1400,4992,0.000e+00,0.000e+00,4.700e+00,-1.200e+00,1.000e-01,4.500e+00,4.70
1500,1500,5436,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
1600,1600,5854,-1.000e+00,0.000e+00,5.000e+00,-1.200e+00,0.000e+00,4.900e+00,5.00
1700,1700,6294,-1.000e+00,0.000e+00,5.000e+00,-1.200e+00,0.000e+00,4.900e+00,5.00
1800,1800,6747,-1.000e+00,0.000e+00,5.000e+00,-1.200e+00,0.000e+00,4.900e+00,5.00
1900,1900,7200,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
2000,2000,7640,-1.000e+00,0.000e+00,5.000e+00,-1.000e+00,0.000e+00,5.000e+00,5.00
