episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,steps_per_eps
100,100,604,1.421e+00,1.000e+00,8.000e-01,1.745e+00,2.723e+00,7.163e-01,5.725e-01,4.561e-01,8.000e+01,3.479e+00,9.000e-01,1.000e+00,2.723e+00,1.745e+00,9.984e-01,7.406e-01,9.844e-01,0.000e+00,2.70
200,200,1236,1.943e+00,1.200e+00,1.200e+00,1.603e+00,2.760e+00,7.526e-01,2.941e-01,5.566e-01,7.000e+01,1.857e+00,1.000e+00,6.000e-01,2.760e+00,1.603e+00,1.072e+00,1.165e+00,5.237e-01,0.000e+00,3.00
300,300,1873,4.540e+00,1.000e+00,1.500e+00,6.398e-01,1.599e+00,3.753e-01,3.240e-02,2.320e-01,9.000e+01,1.360e+00,1.000e+00,7.000e-01,1.599e+00,6.398e-01,7.422e-01,5.339e-01,3.234e-01,0.000e+00,2.80
400,400,2502,3.864e+00,7.000e-01,1.200e+00,6.251e-01,1.261e+00,3.429e-01,1.182e-01,1.640e-01,9.000e+01,1.836e+00,9.000e-01,1.100e+00,1.261e+00,6.251e-01,7.149e-01,1.775e-01,3.690e-01,0.000e+00,2.50
500,500,3095,-4.343e-01,1.700e+00,6.000e-01,1.550e+00,1.084e+00,1.326e+00,1.504e-01,7.282e-02,8.000e+01,4.734e+00,1.000e+00,1.200e+00,1.084e+00,1.550e+00,6.561e-01,1.567e-01,2.711e-01,0.000e+00,2.90
600,600,3713,1.985e+00,1.100e+00,1.900e+00,1.014e+00,1.529e+00,7.185e-01,1.221e-01,1.732e-01,5.000e+01,-1.685e+00,1.000e+00,8.000e-01,1.529e+00,1.014e+00,1.221e+00,1.964e-01,1.123e-01,0.000e+00,3.50
700,700,4312,4.333e+00,5.000e-01,2.400e+00,4.710e-01,2.038e+00,4.007e-01,1.896e-02,5.131e-02,8.000e+01,-1.133e+00,1.200e+00,1.100e+00,2.038e+00,4.710e-01,1.759e+00,1.503e-01,1.295e-01,0.000e+00,3.40
800,800,4942,3.550e+00,7.000e-01,1.600e+00,1.046e+00,1.596e+00,9.122e-01,3.971e-03,1.300e-01,9.000e+01,2.050e+00,1.000e+00,1.100e+00,1.596e+00,1.046e+00,1.508e+00,2.656e-02,6.164e-02,0.000e+00,2.70
900,900,5567,1.149e+00,9.000e-01,1.400e+00,1.681e+00,1.533e+00,1.250e+00,8.528e-02,3.459e-01,7.000e+01,1.951e+00,7.000e-01,1.400e+00,1.533e+00,1.681e+00,1.338e+00,4.124e-02,1.540e-01,0.000e+00,3.10
1000,1000,6149,-2.399e-02,9.000e-01,2.000e+00,2.129e+00,2.653e+00,1.214e+00,2.294e-01,6.862e-01,5.000e+01,1.240e-01,1.100e+00,1.500e+00,2.653e+00,2.129e+00,2.138e+00,1.083e-01,4.076e-01,0.000e+00,3.70
1100,1100,6742,4.182e+00,3.000e-01,1.900e+00,7.317e-01,2.050e+00,5.334e-01,2.825e-02,1.701e-01,9.000e+01,1.018e+00,1.000e+00,1.400e+00,2.050e+00,7.317e-01,1.927e+00,9.493e-02,2.841e-02,0.000e+00,3.00
1200,1200,7339,5.438e+00,1.000e-01,1.800e+00,2.735e-01,1.735e+00,1.489e-01,6.174e-02,6.289e-02,9.000e+01,1.062e+00,9.000e-01,1.300e+00,1.735e+00,2.735e-01,1.722e+00,2.501e-03,1.053e-02,0.000e+00,2.40
1300,1300,7950,1.874e+00,7.000e-01,2.800e+00,1.832e+00,1.458e+00,1.198e+00,2.002e-01,4.342e-01,7.000e+01,5.257e-01,7.000e-01,1.900e+00,1.458e+00,1.832e+00,1.369e+00,5.728e-02,3.111e-02,0.000e+00,3.90
1400,1400,8540,5.396e+00,1.000e-01,2.300e+00,3.792e-01,1.984e+00,1.650e-01,3.475e-02,1.795e-01,8.000e+01,4.298e-03,1.000e+00,1.200e+00,1.984e+00,3.792e-01,1.967e+00,1.090e-02,5.232e-03,0.000e+00,3.10
1500,1500,9126,5.337e+00,3.000e-01,2.600e+00,1.585e+00,1.847e+00,5.870e-01,1.947e-01,8.030e-01,8.000e+01,-7.373e-01,9.000e-01,1.000e+00,1.847e+00,1.585e+00,1.788e+00,5.464e-02,5.141e-03,0.000e+00,3.10
1600,1600,9734,5.436e+00,0.000e+00,3.000e+00,2.121e-02,1.585e+00,0.000e+00,4.910e-03,1.630e-02,8.000e+01,-5.361e-01,8.000e-01,1.700e+00,1.585e+00,2.121e-02,1.573e+00,6.841e-03,5.114e-03,0.000e+00,3.30
1700,1700,10324,5.115e+00,3.000e-01,2.800e+00,1.387e+00,1.772e+00,5.800e-01,8.515e-03,7.985e-01,7.000e+01,-1.515e+00,9.000e-01,1.200e+00,1.772e+00,1.387e+00,1.751e+00,1.737e-02,3.403e-03,0.000e+00,3.40
