episode,step_train,step,A1_reward_total,A1_reward_env,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A1_total_energy,A1_reward_per_energy,A2_reward_total,A2_reward_env,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A2_total_energy,A2_reward_per_energy,steps_per_eps
500,500,3205,2.442e-01,3.000e-01,8.000e-01,6.000e-01,1.425e+00,1.481e+00,1.166e+00,1.172e-01,1.420e-01,6.000e+01,3.613e+00,3.656e-01,2.256e+00,2.200e+00,7.000e-01,1.000e+00,1.481e+00,1.425e+00,9.714e-01,3.089e-01,2.004e-01,0.000e+00,4.192e+00,1.106e+00,2.80
1000,1000,6361,6.215e-01,1.500e+00,6.000e-01,1.200e+00,1.398e+00,2.276e+00,1.191e+00,2.220e-02,1.844e-01,7.000e+01,5.107e+00,4.275e-01,3.178e+00,2.300e+00,7.000e-01,1.300e+00,2.276e+00,1.398e+00,1.380e+00,2.434e-01,6.529e-01,0.000e+00,4.687e+00,9.222e-01,3.00
1500,1500,9338,1.160e-01,7.000e-01,1.000e+00,1.500e+00,2.402e+00,2.986e+00,1.995e+00,1.772e-01,2.298e-01,6.000e+01,5.729e+00,6.686e-01,1.584e+00,1.000e+00,8.000e-01,2.200e+00,2.986e+00,2.402e+00,1.566e+00,2.065e-01,1.213e+00,0.000e+00,7.309e+00,2.009e-01,3.60
2000,2000,12330,-1.398e+00,-8.000e-01,1.200e+00,1.000e+00,2.399e+00,2.997e+00,2.393e+00,5.838e-03,5.220e-04,9.000e+01,3.572e+00,-2.316e-01,7.098e+00,6.500e+00,7.000e-01,1.900e+00,2.997e+00,2.399e+00,1.395e+00,1.995e-01,1.403e+00,0.000e+00,5.430e+00,1.741e+00,2.80
2500,2500,15337,1.496e+00,3.000e-01,8.000e-01,1.400e+00,1.598e+00,4.025e-01,1.598e+00,2.122e-06,6.992e-05,1.000e+02,3.858e+00,-8.349e-03,5.904e+00,7.100e+00,2.000e-01,2.200e+00,4.025e-01,1.598e+00,3.981e-01,0.000e+00,4.372e-03,0.000e+00,5.657e+00,1.715e+00,2.40
3000,3000,18362,-2.698e+00,-1.300e+00,7.000e-01,1.800e+00,1.402e+00,2.800e+00,1.399e+00,5.723e-05,2.418e-03,6.000e+01,6.829e+00,-3.561e-01,4.598e+00,3.200e+00,7.000e-01,2.900e+00,2.800e+00,1.402e+00,1.398e+00,3.637e-04,1.401e+00,0.000e+00,7.815e+00,8.021e-01,3.70
3500,3500,21336,-7.954e-01,-1.000e+00,5.000e-01,1.900e+00,1.006e+00,8.012e-01,9.998e-01,1.290e-05,6.012e-03,5.000e+01,6.158e+00,1.835e-02,2.395e+00,2.600e+00,2.000e-01,2.800e+00,8.012e-01,1.006e+00,3.997e-01,6.123e-04,4.009e-01,0.000e+00,7.702e+00,8.268e-01,3.30
4000,4000,24423,3.399e+00,3.600e+00,4.000e-01,1.800e+00,8.001e-01,1.001e+00,7.999e-01,3.663e-06,1.251e-04,9.000e+01,4.886e+00,5.750e-01,2.801e+00,2.600e+00,5.000e-01,1.700e+00,1.001e+00,8.001e-01,9.995e-01,4.122e-04,6.782e-04,0.000e+00,4.629e+00,8.880e-01,2.40
4500,4500,27577,1.199e+00,1.200e+00,5.000e-01,2.800e+00,1.000e+00,1.001e+00,9.999e-01,6.866e-06,8.172e-05,7.000e+01,8.100e+00,2.752e-01,2.301e+00,2.300e+00,5.000e-01,3.300e+00,1.001e+00,1.000e+00,9.998e-01,3.370e-04,1.030e-03,0.000e+00,8.743e+00,1.402e-01,4.00
5000,5000,30972,-1.496e-01,-2.000e-01,4.000e-01,3.100e+00,1.251e+00,1.201e+00,8.000e-01,9.278e-05,4.510e-01,5.000e+01,8.958e+00,-5.363e-02,1.750e+00,1.800e+00,3.000e-01,3.600e+00,1.201e+00,1.251e+00,5.999e-01,3.078e-04,6.005e-01,0.000e+00,9.698e+00,5.227e-01,4.00
