episode,step_train,step,A1_reward_total,A1_reward_env,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A1_total_energy,A1_reward_per_energy,A2_reward_total,A2_reward_env,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A2_total_energy,A2_reward_per_energy,steps_per_eps
500,500,3809,-1.551e+00,0.000e+00,0.000e+00,0.000e+00,4.755e-03,1.556e+00,0.000e+00,4.755e-03,0.000e+00,0.000e+00,6.865e+00,0.000e+00,-1.949e+00,-3.500e+00,9.000e-01,1.900e+00,1.556e+00,4.755e-03,8.824e-01,4.681e-01,2.052e-01,0.000e+00,7.716e+00,-4.576e-01,5.00
1000,1000,7770,-1.273e+00,0.000e+00,0.000e+00,0.000e+00,1.187e-03,1.274e+00,0.000e+00,1.187e-03,0.000e+00,0.000e+00,6.758e+00,0.000e+00,-2.727e+00,-4.000e+00,1.100e+00,2.200e+00,1.274e+00,1.187e-03,9.696e-01,2.583e-01,4.634e-02,0.000e+00,7.843e+00,-5.389e-01,5.00
1500,1500,11510,-5.949e+00,0.000e+00,0.000e+00,0.000e+00,8.145e-04,5.950e+00,0.000e+00,8.145e-04,0.000e+00,0.000e+00,7.782e+00,0.000e+00,2.549e+00,-3.400e+00,2.200e+00,2.000e+00,5.950e+00,8.145e-04,3.814e+00,8.080e-01,1.327e+00,0.000e+00,6.172e+00,-6.520e-01,5.00
2000,2000,15018,-3.904e+00,0.000e+00,0.000e+00,0.000e+00,1.466e-04,3.904e+00,0.000e+00,1.466e-04,0.000e+00,0.000e+00,7.031e+00,0.000e+00,7.039e-01,-3.200e+00,2.300e+00,1.500e+00,3.904e+00,1.466e-04,3.348e+00,2.101e-01,3.464e-01,0.000e+00,5.400e+00,-6.231e-01,5.00
2500,2500,18515,2.781e+00,5.800e+00,5.000e-01,1.500e+00,5.568e-03,3.024e+00,3.282e-03,1.832e-05,2.268e-03,9.000e+01,5.706e+00,1.378e+00,3.819e+00,8.000e-01,1.500e+00,1.000e+00,3.024e+00,5.568e-03,2.796e+00,1.949e-01,3.329e-02,0.000e+00,2.959e+00,5.071e-02,2.80
3000,3000,22026,5.092e+00,6.700e+00,3.000e-01,1.800e+00,8.397e-03,1.617e+00,4.899e-03,6.300e-04,2.869e-03,9.000e+01,5.388e+00,2.029e+00,1.008e+00,-6.000e-01,1.200e+00,1.100e+00,1.617e+00,8.397e-03,1.615e+00,3.603e-05,1.874e-03,0.000e+00,3.088e+00,-1.413e-01,2.50
3500,3500,24782,-7.917e+00,0.000e+00,0.000e+00,0.000e+00,3.232e-05,7.917e+00,0.000e+00,3.232e-05,0.000e+00,0.000e+00,8.571e+00,0.000e+00,6.117e+00,-1.800e+00,4.100e+00,5.000e-01,7.917e+00,3.232e-05,7.738e+00,1.786e-01,5.825e-04,0.000e+00,1.800e+00,-4.356e-01,5.00
4000,4000,27889,8.158e+00,9.900e+00,0.000e+00,1.100e+00,1.956e-05,1.742e+00,0.000e+00,5.449e-07,1.902e-05,1.000e+02,3.463e+00,3.083e+00,6.424e-01,-1.100e+00,1.300e+00,1.000e-01,1.742e+00,1.956e-05,1.742e+00,5.376e-06,3.366e-07,0.000e+00,3.857e-01,-1.556e-01,1.50
4500,4500,30285,9.849e+00,9.900e+00,1.000e-01,1.000e+00,2.507e-03,5.368e-02,8.142e-04,2.318e-07,1.692e-03,1.000e+02,2.832e+00,3.601e+00,-9.488e-01,-1.000e+00,1.300e+00,0.000e+00,5.368e-02,2.507e-03,5.368e-02,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.30
5000,5000,32757,-3.218e-02,0.000e+00,0.000e+00,0.000e+00,3.486e-06,3.218e-02,0.000e+00,3.486e-06,0.000e+00,0.000e+00,6.437e+00,0.000e+00,-1.168e+00,-1.200e+00,4.600e+00,3.000e-01,3.218e-02,3.486e-06,3.218e-02,1.606e-07,9.205e-08,0.000e+00,9.000e-01,-1.944e-01,5.00
5500,5500,35598,5.994e+00,6.000e+00,0.000e+00,6.000e-01,6.444e-07,6.500e-03,0.000e+00,2.694e-07,3.750e-07,6.000e+01,4.244e+00,2.204e+00,-1.494e+00,-1.500e+00,2.300e+00,1.000e-01,6.500e-03,6.444e-07,6.499e-03,1.328e-06,3.889e-09,0.000e+00,6.429e-01,-4.278e-01,2.70
6000,6000,37920,9.798e+00,9.800e+00,0.000e+00,1.500e+00,4.090e-06,1.585e-03,0.000e+00,1.140e-08,4.079e-06,1.000e+02,3.986e+00,3.226e+00,-1.298e+00,-1.300e+00,1.100e+00,3.000e-01,1.585e-03,4.090e-06,1.585e-03,6.095e-08,2.751e-09,0.000e+00,1.029e+00,-1.222e-01,1.60
6500,6500,40140,9.899e+00,9.900e+00,0.000e+00,1.100e+00,1.443e-06,1.111e-03,0.000e+00,0.000e+00,1.443e-06,1.000e+02,2.829e+00,3.675e+00,-9.989e-01,-1.000e+00,1.000e+00,0.000e+00,1.111e-03,1.443e-06,1.111e-03,4.767e-08,0.000e+00,0.000e+00,1.286e-01,-7.778e-02,1.10
7000,7000,42333,9.999e+00,1.000e+01,0.000e+00,1.000e+00,5.365e-07,7.942e-04,0.000e+00,0.000e+00,5.365e-07,1.000e+02,2.571e+00,3.889e+00,-9.992e-01,-1.000e+00,1.000e+00,0.000e+00,7.942e-04,5.365e-07,7.942e-04,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.00
7500,7500,44503,9.899e+00,9.900e+00,0.000e+00,1.200e+00,1.350e-06,5.165e-04,0.000e+00,6.929e-09,1.343e-06,1.000e+02,3.214e+00,3.487e+00,-9.995e-01,-1.000e+00,1.100e+00,0.000e+00,5.165e-04,1.350e-06,5.165e-04,2.360e-08,0.000e+00,0.000e+00,2.571e-01,-3.889e-02,1.30
8000,8000,47016,-2.678e-03,0.000e+00,0.000e+00,0.000e+00,2.441e-07,2.678e-03,0.000e+00,2.441e-07,0.000e+00,0.000e+00,6.429e+00,0.000e+00,-9.973e-01,-1.000e+00,4.900e+00,0.000e+00,2.678e-03,2.441e-07,2.678e-03,1.858e-08,0.000e+00,0.000e+00,1.286e-01,-7.778e-02,5.00
