episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,A4_reward_total,A4_n_lever,A4_n_door,A4_received,A4_given,A4_r-lever,A4_r-start,A4_r-door,A4_win_rate,steps_per_eps
100,100,589,6.547e-02,1.400e+00,9.000e-01,1.048e+01,1.042e+01,4.602e+00,3.191e+00,2.691e+00,9.000e+01,6.639e+00,5.000e-01,1.000e+00,1.500e+01,9.766e+00,2.335e+00,8.098e+00,4.572e+00,0.000e+00,2.157e+00,1.200e+00,1.500e+00,1.320e+01,9.738e+00,4.773e+00,2.722e+00,5.700e+00,0.000e+00,-4.562e+00,7.000e-01,2.200e+00,3.880e+00,1.264e+01,1.015e+00,5.915e-01,2.273e+00,0.000e+00,3.40
200,200,1206,5.086e-01,5.000e-01,1.200e+00,7.317e+00,7.909e+00,1.718e+00,2.119e+00,3.480e+00,7.000e+01,3.584e+00,3.000e-01,6.000e-01,8.638e+00,7.054e+00,1.118e+00,5.536e+00,1.984e+00,0.000e+00,-4.181e+00,9.000e-01,8.000e-01,6.420e+00,8.800e+00,2.710e+00,1.770e+00,1.939e+00,0.000e+00,2.288e+00,6.000e-01,1.000e+00,7.667e+00,6.279e+00,1.873e+00,2.429e+00,3.365e+00,0.000e+00,2.40
300,300,1807,5.464e-01,5.000e-01,9.000e-01,5.789e+00,8.143e+00,1.729e+00,1.996e+00,2.064e+00,8.000e+01,4.814e+00,7.000e-01,6.000e-01,1.092e+01,5.603e+00,3.117e+00,5.409e+00,2.392e+00,0.000e+00,-9.047e-01,6.000e-01,1.300e+00,6.100e+00,8.105e+00,1.897e+00,1.401e+00,2.803e+00,0.000e+00,3.445e-01,1.000e+00,9.000e-01,5.216e+00,6.172e+00,2.827e+00,1.306e+00,1.084e+00,0.000e+00,2.60
400,400,2434,2.064e+00,1.000e+00,1.100e+00,8.440e+00,6.776e+00,3.930e+00,1.652e+00,2.859e+00,7.000e+01,3.282e+00,5.000e-01,9.000e-01,9.345e+00,7.563e+00,2.007e+00,4.339e+00,2.998e+00,0.000e+00,-1.190e+01,1.000e+00,1.000e+00,2.590e+00,1.309e+01,1.434e+00,5.432e-01,6.128e-01,0.000e+00,1.055e+01,1.000e+00,1.300e+00,1.156e+01,4.513e+00,4.446e+00,2.088e+00,5.031e+00,0.000e+00,2.90
500,500,3132,-2.387e+00,7.000e-01,1.600e+00,6.749e+00,9.435e+00,2.946e+00,1.276e+00,2.527e+00,6.000e+01,4.953e+00,4.000e-01,1.300e+00,1.093e+01,7.178e+00,1.788e+00,4.663e+00,4.480e+00,0.000e+00,-6.138e+00,1.100e+00,9.000e-01,6.496e+00,1.283e+01,3.752e+00,1.630e+00,1.113e+00,0.000e+00,2.772e+00,1.400e+00,1.100e+00,1.080e+01,5.532e+00,6.113e+00,2.321e+00,2.370e+00,0.000e+00,3.40
600,600,3767,6.610e-01,7.000e-01,1.500e+00,2.310e+00,3.148e+00,1.618e+00,1.515e-01,5.404e-01,8.000e+01,-5.539e-01,3.000e-01,5.000e-01,2.740e+00,4.594e+00,6.393e-01,1.456e+00,6.440e-01,0.000e+00,5.305e+00,1.200e+00,1.200e+00,8.173e+00,2.868e+00,5.506e+00,1.038e+00,1.629e+00,0.000e+00,-1.212e+00,1.000e+00,1.500e+00,1.136e+00,3.749e+00,8.493e-01,3.692e-02,2.502e-01,0.000e+00,2.80
700,700,4375,-1.248e+00,6.000e-01,2.300e+00,2.478e+00,2.326e+00,1.373e+00,2.750e-01,8.303e-01,4.000e+01,-1.102e+00,1.000e-01,1.500e+00,2.341e+00,3.343e+00,3.011e-01,1.111e+00,9.290e-01,0.000e+00,-7.965e-01,1.200e+00,1.900e+00,2.645e+00,2.341e+00,2.337e+00,7.366e-02,2.337e-01,0.000e+00,3.465e-01,9.000e-01,2.100e+00,2.426e+00,1.880e+00,1.646e+00,2.511e-01,5.291e-01,0.000e+00,3.70
800,800,5034,1.363e+00,1.000e+00,1.100e+00,4.004e+00,3.541e+00,2.926e+00,5.725e-01,5.063e-01,8.000e+01,8.213e-01,5.000e-01,1.400e+00,5.343e+00,4.321e+00,1.948e+00,1.090e+00,2.304e+00,0.000e+00,-2.976e+00,6.000e-01,2.100e+00,1.346e+00,4.422e+00,9.224e-01,1.717e-01,2.516e-01,0.000e+00,9.912e-01,1.500e+00,1.300e+00,4.813e+00,3.222e+00,3.949e+00,4.731e-01,3.917e-01,0.000e+00,3.40
900,900,5669,1.040e+00,7.000e-01,2.100e+00,4.334e+00,4.794e+00,2.833e+00,2.347e-01,1.267e+00,6.000e+01,2.678e-01,2.000e-01,1.100e+00,3.531e+00,5.164e+00,9.677e-01,1.144e+00,1.420e+00,0.000e+00,1.147e+00,8.000e-01,1.400e+00,5.484e+00,4.137e+00,3.841e+00,8.042e-01,8.391e-01,0.000e+00,-1.055e+00,1.300e+00,1.300e+00,4.972e+00,4.227e+00,4.605e+00,1.910e-01,1.761e-01,0.000e+00,3.20
1000,1000,6339,-1.327e+00,8.000e-01,1.600e+00,3.979e+00,4.007e+00,3.218e+00,1.549e-01,6.064e-01,7.000e+01,6.859e-01,9.000e-01,1.600e+00,6.453e+00,4.067e+00,4.160e+00,5.472e-01,1.745e+00,0.000e+00,-1.034e+00,1.000e+00,1.500e+00,4.752e+00,5.385e+00,3.987e+00,3.043e-01,4.601e-01,0.000e+00,1.575e+00,3.000e-01,2.200e+00,3.588e+00,5.313e+00,1.632e+00,1.430e+00,5.263e-01,0.000e+00,3.30
1100,1100,6949,-7.975e-01,7.000e-01,2.200e+00,3.745e+00,5.542e+00,2.496e+00,1.808e-01,1.068e+00,7.000e+01,-2.117e-01,5.000e-01,2.000e+00,2.544e+00,4.156e+00,1.769e+00,1.763e-01,5.990e-01,0.000e+00,-1.736e+00,9.000e-01,1.800e+00,4.094e+00,4.930e+00,3.443e+00,2.052e-01,4.464e-01,0.000e+00,3.245e+00,1.100e+00,1.400e+00,7.833e+00,3.588e+00,5.582e+00,1.130e+00,1.120e+00,0.000e+00,3.30
1200,1200,7526,6.592e-01,6.000e-01,1.800e+00,4.260e+00,4.901e+00,1.817e+00,3.533e-01,2.090e+00,8.000e+01,-2.441e+00,8.000e-01,9.000e-01,2.755e+00,4.497e+00,2.467e+00,5.940e-02,2.293e-01,0.000e+00,8.261e+00,1.100e+00,1.400e+00,9.774e+00,1.913e+00,6.302e+00,6.965e-01,2.776e+00,0.000e+00,-7.787e-01,6.000e-01,1.800e+00,2.668e+00,8.147e+00,2.346e+00,3.077e-02,2.911e-01,0.000e+00,2.80
1300,1300,8091,2.470e+00,6.000e-01,1.400e+00,7.717e+00,5.647e+00,3.364e+00,1.263e+00,3.090e+00,8.000e+01,-5.337e+00,3.000e-01,1.000e+00,1.753e+00,7.790e+00,1.247e+00,2.346e-01,2.718e-01,0.000e+00,1.166e+00,1.500e+00,8.000e-01,9.200e+00,8.534e+00,8.279e+00,4.301e-01,4.907e-01,0.000e+00,4.901e+00,1.000e+00,1.000e+00,8.699e+00,5.397e+00,5.721e+00,7.379e-01,2.240e+00,0.000e+00,2.50
1400,1400,8677,2.046e+00,1.000e+00,1.100e+00,4.714e+00,4.068e+00,3.937e+00,2.248e-01,5.527e-01,9.000e+01,5.676e-01,3.000e-01,1.800e+00,1.544e+00,5.377e+00,8.885e-01,1.035e-01,5.521e-01,0.000e+00,1.141e-01,1.300e+00,7.000e-01,4.974e+00,3.060e+00,4.794e+00,1.484e-01,3.112e-02,0.000e+00,2.672e+00,8.000e-01,1.200e+00,5.407e+00,4.135e+00,3.933e+00,1.155e+00,3.190e-01,0.000e+00,2.70
1500,1500,9285,2.059e+00,6.000e-01,2.100e+00,6.253e+00,8.694e+00,3.536e+00,2.453e-01,2.472e+00,8.000e+01,6.051e+00,6.000e-01,1.300e+00,1.058e+01,6.925e+00,3.144e+00,3.012e+00,4.420e+00,0.000e+00,-6.527e+00,1.800e+00,7.000e-01,7.152e+00,1.248e+01,6.946e+00,1.666e-01,3.921e-02,0.000e+00,3.517e+00,1.400e+00,1.400e+00,9.835e+00,5.718e+00,7.657e+00,4.459e-01,1.732e+00,0.000e+00,3.00
1600,1600,9757,-9.383e-01,7.000e-01,2.200e+00,4.178e+00,6.916e+00,3.471e+00,1.093e-02,6.957e-01,7.000e+01,7.377e+00,4.000e-01,2.600e+00,1.000e+01,4.328e+00,2.331e+00,1.094e+00,6.580e+00,0.000e+00,-5.416e+00,2.000e+00,1.000e+00,5.180e+00,9.597e+00,5.154e+00,2.184e-02,4.102e-03,0.000e+00,1.478e+00,1.000e+00,2.000e+00,5.710e+00,4.233e+00,4.781e+00,6.867e-02,8.605e-01,0.000e+00,3.40
1700,1700,10241,4.953e+00,6.000e-01,6.000e-01,4.169e+00,3.616e+00,3.346e+00,0.000e+00,8.235e-01,1.000e+02,5.711e+00,2.000e-01,7.000e-01,3.960e+00,3.949e+00,1.167e+00,8.838e-01,1.909e+00,0.000e+00,-1.280e+00,1.000e+00,1.000e-01,5.640e+00,5.919e+00,5.482e+00,1.477e-01,9.415e-03,0.000e+00,2.216e+00,5.000e-01,3.000e-01,3.813e+00,4.097e+00,2.833e+00,7.330e-01,2.474e-01,0.000e+00,1.20
1800,1800,10697,3.421e+00,4.000e-01,1.000e+00,3.480e+00,4.359e+00,2.311e+00,4.034e-01,7.660e-01,9.000e+01,4.249e+00,0.000e+00,1.500e+00,2.302e+00,4.553e+00,0.000e+00,3.937e-01,1.908e+00,0.000e+00,4.553e-01,1.400e+00,2.000e-01,7.235e+00,5.680e+00,7.203e+00,2.631e-02,6.254e-03,0.000e+00,1.275e+00,8.000e-01,6.000e-01,5.027e+00,3.452e+00,4.238e+00,3.490e-01,4.402e-01,0.000e+00,1.80
