episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,steps_per_eps
100,100,641,4.931e+00,7.000e-01,1.100e+00,1.408e+00,1.676e+00,5.816e-01,1.288e-01,6.971e-01,9.000e+01,2.269e+00,9.000e-01,5.000e-01,1.676e+00,1.408e+00,7.637e-01,5.039e-01,4.087e-01,0.000e+00,2.00
200,200,1251,4.084e+00,9.000e-01,1.200e+00,1.781e+00,1.997e+00,7.112e-01,6.355e-01,4.341e-01,9.000e+01,9.163e-01,1.500e+00,1.100e+00,1.997e+00,1.781e+00,9.749e-01,4.355e-01,5.867e-01,0.000e+00,3.30
300,300,1887,1.583e+00,1.000e+00,1.100e+00,9.409e-01,5.575e-01,5.362e-01,1.564e-01,2.483e-01,8.000e+01,3.317e+00,8.000e-01,9.000e-01,5.575e-01,9.409e-01,3.209e-01,1.390e-01,9.763e-02,0.000e+00,2.60
400,400,2508,2.113e-02,8.000e-01,1.200e+00,8.805e-01,4.594e-01,4.365e-01,2.697e-01,1.742e-01,6.000e+01,1.979e+00,6.000e-01,1.300e+00,4.594e-01,8.805e-01,2.176e-01,1.624e-01,7.937e-02,0.000e+00,3.40
500,500,3151,1.909e-03,1.300e+00,1.700e+00,8.006e-01,5.987e-01,5.123e-01,1.746e-01,1.137e-01,5.000e+01,-3.019e-01,1.100e+00,1.900e+00,5.987e-01,8.006e-01,4.258e-01,7.329e-02,9.959e-02,0.000e+00,4.00
600,600,3797,2.992e+00,1.200e+00,1.000e+00,1.114e+00,6.223e-01,8.972e-01,9.304e-02,1.239e-01,1.000e+02,4.108e+00,6.000e-01,1.400e+00,6.223e-01,1.114e+00,4.499e-01,7.223e-02,1.002e-01,0.000e+00,2.70
700,700,4426,-1.847e+00,1.300e+00,1.100e+00,1.127e+00,4.739e-01,9.598e-01,8.993e-02,7.755e-02,8.000e+01,5.647e+00,5.000e-01,1.900e+00,4.739e-01,1.127e+00,3.712e-01,5.665e-02,4.598e-02,0.000e+00,3.30
800,800,5038,2.089e+00,6.000e-01,1.700e+00,1.941e-01,1.505e+00,1.100e-01,4.514e-02,3.891e-02,8.000e+01,2.511e+00,1.100e+00,1.500e+00,1.505e+00,1.941e-01,1.356e+00,1.119e-01,3.696e-02,0.000e+00,3.00
900,900,5666,5.402e-01,9.000e-01,1.800e+00,7.687e-01,1.529e+00,6.803e-01,1.881e-02,6.966e-02,7.000e+01,2.960e+00,7.000e-01,1.400e+00,1.529e+00,7.687e-01,1.114e+00,2.211e-01,1.933e-01,0.000e+00,3.10
1000,1000,6283,1.521e+00,8.000e-01,1.900e+00,7.049e-01,2.284e+00,5.956e-01,5.468e-02,5.461e-02,5.000e+01,-6.213e-01,9.000e-01,8.000e-01,2.284e+00,7.049e-01,1.613e+00,5.458e-01,1.250e-01,0.000e+00,3.40
1100,1100,6905,9.032e-01,6.000e-01,2.300e+00,9.527e-01,3.049e+00,6.701e-01,8.777e-02,1.948e-01,7.000e+01,1.597e+00,1.000e+00,1.400e+00,3.049e+00,9.527e-01,1.857e+00,8.584e-01,3.342e-01,0.000e+00,3.50
1200,1200,7474,3.999e+00,7.000e-01,2.300e+00,1.459e+00,1.660e+00,1.029e+00,1.333e-01,2.965e-01,8.000e+01,7.012e-01,9.000e-01,1.400e+00,1.660e+00,1.459e+00,1.628e+00,2.411e-02,7.504e-03,0.000e+00,3.30
1300,1300,8097,3.689e+00,2.000e-01,2.300e+00,6.549e-01,1.566e+00,3.268e-01,1.100e-01,2.181e-01,8.000e+01,1.011e+00,9.000e-01,1.600e+00,1.566e+00,6.549e-01,1.557e+00,3.692e-03,5.438e-03,0.000e+00,2.90
1400,1400,8716,1.105e+00,6.000e-01,2.500e+00,2.413e+00,9.079e-01,1.031e+00,5.899e-01,7.923e-01,5.000e+01,-7.049e-01,2.000e-01,2.000e+00,9.079e-01,2.413e+00,3.974e-01,4.378e-01,7.272e-02,0.000e+00,3.80
1500,1500,9346,4.149e+00,3.000e-01,1.700e+00,7.368e-01,1.188e+00,5.183e-01,2.083e-01,1.023e-02,8.000e+01,8.508e-01,6.000e-01,1.000e+00,1.188e+00,7.368e-01,1.175e+00,1.196e-02,4.370e-04,0.000e+00,2.50
1600,1600,9975,2.792e+00,3.000e-01,2.300e+00,1.257e+00,2.065e+00,5.329e-01,4.306e-01,2.939e-01,7.000e+01,1.108e+00,9.000e-01,1.900e+00,2.065e+00,1.257e+00,1.782e+00,3.747e-03,2.799e-01,0.000e+00,3.10
1700,1700,10641,2.831e+00,2.000e-01,2.600e+00,8.855e-01,1.855e+00,3.557e-01,3.821e-01,1.476e-01,6.000e+01,6.916e-02,6.000e-01,1.700e+00,1.855e+00,8.855e-01,1.191e+00,2.647e-01,3.987e-01,0.000e+00,3.40
1800,1800,11307,2.658e+00,2.000e-01,2.900e+00,3.409e+00,3.050e+00,3.858e-01,1.478e+00,1.545e+00,5.000e+01,-2.058e+00,7.000e-01,2.400e+00,3.050e+00,3.409e+00,1.373e+00,5.956e-01,1.081e+00,0.000e+00,4.10
1900,1900,11930,4.300e+00,4.000e-01,2.400e+00,1.782e+00,2.382e+00,7.764e-01,0.000e+00,1.006e+00,8.000e+01,8.997e-01,8.000e-01,1.500e+00,2.382e+00,1.782e+00,1.586e+00,5.502e-03,7.906e-01,0.000e+00,2.80
2000,2000,12587,8.136e-01,3.000e-01,2.700e+00,1.727e+00,3.314e+00,5.799e-01,3.608e-01,7.866e-01,5.000e+01,8.637e-02,8.000e-01,2.000e+00,3.314e+00,1.727e+00,1.582e+00,2.005e-01,1.532e+00,0.000e+00,3.50
2100,2100,13255,2.221e+00,4.000e-01,1.800e+00,1.752e+00,1.831e+00,7.932e-01,7.012e-01,2.578e-01,8.000e+01,2.679e+00,7.000e-01,1.700e+00,1.831e+00,1.752e+00,1.382e+00,4.513e-03,4.439e-01,0.000e+00,2.90
2200,2200,13889,1.826e+00,5.000e-01,2.500e+00,2.027e+00,1.300e+00,9.751e-01,6.015e-01,4.500e-01,6.000e+01,9.738e-01,4.000e-01,2.800e+00,1.300e+00,2.027e+00,7.799e-01,3.252e-03,5.172e-01,0.000e+00,3.50
2300,2300,14553,2.379e+00,3.000e-01,2.600e+00,1.396e+00,1.317e+00,5.820e-01,7.709e-01,4.308e-02,6.000e+01,2.060e-02,6.000e-01,2.100e+00,1.317e+00,1.396e+00,1.124e+00,3.620e-02,1.562e-01,0.000e+00,3.60
2400,2400,15197,5.428e+00,1.000e-01,2.100e+00,1.966e+00,2.338e+00,2.000e-01,7.878e-01,9.780e-01,8.000e+01,-5.278e-01,9.000e-01,1.700e+00,2.338e+00,1.966e+00,1.756e+00,3.628e-03,5.781e-01,0.000e+00,2.90
2500,2500,15862,4.602e+00,1.000e-01,2.900e+00,2.050e-01,1.403e+00,1.954e-01,1.970e-03,7.623e-03,8.000e+01,3.978e-01,7.000e-01,2.100e+00,1.403e+00,2.050e-01,1.384e+00,1.620e-02,3.108e-03,0.000e+00,3.20
2600,2600,16500,3.145e+00,7.000e-01,2.500e+00,4.246e+00,1.801e+00,1.395e+00,1.031e+00,1.820e+00,6.000e+01,-1.145e+00,6.000e-01,2.900e+00,1.801e+00,4.246e+00,1.183e+00,1.731e-02,6.011e-01,0.000e+00,3.90
2700,2700,17169,5.982e-01,8.000e-01,2.400e+00,3.597e+00,1.599e+00,1.591e+00,9.983e-01,1.007e+00,6.000e+01,9.018e-01,4.000e-01,2.700e+00,1.599e+00,3.597e+00,7.911e-01,1.374e-02,7.941e-01,0.000e+00,3.90
2800,2800,17872,3.143e+00,2.000e-01,2.500e+00,2.249e+00,6.059e-01,3.978e-01,8.549e-01,9.967e-01,5.000e+01,-1.043e+00,3.000e-01,2.000e+00,6.059e-01,2.249e+00,5.979e-01,7.636e-03,3.611e-04,0.000e+00,3.30
2900,2900,18519,2.213e+00,2.000e-01,2.800e+00,2.006e+00,1.793e+00,3.986e-01,8.669e-01,7.402e-01,5.000e+01,-1.314e-02,5.000e-01,2.600e+00,1.793e+00,2.006e+00,9.976e-01,2.469e-04,7.948e-01,0.000e+00,3.50
3000,3000,19169,3.873e+00,2.000e-01,2.600e+00,1.951e+00,2.578e+00,3.956e-01,1.019e+00,5.357e-01,6.000e+01,-9.729e-01,9.000e-01,2.000e+00,2.578e+00,1.951e+00,1.782e+00,5.038e-03,7.905e-01,0.000e+00,3.40
3100,3100,19788,1.688e+00,2.000e-01,2.300e+00,9.765e-01,1.789e+00,3.987e-01,2.603e-01,3.175e-01,6.000e+01,9.123e-01,5.000e-01,1.800e+00,1.789e+00,9.765e-01,9.871e-01,2.032e-01,5.985e-01,0.000e+00,3.10
3200,3200,20424,3.795e+00,1.000e-01,2.300e+00,7.813e-01,1.987e+00,1.960e-01,1.501e-01,4.352e-01,6.000e+01,-4.947e-01,7.000e-01,1.600e+00,1.987e+00,7.813e-01,1.388e+00,3.715e-03,5.948e-01,0.000e+00,2.80
3300,3300,21057,2.313e+00,1.000e-01,3.400e+00,6.208e-01,8.076e-01,1.999e-01,2.812e-01,1.397e-01,5.000e+01,-8.132e-01,4.000e-01,2.300e+00,8.076e-01,6.208e-01,7.945e-01,1.235e-02,8.035e-04,0.000e+00,3.90
3400,3400,21715,4.188e+00,4.000e-01,2.800e+00,3.681e+00,1.793e+00,7.978e-01,9.850e-01,1.898e+00,4.000e+01,-3.488e+00,5.000e-01,3.000e+00,1.793e+00,3.681e+00,9.903e-01,4.822e-03,7.977e-01,0.000e+00,3.80
3500,3500,22372,5.701e+00,1.000e-01,2.400e+00,5.995e-01,1.599e+00,1.993e-01,2.017e-01,1.986e-01,8.000e+01,-7.010e-01,8.000e-01,1.400e+00,1.599e+00,5.995e-01,1.591e+00,7.039e-03,8.601e-04,0.000e+00,2.80
3600,3600,23049,3.841e+00,1.000e-01,3.100e+00,2.357e-01,1.194e+00,1.990e-01,2.171e-02,1.502e-02,7.000e+01,2.588e-01,6.000e-01,2.300e+00,1.194e+00,2.357e-01,1.189e+00,4.937e-03,5.649e-04,0.000e+00,3.30
3700,3700,23684,2.872e+00,3.000e-01,3.100e+00,2.987e+00,3.415e+00,5.977e-01,5.157e-01,1.873e+00,6.000e+01,-6.718e-01,8.000e-01,2.600e+00,3.415e+00,2.987e+00,1.589e+00,3.374e-02,1.792e+00,0.000e+00,3.80
3800,3800,24321,5.249e+00,4.000e-01,2.300e+00,3.568e+00,2.219e+00,8.000e-01,9.557e-01,1.812e+00,7.000e+01,-8.488e-01,8.000e-01,2.200e+00,2.219e+00,3.568e+00,1.597e+00,2.024e-02,6.015e-01,0.000e+00,3.20
3900,3900,24997,4.849e+00,1.000e-01,2.900e+00,1.983e+00,2.334e+00,1.999e-01,5.981e-01,1.185e+00,7.000e+01,-5.494e-01,7.000e-01,2.100e+00,2.334e+00,1.983e+00,1.397e+00,1.266e-01,8.102e-01,0.000e+00,3.30
4000,4000,25656,4.477e+00,3.000e-01,2.500e+00,2.959e+00,3.182e+00,5.998e-01,7.728e-01,1.586e+00,7.000e+01,-6.767e-01,8.000e-01,2.200e+00,3.182e+00,2.959e+00,1.597e+00,1.825e-01,1.402e+00,0.000e+00,3.30
4100,4100,26339,5.246e+00,1.000e-01,1.800e+00,1.371e+00,2.225e+00,1.998e-01,3.454e-01,8.260e-01,7.000e+01,-6.463e-01,8.000e-01,1.100e+00,2.225e+00,1.371e+00,1.599e+00,1.850e-01,4.405e-01,0.000e+00,2.20
4200,4200,26976,4.794e+00,4.000e-01,2.200e+00,2.399e+00,1.505e+00,7.991e-01,3.985e-01,1.202e+00,8.000e+01,7.058e-01,6.000e-01,1.600e+00,1.505e+00,2.399e+00,1.153e+00,1.975e-01,1.543e-01,0.000e+00,2.80
4300,4300,27614,4.948e+00,1.000e-01,2.500e+00,2.209e+00,2.261e+00,1.997e-01,4.303e-01,1.579e+00,6.000e+01,-1.048e+00,6.000e-01,1.600e+00,2.261e+00,2.209e+00,1.200e+00,1.049e+00,1.200e-02,0.000e+00,3.00
4400,4400,28272,-6.712e-01,3.000e-01,3.500e+00,8.385e-01,2.110e+00,5.988e-01,2.542e-02,2.143e-01,4.000e+01,1.371e+00,3.000e-01,2.600e+00,2.110e+00,8.385e-01,5.948e-01,1.163e+00,3.520e-01,0.000e+00,3.90
4500,4500,28927,4.179e+00,2.000e-01,2.600e+00,4.065e-01,1.327e+00,3.994e-01,0.000e+00,7.096e-03,8.000e+01,1.621e+00,6.000e-01,2.100e+00,1.327e+00,4.065e-01,1.185e+00,1.418e-01,4.342e-04,0.000e+00,2.80
4600,4600,29619,5.235e+00,2.000e-01,3.500e+00,2.972e+00,1.636e+00,3.999e-01,3.991e-01,2.173e+00,6.000e+01,-2.235e+00,5.000e-01,2.700e+00,1.636e+00,2.972e+00,9.901e-01,6.206e-01,2.576e-02,0.000e+00,3.90
4700,4700,30306,3.141e+00,2.000e-01,3.600e+00,2.871e+00,2.030e+00,3.993e-01,4.794e-01,1.992e+00,4.000e+01,-2.541e+00,5.000e-01,2.700e+00,2.030e+00,2.871e+00,9.950e-01,8.927e-01,1.422e-01,0.000e+00,4.20
4800,4800,30965,5.857e+00,1.000e-01,3.000e+00,3.576e+00,1.619e+00,1.998e-01,6.190e-01,2.757e+00,5.000e+01,-3.557e+00,6.000e-01,2.600e+00,1.619e+00,3.576e+00,1.172e+00,2.477e-01,1.997e-01,0.000e+00,3.50
4900,4900,31619,4.153e+00,1.000e-01,3.000e+00,3.481e+00,2.127e+00,1.993e-01,9.759e-01,2.305e+00,4.000e+01,-2.853e+00,5.000e-01,2.700e+00,2.127e+00,3.481e+00,9.858e-01,5.448e-01,5.966e-01,0.000e+00,3.60
5000,5000,32289,4.298e+00,3.000e-01,2.400e+00,2.811e+00,2.212e+00,5.987e-01,6.019e-01,1.610e+00,6.000e+01,-9.985e-01,8.000e-01,2.200e+00,2.212e+00,2.811e+00,1.593e+00,1.895e-01,4.297e-01,0.000e+00,3.10
5100,5100,32969,6.899e+00,1.000e-01,2.000e+00,3.007e+00,2.308e+00,1.992e-01,7.991e-01,2.008e+00,7.000e+01,-2.099e+00,8.000e-01,1.300e+00,2.308e+00,3.007e+00,1.578e+00,5.450e-01,1.850e-01,0.000e+00,2.50
5200,5200,33590,5.942e+00,0.000e+00,2.800e+00,9.157e-01,2.374e+00,0.000e+00,1.997e-01,7.160e-01,8.000e+01,-1.420e-01,8.000e-01,1.500e+00,2.374e+00,9.157e-01,1.578e+00,7.945e-01,1.463e-03,0.000e+00,2.90
5300,5300,34235,3.740e+00,0.000e+00,3.000e+00,8.911e-02,2.549e+00,0.000e+00,3.164e-02,5.747e-02,7.000e+01,7.603e-01,7.000e-01,1.600e+00,2.549e+00,8.911e-02,1.396e+00,1.133e+00,2.079e-02,0.000e+00,3.10
5400,5400,34891,5.235e+00,0.000e+00,3.200e+00,2.021e+00,1.585e+00,0.000e+00,6.149e-01,1.406e+00,6.000e+01,-1.935e+00,6.000e-01,2.700e+00,1.585e+00,2.021e+00,1.195e+00,3.896e-01,1.067e-03,0.000e+00,3.60
