episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,steps_per_eps
100,100,621,2.368e+00,1.300e+00,9.000e-01,3.639e+00,2.470e+00,1.744e+00,7.282e-01,1.167e+00,1.000e+02,4.432e+00,8.000e-01,1.600e+00,2.470e+00,3.639e+00,8.555e-01,3.906e-01,1.224e+00,0.000e+00,2.80
200,200,1248,6.450e+00,4.000e-01,1.200e+00,1.649e+00,1.599e+00,4.262e-01,3.423e-01,8.803e-01,9.000e+01,5.501e-01,1.100e+00,8.000e-01,1.599e+00,1.649e+00,1.027e+00,3.252e-02,5.400e-01,0.000e+00,2.00
300,300,1844,1.849e+00,1.000e+00,1.200e+00,2.479e+00,1.630e+00,1.136e+00,7.340e-01,6.091e-01,8.000e+01,2.151e+00,1.200e+00,1.700e+00,1.630e+00,2.479e+00,8.997e-01,9.671e-02,6.335e-01,0.000e+00,3.20
400,400,2510,1.629e+00,7.000e-01,1.600e+00,1.866e+00,1.137e+00,7.076e-01,7.476e-01,4.113e-01,6.000e+01,3.706e-01,9.000e-01,1.600e+00,1.137e+00,1.866e+00,5.646e-01,3.021e-01,2.703e-01,0.000e+00,3.50
500,500,3125,2.730e+00,7.000e-01,1.500e+00,1.337e+00,1.607e+00,7.076e-01,4.171e-01,2.126e-01,9.000e+01,2.070e+00,1.000e+00,1.400e+00,1.607e+00,1.337e+00,9.095e-01,4.139e-01,2.836e-01,0.000e+00,3.00
600,600,3689,2.090e+00,8.000e-01,1.300e+00,7.654e-01,1.176e+00,5.984e-01,7.721e-02,8.986e-02,8.000e+01,2.810e+00,8.000e-01,1.500e+00,1.176e+00,7.654e-01,8.418e-01,1.766e-01,1.571e-01,0.000e+00,2.60
700,700,4286,2.133e+00,7.000e-01,1.400e+00,1.060e+00,1.026e+00,8.548e-01,1.497e-01,5.513e-02,9.000e+01,3.667e+00,6.000e-01,1.100e+00,1.026e+00,1.060e+00,7.350e-01,2.475e-01,4.373e-02,0.000e+00,2.60
800,800,4918,4.327e+00,5.000e-01,1.000e+00,1.511e+00,8.848e-01,9.643e-01,4.589e-01,8.833e-02,9.000e+01,1.873e+00,6.000e-01,1.100e+00,8.848e-01,1.511e+00,7.664e-01,6.239e-02,5.596e-02,0.000e+00,2.10
900,900,5489,3.443e+00,6.000e-01,1.600e+00,2.422e+00,1.378e+00,1.105e+00,4.722e-01,8.446e-01,8.000e+01,1.857e+00,7.000e-01,1.600e+00,1.378e+00,2.422e+00,1.109e+00,1.896e-01,7.999e-02,0.000e+00,2.50
1000,1000,6093,4.150e+00,3.000e-01,1.500e+00,6.276e-01,1.578e+00,5.627e-01,4.142e-02,2.346e-02,9.000e+01,2.250e+00,7.000e-01,9.000e-01,1.578e+00,6.276e-01,1.242e+00,2.752e-01,6.007e-02,0.000e+00,2.00
1100,1100,6675,1.158e+00,3.000e-01,2.700e+00,1.144e+00,2.087e+00,5.819e-01,5.197e-02,5.105e-01,6.000e+01,8.422e-01,6.000e-01,1.900e+00,2.087e+00,1.144e+00,1.073e+00,8.920e-01,1.214e-01,0.000e+00,3.50
1200,1200,7308,3.646e+00,7.000e-01,1.900e+00,1.922e+00,6.759e-01,1.372e+00,1.266e-01,4.232e-01,1.000e+02,3.354e+00,5.000e-01,2.100e+00,6.759e-01,1.922e+00,4.546e-01,1.625e-01,5.884e-02,0.000e+00,2.80
1300,1300,7883,3.749e+00,7.000e-01,1.300e+00,2.305e+00,9.556e-01,1.378e+00,5.641e-01,3.629e-01,8.000e+01,1.151e+00,7.000e-01,1.700e+00,9.556e-01,2.305e+00,9.116e-01,1.706e-03,4.227e-02,0.000e+00,2.50
