episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,A4_reward_total,A4_n_lever,A4_n_door,A4_received,A4_given,A4_r-lever,A4_r-start,A4_r-door,A4_win_rate,steps_per_eps
100,100,578,5.291e+00,1.000e+00,1.400e+00,1.075e+01,7.159e+00,3.545e+00,2.852e+00,4.352e+00,7.000e+01,-3.531e+00,1.700e+00,6.000e-01,9.070e+00,1.040e+01,5.069e+00,2.543e+00,1.458e+00,0.000e+00,3.248e+00,4.000e-01,2.100e+00,8.527e+00,8.979e+00,1.306e+00,2.160e+00,5.061e+00,0.000e+00,-3.807e+00,1.600e+00,8.000e-01,7.357e+00,9.164e+00,3.917e+00,1.972e+00,1.468e+00,0.000e+00,3.30
200,200,1206,2.847e+00,7.000e-01,9.000e-01,5.100e+00,4.952e+00,2.140e+00,1.421e+00,1.539e+00,1.000e+02,-1.090e-01,8.000e-01,8.000e-01,3.941e+00,6.650e+00,1.730e+00,1.043e+00,1.168e+00,0.000e+00,8.493e+00,5.000e-01,1.200e+00,8.295e+00,4.502e+00,1.900e+00,2.155e+00,4.241e+00,0.000e+00,-5.308e-01,8.000e-01,5.000e-01,4.827e+00,6.058e+00,2.304e+00,1.716e+00,8.069e-01,0.000e+00,2.30
300,300,1827,1.073e+00,6.000e-01,1.100e+00,2.127e+00,3.455e+00,1.035e+00,6.380e-01,4.541e-01,7.000e+01,-2.127e+00,9.000e-01,1.000e+00,2.027e+00,3.554e+00,1.210e+00,4.364e-01,3.808e-01,0.000e+00,5.294e+00,7.000e-01,1.100e+00,7.508e+00,1.614e+00,2.192e+00,2.370e+00,2.947e+00,0.000e+00,-3.639e+00,6.000e-01,9.000e-01,2.894e+00,5.933e+00,1.809e+00,6.648e-01,4.207e-01,0.000e+00,2.60
400,400,2433,-3.255e+00,1.100e+00,1.500e+00,1.255e+00,4.210e+00,8.739e-01,1.525e-01,2.284e-01,7.000e+01,-1.522e+00,6.000e-01,1.800e+00,2.579e+00,4.601e+00,1.027e+00,6.466e-01,9.059e-01,0.000e+00,7.595e+00,5.000e-01,2.100e+00,8.357e+00,3.662e+00,1.388e+00,2.100e+00,4.869e+00,0.000e+00,8.249e-02,1.300e+00,1.000e+00,7.753e+00,7.470e+00,6.185e+00,8.440e-01,7.235e-01,0.000e+00,3.40
500,500,3022,-1.607e+00,6.000e-01,1.100e+00,1.497e+00,5.104e+00,7.180e-01,5.197e-01,2.597e-01,1.000e+02,-1.154e+00,1.200e+00,1.200e+00,3.377e+00,4.131e+00,2.528e+00,2.986e-01,5.505e-01,0.000e+00,8.407e+00,3.000e-01,1.800e+00,6.888e+00,4.082e+00,7.975e-01,2.048e+00,4.043e+00,0.000e+00,1.654e+00,1.700e+00,8.000e-01,8.220e+00,6.666e+00,7.811e+00,1.934e-01,2.156e-01,0.000e+00,3.00
600,600,3608,3.676e+00,5.000e-01,1.200e+00,3.129e+00,3.554e+00,1.424e+00,9.957e-01,7.098e-01,9.000e+01,-9.082e-01,1.000e+00,8.000e-01,2.020e+00,3.329e+00,1.547e+00,1.990e-01,2.741e-01,0.000e+00,3.849e+00,5.000e-01,1.400e+00,3.926e+00,2.877e+00,1.287e+00,1.083e+00,1.556e+00,0.000e+00,1.837e-01,1.400e+00,6.000e-01,4.698e+00,4.014e+00,4.587e+00,3.663e-02,7.451e-02,0.000e+00,2.50
700,700,4206,8.833e-01,8.000e-01,1.500e+00,5.106e+00,5.322e+00,3.088e+00,9.421e-01,1.076e+00,9.000e+01,-4.238e-01,8.000e-01,1.400e+00,3.414e+00,6.138e+00,1.985e+00,7.188e-01,7.101e-01,0.000e+00,6.005e+00,2.000e-01,1.900e+00,6.742e+00,5.438e+00,7.383e-01,2.498e+00,3.506e+00,0.000e+00,8.358e-01,1.800e+00,8.000e-01,9.248e+00,7.613e+00,8.617e+00,2.471e-01,3.848e-01,0.000e+00,3.00
800,800,4767,2.590e+00,9.000e-01,1.400e+00,4.332e+00,1.942e+00,3.155e+00,6.700e-01,5.073e-01,8.000e+01,9.810e-01,6.000e-01,1.500e+00,3.354e+00,3.273e+00,1.870e+00,9.255e-01,5.579e-01,0.000e+00,4.044e+00,5.000e-01,2.100e+00,4.048e+00,4.404e+00,1.279e+00,9.840e-01,1.785e+00,0.000e+00,-1.816e+00,1.600e+00,1.000e+00,2.677e+00,4.792e+00,2.634e+00,2.351e-02,1.891e-02,0.000e+00,3.20
900,900,5308,-6.422e-01,4.000e-01,2.400e+00,5.206e+00,7.248e+00,2.139e+00,9.829e-01,2.083e+00,7.000e+01,3.153e+00,1.200e+00,1.200e+00,6.836e+00,3.383e+00,4.664e+00,9.641e-01,1.208e+00,0.000e+00,3.196e+00,1.000e-01,2.500e+00,4.149e+00,4.854e+00,8.495e-02,1.576e+00,2.488e+00,0.000e+00,-3.107e+00,1.600e+00,9.000e-01,4.181e+00,4.887e+00,4.036e+00,9.184e-02,5.236e-02,0.000e+00,3.30
1000,1000,5827,2.291e+00,7.000e-01,1.700e+00,4.069e+00,4.978e+00,3.518e+00,1.379e-01,4.132e-01,9.000e+01,1.959e+00,1.000e+00,1.500e+00,4.633e+00,3.975e+00,3.690e+00,4.857e-01,4.581e-01,0.000e+00,7.042e-01,1.000e-01,2.000e+00,2.264e+00,6.159e+00,1.983e-01,1.234e+00,8.316e-01,0.000e+00,1.946e+00,2.000e+00,7.000e-01,7.637e+00,3.491e+00,7.461e+00,9.544e-02,8.102e-02,0.000e+00,3.00
