episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,A4_reward_total,A4_n_lever,A4_n_door,A4_received,A4_given,A4_r-lever,A4_r-start,A4_r-door,A4_win_rate,steps_per_eps
100,100,593,-1.008e+02,3.000e-01,3.400e+00,1.635e+01,1.200e+02,9.879e-01,9.053e-01,1.445e+01,4.000e+01,3.742e+01,2.300e+00,7.000e-01,5.136e+01,1.154e+01,2.949e+01,1.277e+01,9.099e+00,0.000e+00,3.021e+01,3.000e-01,2.700e+00,4.320e+01,1.349e+01,3.329e+00,1.078e+01,2.908e+01,0.000e+00,3.182e+01,1.100e+00,1.600e+00,4.663e+01,1.251e+01,1.296e+01,1.514e+01,1.853e+01,0.000e+00,4.00
200,200,1257,-6.106e+01,4.000e-01,1.700e+00,5.741e+00,7.200e+01,8.620e-01,6.098e-01,4.270e+00,9.000e+01,2.191e+01,1.200e+00,7.000e-01,2.765e+01,6.634e+00,1.387e+01,5.753e+00,8.024e+00,0.000e+00,2.341e+01,9.000e-01,1.000e+00,2.760e+01,5.888e+00,1.051e+01,5.705e+00,1.139e+01,0.000e+00,2.223e+01,6.000e-01,4.000e-01,2.771e+01,4.174e+00,7.063e+00,1.606e+01,4.582e+00,0.000e+00,2.40
300,300,1941,-1.372e+02,2.000e-01,4.200e+00,4.138e+00,1.410e+02,1.807e-01,2.534e-01,3.704e+00,1.000e+01,3.453e+01,1.000e+00,2.300e+00,4.849e+01,1.136e+01,1.040e+01,1.455e+01,2.355e+01,0.000e+00,4.674e+01,5.000e-01,2.300e+00,5.224e+01,2.704e+00,5.729e+00,2.090e+01,2.562e+01,0.000e+00,4.739e+01,6.000e-01,1.900e+00,5.434e+01,4.147e+00,7.092e+00,2.535e+01,2.189e+01,0.000e+00,4.70
400,400,2626,-1.092e+02,5.000e-01,3.000e+00,2.145e+00,1.110e+02,3.418e-01,8.436e-02,1.718e+00,4.000e+01,2.864e+01,2.000e-01,2.200e+00,3.744e+01,8.093e+00,2.042e+00,1.319e+01,2.220e+01,0.000e+00,3.822e+01,5.000e-01,2.600e+00,3.973e+01,8.087e-01,5.626e+00,6.381e+00,2.772e+01,0.000e+00,4.179e+01,4.000e-01,1.500e+00,4.266e+01,2.069e+00,4.686e+00,2.083e+01,1.714e+01,0.000e+00,3.70
500,500,3368,-1.270e+02,2.000e-01,3.700e+00,1.145e+00,1.290e+02,7.068e-02,9.613e-02,9.783e-01,2.000e+01,3.717e+01,3.000e-01,2.800e+00,4.345e+01,5.379e+00,3.040e+00,1.218e+01,2.823e+01,0.000e+00,4.142e+01,6.000e-01,2.800e+00,4.465e+01,7.375e-01,6.440e+00,9.312e+00,2.890e+01,0.000e+00,4.347e+01,6.000e-01,2.800e+00,4.744e+01,1.572e+00,6.820e+00,9.947e+00,3.068e+01,0.000e+00,4.30
600,600,4152,-1.383e+02,2.000e-01,4.200e+00,8.345e-01,1.380e+02,6.783e-02,3.894e-02,7.277e-01,1.000e+01,4.334e+01,3.000e-01,3.300e+00,4.721e+01,2.774e+00,3.126e+00,1.037e+01,3.372e+01,0.000e+00,4.512e+01,0.000e+00,3.900e+00,4.700e+01,1.481e+00,0.000e+00,7.177e+00,3.982e+01,0.000e+00,4.461e+01,5.000e-01,1.800e+00,4.843e+01,1.218e+00,5.422e+00,2.416e+01,1.885e+01,0.000e+00,4.60
700,700,4956,-1.097e+02,3.000e-01,3.400e+00,3.896e-01,1.110e+02,5.222e-02,0.000e+00,3.374e-01,4.000e+01,3.569e+01,3.000e-01,3.000e+00,3.762e+01,1.325e+00,3.157e+00,4.128e+00,3.033e+01,0.000e+00,3.830e+01,2.000e-01,3.000e+00,3.736e+01,7.557e-01,2.044e+00,5.056e+00,3.026e+01,0.000e+00,3.722e+01,3.000e-01,1.800e+00,3.822e+01,5.059e-01,3.171e+00,1.654e+01,1.852e+01,0.000e+00,3.70
800,800,5812,-1.375e+02,0.000e+00,4.300e+00,4.281e-01,1.380e+02,0.000e+00,3.606e-02,3.920e-01,1.000e+01,4.183e+01,4.000e-01,3.800e+00,4.700e+01,3.167e+00,4.343e+00,4.144e+00,3.851e+01,0.000e+00,4.268e+01,4.000e-01,3.300e+00,4.631e+01,1.533e+00,4.109e+00,9.060e+00,3.314e+01,0.000e+00,4.726e+01,8.000e-01,2.500e+00,4.931e+01,3.411e-01,8.972e+00,1.392e+01,2.642e+01,0.000e+00,4.60
900,900,6675,-1.288e+02,6.000e-01,3.700e+00,5.665e-01,1.290e+02,1.755e-01,0.000e+00,3.910e-01,2.000e+01,4.738e+01,1.000e-01,3.600e+00,4.891e+01,2.126e+00,1.201e+00,7.128e+00,4.058e+01,0.000e+00,3.497e+01,1.000e-01,3.600e+00,4.323e+01,6.458e+00,1.013e+00,6.053e+00,3.617e+01,0.000e+00,4.208e+01,7.000e-01,2.300e+00,4.520e+01,3.236e-01,7.648e+00,1.361e+01,2.394e+01,0.000e+00,4.30
1000,1000,7550,-1.511e+02,2.000e-01,4.500e+00,1.452e-01,1.500e+02,1.770e-02,1.387e-02,1.136e-01,0.000e+00,4.964e+01,2.000e-01,4.000e+00,5.252e+01,3.819e-01,2.377e+00,9.051e+00,4.110e+01,0.000e+00,4.646e+01,1.000e-01,4.900e+00,5.017e+01,2.609e+00,1.049e+00,0.000e+00,4.912e+01,0.000e+00,4.786e+01,2.000e-01,3.700e+00,5.038e+01,2.284e-01,2.059e+00,1.109e+01,3.723e+01,0.000e+00,5.00
