episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,A4_reward_total,A4_n_lever,A4_n_door,A4_received,A4_given,A4_r-lever,A4_r-start,A4_r-door,A4_win_rate,steps_per_eps
100,100,781,-9.853e+00,0.000e+00,0.000e+00,5.723e-01,1.043e+01,0.000e+00,5.723e-01,0.000e+00,4.000e+01,2.901e+00,1.500e+00,1.400e+00,1.361e+01,9.414e+00,4.971e+00,4.340e+00,4.304e+00,0.000e+00,-9.448e-01,7.000e-01,1.900e+00,8.333e+00,8.678e+00,1.574e+00,3.337e+00,3.423e+00,0.000e+00,3.097e+00,1.700e+00,1.300e+00,1.331e+01,7.310e+00,5.498e+00,4.138e+00,3.672e+00,0.000e+00,4.40
200,200,1575,-7.325e+00,0.000e+00,0.000e+00,1.287e-01,7.454e+00,0.000e+00,1.287e-01,0.000e+00,4.000e+01,2.318e+00,1.500e+00,1.600e+00,1.015e+01,6.934e+00,4.515e+00,2.119e+00,3.517e+00,0.000e+00,-3.877e+00,8.000e-01,1.700e+00,3.384e+00,6.961e+00,8.945e-01,1.148e+00,1.342e+00,0.000e+00,4.984e+00,1.400e+00,1.000e+00,1.092e+01,3.238e+00,4.296e+00,4.229e+00,2.396e+00,0.000e+00,4.10
300,300,2388,-5.002e+00,0.000e+00,0.000e+00,5.400e-02,5.056e+00,0.000e+00,5.400e-02,0.000e+00,4.000e+01,-2.429e+00,1.600e+00,1.500e+00,3.935e+00,4.264e+00,2.110e+00,9.024e-01,9.229e-01,0.000e+00,-2.673e+00,6.000e-01,2.800e+00,1.290e+00,4.363e+00,2.729e-01,2.849e-01,7.321e-01,0.000e+00,5.404e+00,2.000e+00,1.100e+00,1.015e+01,1.749e+00,6.664e+00,2.043e+00,1.446e+00,0.000e+00,4.60
400,400,3207,-3.430e+00,0.000e+00,0.000e+00,1.869e-02,3.448e+00,0.000e+00,1.869e-02,0.000e+00,6.000e+01,1.430e+00,5.000e-01,9.000e-01,2.845e+00,1.215e+00,1.073e+00,1.061e+00,7.109e-01,0.000e+00,-2.657e-01,1.100e+00,1.500e+00,7.226e-01,1.688e+00,3.599e-01,9.704e-02,2.657e-01,0.000e+00,2.565e+00,1.200e+00,1.100e+00,3.266e+00,5.004e-01,2.643e+00,3.000e-01,3.231e-01,0.000e+00,3.30
500,500,3970,-5.953e+00,0.000e+00,0.000e+00,1.647e-02,5.969e+00,0.000e+00,1.647e-02,0.000e+00,9.000e+01,3.664e+00,1.600e+00,1.200e+00,5.821e+00,2.057e+00,3.990e+00,7.738e-01,1.057e+00,0.000e+00,2.518e+00,1.000e+00,2.100e+00,1.239e+00,3.321e+00,4.722e-01,1.669e-01,6.003e-01,0.000e+00,1.271e+00,2.000e+00,7.000e-01,5.230e+00,9.597e-01,4.708e+00,3.017e-01,2.207e-01,0.000e+00,3.80
600,600,4742,-6.249e+00,0.000e+00,0.000e+00,1.242e-02,6.262e+00,0.000e+00,1.242e-02,0.000e+00,4.000e+01,-6.080e+00,1.500e+00,1.800e+00,2.650e+00,7.230e+00,1.892e+00,2.997e-01,4.581e-01,0.000e+00,8.288e+00,1.200e+00,2.300e+00,1.131e+01,2.120e+00,4.309e+00,1.558e+00,5.441e+00,0.000e+00,-2.597e-01,1.800e+00,1.300e+00,3.995e+00,2.354e+00,3.187e+00,2.165e-01,5.914e-01,0.000e+00,4.30
700,700,5521,-1.062e+01,0.000e+00,0.000e+00,1.329e-02,1.063e+01,0.000e+00,1.329e-02,0.000e+00,5.000e+01,-4.640e+00,1.400e+00,1.700e+00,8.346e+00,1.059e+01,4.652e+00,1.715e+00,1.979e+00,0.000e+00,7.846e+00,4.000e-01,2.700e+00,1.183e+01,6.980e+00,1.811e+00,2.591e+00,7.424e+00,0.000e+00,5.710e+00,2.400e+00,6.000e-01,9.766e+00,1.756e+00,8.785e+00,4.221e-01,5.591e-01,0.000e+00,4.20
800,800,6233,-1.344e+01,0.000e+00,0.000e+00,2.735e-02,1.347e+01,0.000e+00,2.735e-02,0.000e+00,7.000e+01,-1.141e+00,1.500e+00,1.300e+00,1.173e+01,1.127e+01,7.585e+00,1.774e+00,2.371e+00,0.000e+00,1.218e+01,5.000e-01,2.000e+00,1.527e+01,7.593e+00,2.485e+00,4.580e+00,8.208e+00,0.000e+00,3.203e+00,2.600e+00,2.000e-01,1.163e+01,6.327e+00,1.097e+01,3.813e-01,2.790e-01,0.000e+00,3.60
900,900,6903,-5.042e+00,0.000e+00,0.000e+00,1.702e-02,5.060e+00,0.000e+00,1.702e-02,0.000e+00,1.000e+02,9.790e-01,9.000e-01,7.000e-01,4.161e+00,3.782e+00,3.990e+00,7.047e-02,1.002e-01,0.000e+00,1.158e+01,2.000e-01,1.300e+00,6.919e+00,2.542e+00,9.601e-01,9.700e-01,4.989e+00,0.000e+00,-9.135e-01,1.600e+00,0.000e+00,2.755e+00,2.468e+00,2.686e+00,6.840e-02,0.000e+00,0.000e+00,1.80
1000,1000,7532,-1.053e+01,0.000e+00,0.000e+00,2.021e-01,1.074e+01,0.000e+00,2.021e-01,0.000e+00,8.000e+01,-1.984e+00,1.900e+00,1.200e+00,7.778e+00,7.462e+00,7.417e+00,1.057e-01,2.553e-01,0.000e+00,1.463e+01,3.000e-01,2.300e+00,1.379e+01,5.258e+00,1.510e+00,3.827e+00,8.453e+00,0.000e+00,-2.146e-01,2.700e+00,5.000e-01,6.351e+00,4.665e+00,5.856e+00,3.941e-01,1.001e-01,0.000e+00,3.70
