episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,steps_per_eps
100,100,1000,-4.055e+00,0.000e+00,0.000e+00,9.596e-02,4.151e+00,0.000e+00,9.596e-02,0.000e+00,0.000e+00,5.547e-01,1.800e+00,1.600e+00,4.151e+00,9.596e-02,1.334e+00,1.372e+00,1.445e+00,0.000e+00,5.00
200,200,2000,-3.364e+00,0.000e+00,0.000e+00,1.231e-02,3.377e+00,0.000e+00,1.231e-02,0.000e+00,0.000e+00,1.643e-01,1.900e+00,1.100e+00,3.377e+00,1.231e-02,1.204e+00,1.425e+00,7.475e-01,0.000e+00,5.00
300,300,3000,-2.708e+00,0.000e+00,0.000e+00,5.511e-03,2.714e+00,0.000e+00,5.511e-03,0.000e+00,0.000e+00,-6.918e-01,2.100e+00,1.500e+00,2.714e+00,5.511e-03,1.037e+00,7.854e-01,8.909e-01,0.000e+00,5.00
400,400,4000,-2.080e+00,0.000e+00,0.000e+00,2.725e-03,2.083e+00,0.000e+00,2.725e-03,0.000e+00,0.000e+00,-1.320e+00,1.300e+00,1.800e+00,2.083e+00,2.725e-03,4.588e-01,8.336e-01,7.904e-01,0.000e+00,5.00
500,500,5000,-1.551e+00,0.000e+00,0.000e+00,1.823e-03,1.552e+00,0.000e+00,1.823e-03,0.000e+00,0.000e+00,-1.649e+00,1.800e+00,2.000e+00,1.552e+00,1.823e-03,4.944e-01,3.984e-01,6.596e-01,0.000e+00,5.00
600,600,6000,-1.106e+00,0.000e+00,0.000e+00,1.211e-03,1.107e+00,0.000e+00,1.211e-03,0.000e+00,0.000e+00,-2.094e+00,1.600e+00,1.800e+00,1.107e+00,1.211e-03,3.069e-01,3.770e-01,4.233e-01,0.000e+00,5.00
700,700,7000,-7.541e-01,0.000e+00,0.000e+00,8.776e-04,7.549e-01,0.000e+00,8.776e-04,0.000e+00,0.000e+00,-2.846e+00,2.100e+00,1.100e+00,7.549e-01,8.776e-04,2.808e-01,2.980e-01,1.762e-01,0.000e+00,5.00
800,800,8000,-5.509e-01,0.000e+00,0.000e+00,6.514e-04,5.515e-01,0.000e+00,6.514e-04,0.000e+00,0.000e+00,-3.149e+00,1.600e+00,1.600e+00,5.515e-01,6.514e-04,1.546e-01,2.082e-01,1.887e-01,0.000e+00,5.00
900,900,9000,-3.944e-01,0.000e+00,0.000e+00,4.862e-04,3.949e-01,0.000e+00,4.862e-04,0.000e+00,0.000e+00,-3.006e+00,1.800e+00,1.300e+00,3.949e-01,4.862e-04,1.204e-01,1.540e-01,1.205e-01,0.000e+00,5.00
1000,1000,10000,-3.008e-01,0.000e+00,0.000e+00,3.777e-04,3.012e-01,0.000e+00,3.777e-04,0.000e+00,0.000e+00,-3.099e+00,1.400e+00,1.600e+00,3.012e-01,3.777e-04,7.767e-02,1.284e-01,9.512e-02,0.000e+00,5.00
1100,1100,11000,-2.262e-01,0.000e+00,0.000e+00,3.075e-04,2.265e-01,0.000e+00,3.075e-04,0.000e+00,0.000e+00,-2.774e+00,2.200e+00,1.000e+00,2.265e-01,3.075e-04,9.348e-02,8.387e-02,4.914e-02,0.000e+00,5.00
1200,1200,12000,-1.774e-01,0.000e+00,0.000e+00,2.478e-04,1.777e-01,0.000e+00,2.478e-04,0.000e+00,0.000e+00,-3.023e+00,1.800e+00,1.400e+00,1.777e-01,2.478e-04,5.819e-02,6.555e-02,5.393e-02,0.000e+00,5.00
1300,1300,13000,-1.378e-01,0.000e+00,0.000e+00,1.975e-04,1.380e-01,0.000e+00,1.975e-04,0.000e+00,0.000e+00,-3.262e+00,1.700e+00,1.500e+00,1.380e-01,1.975e-04,4.654e-02,4.833e-02,4.314e-02,0.000e+00,5.00
1400,1400,14000,-1.078e-01,0.000e+00,0.000e+00,1.582e-04,1.079e-01,0.000e+00,1.582e-04,0.000e+00,0.000e+00,-3.192e+00,1.700e+00,1.700e+00,1.079e-01,1.582e-04,3.356e-02,3.502e-02,3.935e-02,0.000e+00,5.00
1500,1500,15000,-8.605e-02,0.000e+00,0.000e+00,1.288e-04,8.618e-02,0.000e+00,1.288e-04,0.000e+00,0.000e+00,-3.114e+00,1.400e+00,1.400e+00,8.618e-02,1.288e-04,2.156e-02,3.745e-02,2.717e-02,0.000e+00,5.00
1600,1600,16000,-7.252e-02,0.000e+00,0.000e+00,1.089e-04,7.263e-02,0.000e+00,1.089e-04,0.000e+00,0.000e+00,-3.227e+00,2.200e+00,1.500e+00,7.263e-02,1.089e-04,2.789e-02,1.863e-02,2.611e-02,0.000e+00,5.00
1700,1700,17000,-5.702e-02,0.000e+00,0.000e+00,9.237e-05,5.711e-02,0.000e+00,9.237e-05,0.000e+00,0.000e+00,-2.843e+00,1.800e+00,1.300e+00,5.711e-02,9.237e-05,2.024e-02,2.010e-02,1.677e-02,0.000e+00,5.00
1800,1800,18000,-4.766e-02,0.000e+00,0.000e+00,8.302e-05,4.774e-02,0.000e+00,8.302e-05,0.000e+00,0.000e+00,-2.652e+00,1.200e+00,1.600e+00,4.774e-02,8.302e-05,1.018e-02,1.927e-02,1.829e-02,0.000e+00,5.00
1900,1900,19000,-3.860e-02,0.000e+00,0.000e+00,6.463e-05,3.866e-02,0.000e+00,6.463e-05,0.000e+00,0.000e+00,-3.061e+00,1.900e+00,6.000e-01,3.866e-02,6.463e-05,1.339e-02,1.897e-02,6.314e-03,0.000e+00,5.00
2000,2000,20000,-3.352e-02,0.000e+00,0.000e+00,6.028e-05,3.358e-02,0.000e+00,6.028e-05,0.000e+00,0.000e+00,-3.166e+00,1.800e+00,9.000e-01,3.358e-02,6.028e-05,1.114e-02,1.537e-02,7.070e-03,0.000e+00,5.00
2100,2100,21000,-2.834e-02,0.000e+00,0.000e+00,5.174e-05,2.839e-02,0.000e+00,5.174e-05,0.000e+00,0.000e+00,-3.172e+00,1.900e+00,9.000e-01,2.839e-02,5.174e-05,9.660e-03,1.268e-02,6.050e-03,0.000e+00,5.00
2200,2200,22000,-2.361e-02,0.000e+00,0.000e+00,4.468e-05,2.366e-02,0.000e+00,4.468e-05,0.000e+00,0.000e+00,-2.876e+00,2.000e+00,6.000e-01,2.366e-02,4.468e-05,8.585e-03,1.098e-02,4.090e-03,0.000e+00,5.00
2300,2300,23000,-1.953e-02,0.000e+00,0.000e+00,4.153e-05,1.957e-02,0.000e+00,4.153e-05,0.000e+00,0.000e+00,-2.980e+00,1.200e+00,9.000e-01,1.957e-02,4.153e-05,4.203e-03,1.120e-02,4.162e-03,0.000e+00,5.00
2400,2400,24000,-1.771e-02,0.000e+00,0.000e+00,4.070e-05,1.775e-02,0.000e+00,4.070e-05,0.000e+00,0.000e+00,-2.482e+00,1.300e+00,1.500e+00,1.775e-02,4.070e-05,4.810e-03,6.837e-03,6.099e-03,0.000e+00,5.00
2500,2500,25000,-1.452e-02,0.000e+00,0.000e+00,3.314e-05,1.456e-02,0.000e+00,3.314e-05,0.000e+00,0.000e+00,-2.785e+00,1.800e+00,8.000e-01,1.456e-02,3.314e-05,5.192e-03,6.589e-03,2.776e-03,0.000e+00,5.00
2600,2600,26000,-1.279e-02,0.000e+00,0.000e+00,3.201e-05,1.282e-02,0.000e+00,3.201e-05,0.000e+00,0.000e+00,-3.087e+00,1.300e+00,1.300e+00,1.282e-02,3.201e-05,3.081e-03,5.666e-03,4.075e-03,0.000e+00,5.00
2700,2700,27000,-1.094e-02,0.000e+00,0.000e+00,2.886e-05,1.097e-02,0.000e+00,2.886e-05,0.000e+00,0.000e+00,-2.189e+00,1.300e+00,1.200e+00,1.097e-02,2.886e-05,2.760e-03,4.871e-03,3.336e-03,0.000e+00,5.00
2800,2800,28000,-1.021e-02,0.000e+00,0.000e+00,2.552e-05,1.023e-02,0.000e+00,2.552e-05,0.000e+00,0.000e+00,-2.490e+00,2.100e+00,1.100e+00,1.023e-02,2.552e-05,4.227e-03,3.247e-03,2.758e-03,0.000e+00,5.00
2900,2900,29000,-8.728e-03,0.000e+00,0.000e+00,2.269e-05,8.751e-03,0.000e+00,2.269e-05,0.000e+00,0.000e+00,-2.791e+00,2.100e+00,8.000e-01,8.751e-03,2.269e-05,3.613e-03,3.501e-03,1.637e-03,0.000e+00,5.00
3000,3000,30000,-7.778e-03,0.000e+00,0.000e+00,2.269e-05,7.801e-03,0.000e+00,2.269e-05,0.000e+00,0.000e+00,-2.692e+00,1.200e+00,1.200e+00,7.801e-03,2.269e-05,1.730e-03,3.647e-03,2.424e-03,0.000e+00,5.00
3100,3100,31000,-7.070e-03,0.000e+00,0.000e+00,2.112e-05,7.091e-03,0.000e+00,2.112e-05,0.000e+00,0.000e+00,-2.593e+00,1.200e+00,1.400e+00,7.091e-03,2.112e-05,1.739e-03,2.835e-03,2.518e-03,0.000e+00,5.00
3200,3200,32000,-5.854e-03,0.000e+00,0.000e+00,1.817e-05,5.872e-03,0.000e+00,1.817e-05,0.000e+00,0.000e+00,-2.694e+00,1.300e+00,9.000e-01,5.872e-03,1.817e-05,1.492e-03,2.936e-03,1.444e-03,0.000e+00,5.00
3300,3300,33000,-4.892e-03,0.000e+00,0.000e+00,1.515e-05,4.907e-03,0.000e+00,1.515e-05,0.000e+00,0.000e+00,-1.795e+00,1.300e+00,4.000e-01,4.907e-03,1.515e-05,1.375e-03,2.898e-03,6.335e-04,0.000e+00,5.00
3400,3400,34000,-5.126e-03,0.000e+00,0.000e+00,1.533e-05,5.141e-03,0.000e+00,1.533e-05,0.000e+00,0.000e+00,-2.895e+00,1.700e+00,1.100e+00,5.141e-03,1.533e-05,1.760e-03,1.942e-03,1.438e-03,0.000e+00,5.00
