episode,step_train,step,A1_reward_total,A1_reward_env,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A1_total_energy,A1_reward_per_energy,A2_reward_total,A2_reward_env,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A2_total_energy,A2_reward_per_energy,steps_per_eps
500,500,3225,1.564e+00,-3.000e-01,1.000e+00,1.200e+00,3.068e+00,1.204e+00,1.562e+00,8.193e-01,6.869e-01,4.000e+01,6.391e+00,-1.152e-01,-2.664e+00,-8.000e-01,1.300e+00,1.300e+00,1.204e+00,3.068e+00,7.859e-01,3.175e-01,1.006e-01,0.000e+00,6.343e+00,-5.553e-02,4.60
1000,1000,6297,1.190e+00,1.000e-01,1.000e+00,1.200e+00,1.772e+00,6.820e-01,1.569e+00,3.913e-03,1.992e-01,7.000e+01,4.460e+00,3.626e-02,1.910e+00,3.000e+00,7.000e-01,1.500e+00,6.820e-01,1.772e+00,5.300e-01,9.082e-02,6.123e-02,0.000e+00,5.515e+00,1.174e+00,3.10
1500,1500,8994,2.595e-01,-1.700e+00,1.900e+00,4.000e-01,3.090e+00,1.131e+00,3.031e+00,8.465e-04,5.869e-02,8.000e+01,1.631e+00,-2.917e-01,4.940e+00,6.900e+00,9.000e-01,1.300e+00,1.131e+00,3.090e+00,9.694e-01,5.339e-02,1.078e-01,0.000e+00,4.547e+00,2.082e+00,2.60
2000,2000,11197,1.647e+00,-5.000e-01,1.400e+00,4.000e-01,2.162e+00,1.498e-02,2.162e+00,5.074e-05,2.092e-04,1.000e+02,1.287e+00,1.157e-01,5.953e+00,8.100e+00,5.000e-01,1.100e+00,1.498e-02,2.162e+00,1.418e-02,7.210e-04,7.889e-05,0.000e+00,3.457e+00,2.509e+00,2.00
2500,2500,12945,6.381e-01,-1.500e+00,1.400e+00,1.000e-01,2.139e+00,5.118e-04,2.138e+00,1.311e-04,2.789e-05,1.000e+02,6.429e-01,-4.277e-01,7.262e+00,9.400e+00,2.000e-01,1.200e+00,5.118e-04,2.139e+00,4.437e-04,4.392e-05,2.419e-05,0.000e+00,3.821e+00,2.962e+00,1.80
3000,3000,14535,-1.084e+00,-1.100e+00,1.000e+00,1.000e-01,1.598e-02,3.390e-06,1.597e-02,1.982e-06,1.146e-06,1.000e+02,5.143e-01,-2.333e-01,9.684e+00,9.700e+00,0.000e+00,1.300e+00,3.390e-06,1.598e-02,0.000e+00,0.000e+00,3.390e-06,0.000e+00,3.343e+00,3.247e+00,1.30
3500,3500,16037,-9.602e-01,-1.000e+00,1.200e+00,0.000e+00,3.980e-02,2.929e-06,3.980e-02,0.000e+00,0.000e+00,1.000e+02,0.000e+00,0.000e+00,9.960e+00,1.000e+01,0.000e+00,1.000e+00,2.929e-06,3.980e-02,0.000e+00,1.512e-06,1.418e-06,0.000e+00,2.831e+00,3.693e+00,1.20
4000,4000,17470,-1.000e+00,-1.000e+00,1.000e+00,0.000e+00,4.268e-05,1.157e-06,4.267e-05,1.151e-08,0.000e+00,1.000e+02,1.286e-01,-7.778e-02,9.900e+00,9.900e+00,0.000e+00,1.100e+00,1.157e-06,4.268e-05,0.000e+00,0.000e+00,1.157e-06,0.000e+00,2.829e+00,3.675e+00,1.10
4500,4500,18861,-1.000e+00,-1.000e+00,1.000e+00,0.000e+00,4.605e-05,6.388e-07,4.605e-05,0.000e+00,0.000e+00,1.000e+02,0.000e+00,0.000e+00,1.000e+01,1.000e+01,0.000e+00,1.000e+00,6.388e-07,4.605e-05,0.000e+00,0.000e+00,6.388e-07,0.000e+00,2.571e+00,3.889e+00,1.00
5000,5000,20190,-1.000e+00,-1.000e+00,1.000e+00,0.000e+00,2.054e-05,4.696e-07,2.054e-05,0.000e+00,0.000e+00,1.000e+02,0.000e+00,0.000e+00,1.000e+01,1.000e+01,0.000e+00,1.000e+00,4.696e-07,2.054e-05,0.000e+00,0.000e+00,4.696e-07,0.000e+00,2.571e+00,3.889e+00,1.00
5500,5500,21517,-1.100e+00,-1.100e+00,1.000e+00,1.000e-01,1.532e-05,3.139e-07,1.532e-05,0.000e+00,5.498e-09,1.000e+02,2.571e-01,-7.778e-02,9.900e+00,9.900e+00,0.000e+00,1.100e+00,3.139e-07,1.532e-05,0.000e+00,0.000e+00,3.139e-07,0.000e+00,2.829e+00,3.675e+00,1.10
6000,6000,22802,-1.100e+00,-1.100e+00,1.000e+00,1.000e-01,6.633e-06,2.587e-07,6.628e-06,2.560e-09,2.762e-09,1.000e+02,5.143e-01,-1.167e-01,9.800e+00,9.800e+00,0.000e+00,1.300e+00,2.587e-07,6.633e-06,0.000e+00,0.000e+00,2.587e-07,0.000e+00,3.343e+00,3.403e+00,1.30
6500,6500,24058,-1.000e+00,-1.000e+00,1.000e+00,0.000e+00,3.848e-06,2.172e-07,3.848e-06,0.000e+00,0.000e+00,1.000e+02,0.000e+00,0.000e+00,1.000e+01,1.000e+01,0.000e+00,1.000e+00,2.172e-07,3.848e-06,0.000e+00,0.000e+00,2.172e-07,0.000e+00,2.571e+00,3.889e+00,1.00
7000,7000,25311,-1.000e+00,-1.000e+00,1.100e+00,0.000e+00,3.306e-06,3.132e-07,3.306e-06,0.000e+00,0.000e+00,1.000e+02,0.000e+00,0.000e+00,1.000e+01,1.000e+01,0.000e+00,1.000e+00,3.132e-07,3.306e-06,0.000e+00,1.516e-07,1.616e-07,0.000e+00,2.700e+00,3.759e+00,1.10
