episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,steps_per_eps
100,100,816,3.255e-01,1.400e+00,1.600e+00,7.663e+00,3.938e+00,2.466e+00,2.559e+00,2.638e+00,2.000e+01,-5.028e+00,1.600e+00,1.900e+00,4.737e+00,7.765e+00,2.037e+00,1.020e+00,1.680e+00,0.000e+00,-1.898e+00,1.300e+00,7.000e-01,6.263e+00,6.961e+00,1.812e+00,3.616e+00,8.344e-01,0.000e+00,4.50
200,200,1606,-2.429e-01,1.100e+00,1.200e+00,2.752e+00,1.395e+00,9.957e-01,9.763e-01,7.804e-01,3.000e+01,-3.384e+00,1.400e+00,1.500e+00,2.171e+00,2.555e+00,1.042e+00,5.090e-01,6.200e-01,0.000e+00,-1.573e+00,9.000e-01,1.600e+00,2.141e+00,3.114e+00,5.834e-01,9.173e-01,6.404e-01,0.000e+00,4.10
300,300,2385,-3.307e+00,2.100e+00,1.600e+00,2.487e+00,2.395e+00,1.507e+00,3.587e-01,6.216e-01,3.000e+01,-2.681e-01,1.600e+00,1.500e+00,2.861e+00,2.529e+00,1.488e+00,6.738e-01,6.992e-01,0.000e+00,-1.625e+00,5.000e-01,1.300e+00,2.679e+00,3.103e+00,4.355e-01,1.741e+00,5.026e-01,0.000e+00,4.60
400,400,3213,-2.267e+00,1.400e+00,1.200e+00,2.401e+00,3.068e+00,1.296e+00,6.968e-01,4.083e-01,5.000e+01,-1.375e+00,1.400e+00,1.500e+00,3.004e+00,2.680e+00,1.645e+00,4.567e-01,9.030e-01,0.000e+00,1.143e+00,8.000e-01,1.300e+00,3.106e+00,2.763e+00,1.244e+00,1.241e+00,6.209e-01,0.000e+00,4.00
500,500,4017,-1.941e+00,1.400e+00,1.500e+00,2.090e+00,3.430e+00,1.308e+00,3.002e-01,4.813e-01,6.000e+01,-5.377e-02,1.700e+00,1.600e+00,2.891e+00,3.245e+00,1.867e+00,1.402e-01,8.838e-01,0.000e+00,2.945e-01,1.100e+00,1.100e+00,4.094e+00,2.399e+00,2.723e+00,7.902e-01,5.802e-01,0.000e+00,3.70
600,600,4830,-4.738e+00,1.400e+00,1.900e+00,1.470e+00,4.207e+00,1.037e+00,1.492e-01,2.838e-01,2.000e+01,-3.610e+00,1.000e+00,2.100e+00,2.014e+00,3.724e+00,8.683e-01,2.054e-01,9.401e-01,0.000e+00,2.147e+00,1.000e+00,8.000e-01,5.810e+00,1.363e+00,3.562e+00,1.833e+00,4.153e-01,0.000e+00,4.20
700,700,5627,-3.531e+00,1.200e+00,1.300e+00,1.196e+00,2.027e+00,1.063e+00,6.096e-02,7.223e-02,3.000e+01,-1.078e+00,1.400e+00,1.900e+00,6.907e-01,2.269e+00,4.628e-01,1.480e-02,2.131e-01,0.000e+00,3.089e-01,9.000e-01,8.000e-01,3.386e+00,9.769e-01,2.856e+00,3.087e-01,2.211e-01,0.000e+00,3.90
800,800,6382,-3.037e+00,1.200e+00,1.300e+00,1.327e+00,1.564e+00,1.128e+00,7.758e-02,1.210e-01,3.000e+01,-1.963e+00,8.000e-01,2.700e+00,3.744e-01,3.137e+00,1.307e-01,3.262e-02,2.110e-01,0.000e+00,7.001e-01,1.300e+00,7.000e-01,4.157e+00,1.156e+00,3.528e+00,6.170e-01,1.143e-02,0.000e+00,4.00
900,900,7172,-4.350e+00,1.300e+00,1.400e+00,2.131e+00,3.681e+00,1.681e+00,2.452e-01,2.053e-01,4.000e+01,-3.102e+00,9.000e-01,2.200e+00,8.591e-01,4.261e+00,4.182e-01,3.460e-02,4.063e-01,0.000e+00,4.052e+00,2.200e+00,5.000e-01,6.624e+00,1.672e+00,6.519e+00,7.690e-02,2.789e-02,0.000e+00,3.90
1000,1000,7916,-4.815e+00,1.000e+00,2.200e+00,2.229e+00,3.744e+00,1.424e+00,3.577e-01,4.472e-01,2.000e+01,-4.346e+00,9.000e-01,3.300e+00,1.898e-01,3.936e+00,9.098e-02,6.848e-03,9.195e-02,0.000e+00,3.061e+00,2.100e+00,1.100e+00,6.846e+00,1.585e+00,6.465e+00,2.233e-01,1.575e-01,0.000e+00,4.70
