episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,steps_per_eps
100,100,816,3.062e-04,1.400e+00,1.600e+00,7.403e+00,4.003e+00,2.369e+00,2.488e+00,2.546e+00,2.000e+01,-4.655e+00,1.600e+00,1.900e+00,4.827e+00,7.482e+00,2.084e+00,1.032e+00,1.710e+00,0.000e+00,-1.945e+00,1.300e+00,7.000e-01,6.202e+00,6.948e+00,1.799e+00,3.578e+00,8.255e-01,0.000e+00,4.50
200,200,1606,-5.052e-01,1.100e+00,1.200e+00,2.637e+00,1.542e+00,9.523e-01,9.267e-01,7.580e-01,3.000e+01,-3.245e+00,1.400e+00,1.500e+00,2.298e+00,2.542e+00,1.094e+00,5.401e-01,6.636e-01,0.000e+00,-1.450e+00,9.000e-01,1.600e+00,2.233e+00,3.083e+00,6.234e-01,9.432e-01,6.666e-01,0.000e+00,4.10
300,300,2385,-3.445e+00,2.100e+00,1.500e+00,2.670e+00,2.515e+00,1.607e+00,4.226e-01,6.410e-01,3.000e+01,-3.115e-01,1.500e+00,1.500e+00,2.930e+00,2.741e+00,1.464e+00,7.241e-01,7.415e-01,0.000e+00,-1.544e+00,5.000e-01,1.300e+00,2.837e+00,3.181e+00,4.696e-01,1.838e+00,5.296e-01,0.000e+00,4.60
400,400,3213,-2.200e+00,1.400e+00,1.100e+00,2.126e+00,2.826e+00,1.083e+00,6.783e-01,3.647e-01,5.000e+01,8.014e-01,1.400e+00,1.500e+00,4.691e+00,2.190e+00,2.599e+00,8.221e-01,1.270e+00,0.000e+00,-6.010e-01,8.000e-01,1.300e+00,2.442e+00,4.243e+00,1.029e+00,9.283e-01,4.848e-01,0.000e+00,4.00
500,500,4022,-1.122e+00,1.200e+00,1.300e+00,1.960e+00,2.682e+00,1.257e+00,2.418e-01,4.610e-01,7.000e+01,2.162e+00,1.500e+00,1.300e+00,3.328e+00,2.966e+00,2.319e+00,1.795e-01,8.294e-01,0.000e+00,-4.396e-01,1.000e+00,9.000e-01,3.331e+00,2.970e+00,2.163e+00,6.761e-01,4.913e-01,0.000e+00,3.20
600,600,4829,-1.589e+00,1.900e+00,1.100e+00,5.293e+00,3.382e+00,3.443e+00,1.005e+00,8.450e-01,2.000e+01,-3.742e+00,1.200e+00,2.100e+00,3.086e+00,5.827e+00,1.692e+00,3.492e-01,1.045e+00,0.000e+00,-1.769e+00,1.500e+00,7.000e-01,5.561e+00,4.730e+00,4.545e+00,8.043e-01,2.114e-01,0.000e+00,4.30
700,700,5624,-4.960e-01,1.300e+00,1.700e+00,2.856e+00,3.452e+00,2.238e+00,2.142e-01,4.037e-01,6.000e+01,2.564e-01,1.100e+00,2.200e+00,2.620e+00,3.364e+00,1.779e+00,2.002e-01,6.408e-01,0.000e+00,-8.605e-01,1.300e+00,1.100e+00,4.868e+00,3.528e+00,4.302e+00,3.037e-01,2.616e-01,0.000e+00,4.00
800,800,6385,-1.751e+00,1.100e+00,1.400e+00,3.058e+00,3.410e+00,2.544e+00,4.751e-02,4.667e-01,7.000e+01,1.534e+00,6.000e-01,2.100e+00,1.066e+00,4.031e+00,4.934e-01,1.700e-01,4.025e-01,0.000e+00,1.417e+00,1.500e+00,7.000e-01,6.034e+00,2.717e+00,5.716e+00,2.892e-01,2.867e-02,0.000e+00,3.30
900,900,7140,-3.447e+00,1.100e+00,1.300e+00,2.786e+00,5.033e+00,2.435e+00,1.525e-01,1.986e-01,5.000e+01,-1.590e+00,5.000e-01,2.500e+00,2.293e+00,4.683e+00,6.817e-01,4.196e-01,1.192e+00,0.000e+00,3.637e+00,1.900e+00,9.000e-01,7.698e+00,3.060e+00,7.462e+00,4.068e-02,1.945e-01,0.000e+00,3.60
1000,1000,7851,8.997e-01,1.300e+00,1.400e+00,3.501e+00,2.001e+00,3.218e+00,3.314e-02,2.490e-01,7.000e+01,1.414e+00,7.000e-01,2.000e+00,1.561e+00,3.547e+00,9.549e-01,2.795e-01,3.266e-01,0.000e+00,-2.114e+00,1.900e+00,6.000e-01,3.551e+00,3.064e+00,3.521e+00,1.954e-02,1.057e-02,0.000e+00,3.30
1100,1100,8565,5.751e-01,1.400e+00,1.000e+00,3.403e+00,2.028e+00,3.202e+00,2.052e-02,1.802e-01,8.000e+01,1.812e+00,5.000e-01,2.000e+00,9.742e-01,3.662e+00,7.516e-01,8.312e-02,1.394e-01,0.000e+00,2.125e-01,1.800e+00,5.000e-01,3.608e+00,2.295e+00,3.572e+00,2.351e-02,1.192e-02,0.000e+00,2.80
1200,1200,9195,1.420e+00,1.900e+00,9.000e-01,7.552e+00,3.732e+00,6.622e+00,1.457e-01,7.843e-01,9.000e+01,2.701e+00,6.000e-01,2.400e+00,1.654e+00,6.153e+00,7.284e-01,3.557e-01,5.703e-01,0.000e+00,-1.021e+00,2.700e+00,3.000e-01,5.584e+00,4.905e+00,5.521e+00,6.022e-02,2.384e-03,0.000e+00,3.50
1300,1300,9818,-2.666e+00,1.600e+00,4.000e-01,5.591e+00,7.357e+00,5.251e+00,1.568e-01,1.829e-01,1.000e+02,9.387e+00,8.000e-01,1.600e+00,7.832e+00,5.946e+00,2.965e+00,7.320e-01,4.136e+00,0.000e+00,-1.720e+00,2.200e+00,2.000e-01,6.825e+00,6.945e+00,6.698e+00,6.866e-03,1.196e-01,0.000e+00,2.70
1400,1400,10420,-1.436e+00,1.500e+00,8.000e-01,4.678e+00,6.414e+00,4.563e+00,6.527e-03,1.088e-01,9.000e+01,3.693e+00,5.000e-01,1.500e+00,3.800e+00,5.806e+00,1.518e+00,5.813e-01,1.700e+00,0.000e+00,2.343e+00,2.200e+00,2.000e-01,7.489e+00,3.747e+00,7.382e+00,6.879e-03,1.001e-01,0.000e+00,2.60
