episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,steps_per_eps
500,500,3112,8.522e+00,0.000e+00,2.000e+00,1.168e-01,5.948e-01,0.000e+00,6.914e-02,4.761e-02,1.000e+02,-5.219e-01,1.000e+00,0.000e+00,5.948e-01,1.168e-01,4.213e-01,1.735e-01,0.000e+00,0.000e+00,3.00
1000,1000,6266,8.371e+00,0.000e+00,5.000e+00,5.774e-02,6.872e-01,0.000e+00,0.000e+00,5.774e-02,1.000e+02,-2.371e+00,1.000e+00,1.000e+00,6.872e-01,5.774e-02,6.696e-01,1.572e-02,1.895e-03,0.000e+00,5.00
1500,1500,9315,2.937e-01,0.000e+00,4.000e+00,1.303e+00,9.583e-03,0.000e+00,9.167e-01,3.866e-01,0.000e+00,-2.294e+00,0.000e+00,5.000e+00,9.583e-03,1.303e+00,0.000e+00,0.000e+00,9.583e-03,0.000e+00,5.00
2000,2000,12509,8.138e+00,0.000e+00,1.000e+00,1.161e-01,1.979e+00,0.000e+00,0.000e+00,1.161e-01,1.000e+02,8.625e-01,1.000e+00,0.000e+00,1.979e+00,1.161e-01,1.979e+00,0.000e+00,0.000e+00,0.000e+00,1.00
2500,2500,15558,8.177e+00,0.000e+00,1.000e+00,1.687e-01,1.992e+00,0.000e+00,0.000e+00,1.687e-01,1.000e+02,8.234e-01,1.000e+00,0.000e+00,1.992e+00,1.687e-01,1.992e+00,0.000e+00,0.000e+00,0.000e+00,1.00
3000,3000,18562,8.021e+00,0.000e+00,1.000e+00,1.804e-02,1.997e+00,0.000e+00,0.000e+00,1.804e-02,1.000e+02,9.793e-01,1.000e+00,0.000e+00,1.997e+00,1.804e-02,1.997e+00,0.000e+00,0.000e+00,0.000e+00,1.00
3500,3500,21462,7.007e+00,0.000e+00,2.000e+00,1.130e-02,2.004e+00,0.000e+00,0.000e+00,1.130e-02,1.000e+02,9.926e-01,1.000e+00,0.000e+00,2.004e+00,1.130e-02,1.999e+00,4.522e-03,0.000e+00,0.000e+00,2.00
4000,4000,24211,8.003e+00,0.000e+00,1.000e+00,1.497e-03,1.999e+00,0.000e+00,0.000e+00,1.497e-03,1.000e+02,9.973e-01,1.000e+00,0.000e+00,1.999e+00,1.497e-03,1.999e+00,0.000e+00,0.000e+00,0.000e+00,1.00
4500,4500,26919,8.002e+00,0.000e+00,1.000e+00,3.044e-04,1.999e+00,0.000e+00,0.000e+00,3.044e-04,1.000e+02,9.983e-01,1.000e+00,0.000e+00,1.999e+00,3.044e-04,1.999e+00,0.000e+00,0.000e+00,0.000e+00,1.00
5000,5000,29565,8.002e+00,0.000e+00,1.000e+00,5.847e-05,1.998e+00,0.000e+00,0.000e+00,5.847e-05,1.000e+02,9.981e-01,1.000e+00,0.000e+00,1.998e+00,5.847e-05,1.998e+00,0.000e+00,0.000e+00,0.000e+00,1.00
5500,5500,32037,8.985e+00,0.000e+00,3.000e+00,2.210e-05,1.475e-02,0.000e+00,0.000e+00,2.210e-05,1.000e+02,-1.985e+00,1.000e+00,2.000e+00,1.475e-02,2.210e-05,1.473e-02,0.000e+00,1.860e-05,0.000e+00,3.00
6000,6000,34410,-1.178e+01,1.000e+00,4.000e+00,1.578e-01,9.938e+00,1.560e-01,0.000e+00,1.785e-03,0.000e+00,7.781e+00,1.000e+00,4.000e+00,9.938e+00,1.578e-01,1.993e+00,0.000e+00,7.946e+00,0.000e+00,5.00
6500,6500,36606,8.993e+00,0.000e+00,2.000e+00,2.931e-06,6.861e-03,0.000e+00,0.000e+00,2.931e-06,1.000e+02,-1.993e+00,1.000e+00,1.000e+00,6.861e-03,2.931e-06,6.848e-03,0.000e+00,1.319e-05,0.000e+00,2.00
7000,7000,38679,8.002e+00,0.000e+00,1.000e+00,1.747e-06,1.998e+00,0.000e+00,0.000e+00,1.747e-06,1.000e+02,9.977e-01,1.000e+00,0.000e+00,1.998e+00,1.747e-06,1.998e+00,0.000e+00,0.000e+00,0.000e+00,1.00
7500,7500,40666,8.998e+00,0.000e+00,5.000e+00,1.085e-05,1.723e-03,0.000e+00,0.000e+00,1.085e-05,1.000e+02,-1.998e+00,1.000e+00,3.000e+00,1.723e-03,1.085e-05,1.146e-03,5.739e-04,2.968e-06,0.000e+00,5.00
8000,8000,42554,8.002e+00,0.000e+00,1.000e+00,2.078e-06,1.998e+00,0.000e+00,0.000e+00,2.078e-06,1.000e+02,9.983e-01,1.000e+00,0.000e+00,1.998e+00,2.078e-06,1.998e+00,0.000e+00,0.000e+00,0.000e+00,1.00
8500,8500,44361,8.002e+00,0.000e+00,1.000e+00,1.123e-06,1.998e+00,0.000e+00,0.000e+00,1.123e-06,1.000e+02,9.976e-01,1.000e+00,0.000e+00,1.998e+00,1.123e-06,1.998e+00,0.000e+00,0.000e+00,0.000e+00,1.00
9000,9000,46094,9.940e+00,0.000e+00,1.000e+00,5.354e-07,5.979e-02,0.000e+00,0.000e+00,5.354e-07,1.000e+02,-9.402e-01,1.000e+00,0.000e+00,5.979e-02,5.354e-07,5.979e-02,0.000e+00,0.000e+00,0.000e+00,1.00
9500,9500,47760,9.000e+00,0.000e+00,2.000e+00,7.133e-07,4.024e-05,0.000e+00,0.000e+00,7.133e-07,1.000e+02,-1.000e+00,1.000e+00,0.000e+00,4.024e-05,7.133e-07,4.008e-05,1.631e-07,0.000e+00,0.000e+00,2.00
10000,10000,49449,9.000e+00,0.000e+00,2.000e+00,4.893e-07,2.778e-05,0.000e+00,0.000e+00,4.893e-07,1.000e+02,-1.000e+00,1.000e+00,0.000e+00,2.778e-05,4.893e-07,2.764e-05,1.348e-07,0.000e+00,0.000e+00,2.00
10500,10500,51123,9.998e+00,0.000e+00,1.000e+00,2.296e-07,1.629e-03,0.000e+00,0.000e+00,2.296e-07,1.000e+02,-9.984e-01,1.000e+00,0.000e+00,1.629e-03,2.296e-07,1.629e-03,0.000e+00,0.000e+00,0.000e+00,1.00
11000,11000,52775,9.981e+00,0.000e+00,1.000e+00,1.926e-07,1.875e-02,0.000e+00,0.000e+00,1.926e-07,1.000e+02,-9.813e-01,1.000e+00,0.000e+00,1.875e-02,1.926e-07,1.875e-02,0.000e+00,0.000e+00,0.000e+00,1.00
11500,11500,54410,9.994e+00,0.000e+00,1.000e+00,1.075e-07,5.595e-03,0.000e+00,0.000e+00,1.075e-07,1.000e+02,-9.944e-01,1.000e+00,0.000e+00,5.595e-03,1.075e-07,5.595e-03,0.000e+00,0.000e+00,0.000e+00,1.00
12000,12000,56070,9.999e+00,0.000e+00,1.000e+00,8.401e-08,1.350e-03,0.000e+00,0.000e+00,8.401e-08,1.000e+02,-9.986e-01,1.000e+00,0.000e+00,1.350e-03,8.401e-08,1.350e-03,0.000e+00,0.000e+00,0.000e+00,1.00
12500,12500,57636,9.992e+00,0.000e+00,1.000e+00,8.088e-08,7.782e-03,0.000e+00,0.000e+00,8.088e-08,1.000e+02,-9.922e-01,1.000e+00,0.000e+00,7.782e-03,8.088e-08,7.782e-03,0.000e+00,0.000e+00,0.000e+00,1.00
13000,13000,59238,9.992e+00,0.000e+00,1.000e+00,0.000e+00,8.079e-03,0.000e+00,0.000e+00,0.000e+00,1.000e+02,-9.919e-01,1.000e+00,0.000e+00,8.079e-03,0.000e+00,8.079e-03,0.000e+00,0.000e+00,0.000e+00,1.00
13500,13500,60860,9.999e+00,0.000e+00,1.000e+00,0.000e+00,1.266e-03,0.000e+00,0.000e+00,0.000e+00,1.000e+02,-9.987e-01,1.000e+00,0.000e+00,1.266e-03,0.000e+00,1.266e-03,0.000e+00,0.000e+00,0.000e+00,1.00
14000,14000,62523,9.994e+00,0.000e+00,1.000e+00,0.000e+00,6.301e-03,0.000e+00,0.000e+00,0.000e+00,1.000e+02,-9.937e-01,1.000e+00,0.000e+00,6.301e-03,0.000e+00,6.301e-03,0.000e+00,0.000e+00,0.000e+00,1.00
14500,14500,64181,9.000e+00,0.000e+00,2.000e+00,0.000e+00,2.003e-05,0.000e+00,0.000e+00,0.000e+00,1.000e+02,-1.000e+00,1.000e+00,0.000e+00,2.003e-05,0.000e+00,1.990e-05,1.261e-07,0.000e+00,0.000e+00,2.00
15000,15000,65818,9.998e+00,0.000e+00,1.000e+00,0.000e+00,1.952e-03,0.000e+00,0.000e+00,0.000e+00,1.000e+02,-9.980e-01,1.000e+00,0.000e+00,1.952e-03,0.000e+00,1.952e-03,0.000e+00,0.000e+00,0.000e+00,1.00
15500,15500,67520,9.998e+00,0.000e+00,1.000e+00,0.000e+00,2.034e-03,0.000e+00,0.000e+00,0.000e+00,1.000e+02,-9.980e-01,1.000e+00,0.000e+00,2.034e-03,0.000e+00,2.034e-03,0.000e+00,0.000e+00,0.000e+00,1.00
16000,16000,69256,8.049e+00,0.000e+00,1.000e+00,1.493e-07,1.951e+00,0.000e+00,0.000e+00,1.493e-07,1.000e+02,9.506e-01,1.000e+00,0.000e+00,1.951e+00,1.493e-07,1.951e+00,0.000e+00,0.000e+00,0.000e+00,1.00
16500,16500,70855,8.012e+00,0.000e+00,1.000e+00,7.646e-08,1.988e+00,0.000e+00,0.000e+00,7.646e-08,1.000e+02,9.880e-01,1.000e+00,0.000e+00,1.988e+00,7.646e-08,1.988e+00,0.000e+00,0.000e+00,0.000e+00,1.00
17000,17000,72464,8.062e+00,0.000e+00,1.000e+00,0.000e+00,1.938e+00,0.000e+00,0.000e+00,0.000e+00,1.000e+02,9.382e-01,1.000e+00,0.000e+00,1.938e+00,0.000e+00,1.938e+00,0.000e+00,0.000e+00,0.000e+00,1.00
17500,17500,74029,9.000e+00,0.000e+00,5.000e+00,0.000e+00,2.384e-07,0.000e+00,0.000e+00,0.000e+00,1.000e+02,-2.000e+00,1.000e+00,4.000e+00,2.384e-07,0.000e+00,2.384e-07,0.000e+00,0.000e+00,0.000e+00,5.00
18000,18000,75527,8.055e+00,0.000e+00,1.000e+00,0.000e+00,1.945e+00,0.000e+00,0.000e+00,0.000e+00,1.000e+02,9.451e-01,1.000e+00,0.000e+00,1.945e+00,0.000e+00,1.945e+00,0.000e+00,0.000e+00,0.000e+00,1.00
18500,18500,77022,9.996e+00,0.000e+00,1.000e+00,0.000e+00,4.375e-03,0.000e+00,0.000e+00,0.000e+00,1.000e+02,-9.956e-01,1.000e+00,0.000e+00,4.375e-03,0.000e+00,4.375e-03,0.000e+00,0.000e+00,0.000e+00,1.00
19000,19000,78535,9.885e+00,0.000e+00,1.000e+00,0.000e+00,1.149e-01,0.000e+00,0.000e+00,0.000e+00,1.000e+02,-8.851e-01,1.000e+00,0.000e+00,1.149e-01,0.000e+00,1.149e-01,0.000e+00,0.000e+00,0.000e+00,1.00
19500,19500,80002,8.026e+00,0.000e+00,1.000e+00,0.000e+00,1.974e+00,0.000e+00,0.000e+00,0.000e+00,1.000e+02,9.745e-01,1.000e+00,0.000e+00,1.974e+00,0.000e+00,1.974e+00,0.000e+00,0.000e+00,0.000e+00,1.00
20000,20000,81478,8.000e+00,0.000e+00,1.000e+00,0.000e+00,2.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000e+02,9.997e-01,1.000e+00,0.000e+00,2.000e+00,0.000e+00,2.000e+00,0.000e+00,0.000e+00,0.000e+00,1.00
