episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,steps_per_eps
1000,1000,6262,-2.477e+00,1.000e+00,1.000e+00,1.650e+00,1.127e+00,1.476e+00,2.017e-02,1.541e-01,1.000e+02,7.477e+00,1.000e+00,2.000e+00,1.127e+00,1.650e+00,7.670e-01,0.000e+00,3.604e-01,0.000e+00,3.00
2000,2000,12417,-3.782e+00,1.000e+00,4.000e+00,8.170e+00,9.952e+00,1.717e+00,0.000e+00,6.454e+00,0.000e+00,-1.218e+00,1.000e+00,3.000e+00,9.952e+00,8.170e+00,1.985e+00,1.971e+00,5.996e+00,0.000e+00,5.00
3000,3000,18282,7.036e+00,0.000e+00,4.000e+00,1.104e-03,1.965e+00,0.000e+00,0.000e+00,1.104e-03,1.000e+02,-3.627e-02,1.000e+00,1.000e+00,1.965e+00,1.104e-03,1.958e+00,6.838e-03,2.174e-04,0.000e+00,4.00
4000,4000,23730,8.011e+00,0.000e+00,1.000e+00,3.683e-04,1.989e+00,0.000e+00,0.000e+00,3.683e-04,1.000e+02,9.888e-01,1.000e+00,0.000e+00,1.989e+00,3.683e-04,1.989e+00,0.000e+00,0.000e+00,0.000e+00,1.00
5000,5000,28885,8.004e+00,0.000e+00,1.000e+00,1.114e-03,1.997e+00,0.000e+00,0.000e+00,1.114e-03,1.000e+02,9.956e-01,1.000e+00,0.000e+00,1.997e+00,1.114e-03,1.997e+00,0.000e+00,0.000e+00,0.000e+00,1.00
6000,6000,33564,8.989e+00,0.000e+00,4.000e+00,1.297e-04,1.132e-02,0.000e+00,0.000e+00,1.297e-04,1.000e+02,-1.989e+00,1.000e+00,3.000e+00,1.132e-02,1.297e-04,1.132e-02,0.000e+00,1.291e-06,0.000e+00,4.00
7000,7000,37657,8.043e+00,0.000e+00,1.000e+00,2.110e-05,1.957e+00,0.000e+00,0.000e+00,2.110e-05,1.000e+02,9.570e-01,1.000e+00,0.000e+00,1.957e+00,2.110e-05,1.957e+00,0.000e+00,0.000e+00,0.000e+00,1.00
8000,8000,41356,8.993e+00,0.000e+00,2.000e+00,8.782e-06,7.284e-03,0.000e+00,0.000e+00,8.782e-06,1.000e+02,-9.927e-01,1.000e+00,0.000e+00,7.284e-03,8.782e-06,7.281e-03,3.287e-06,0.000e+00,0.000e+00,2.00
9000,9000,44665,9.990e+00,0.000e+00,1.000e+00,5.128e-06,1.035e-02,0.000e+00,0.000e+00,5.128e-06,1.000e+02,-9.897e-01,1.000e+00,0.000e+00,1.035e-02,5.128e-06,1.035e-02,0.000e+00,0.000e+00,0.000e+00,1.00
10000,10000,47859,9.000e+00,0.000e+00,2.000e+00,1.775e-06,4.878e-07,0.000e+00,0.000e+00,1.775e-06,1.000e+02,-2.000e+00,1.000e+00,1.000e+00,4.878e-07,1.775e-06,4.878e-07,0.000e+00,0.000e+00,0.000e+00,2.00
11000,11000,51019,9.999e+00,0.000e+00,1.000e+00,7.382e-07,8.536e-04,0.000e+00,0.000e+00,7.382e-07,1.000e+02,-9.991e-01,1.000e+00,0.000e+00,8.536e-04,7.382e-07,8.536e-04,0.000e+00,0.000e+00,0.000e+00,1.00
12000,12000,54038,1.000e+01,0.000e+00,1.000e+00,2.426e-07,1.334e-04,0.000e+00,0.000e+00,2.426e-07,1.000e+02,-9.999e-01,1.000e+00,0.000e+00,1.334e-04,2.426e-07,1.334e-04,0.000e+00,0.000e+00,0.000e+00,1.00
13000,13000,57003,1.000e+01,0.000e+00,1.000e+00,1.812e-07,1.362e-04,0.000e+00,0.000e+00,1.812e-07,1.000e+02,-9.999e-01,1.000e+00,0.000e+00,1.362e-04,1.812e-07,1.362e-04,0.000e+00,0.000e+00,0.000e+00,1.00
14000,14000,59910,9.999e+00,0.000e+00,1.000e+00,8.569e-08,5.194e-04,0.000e+00,0.000e+00,8.569e-08,1.000e+02,-9.995e-01,1.000e+00,0.000e+00,5.194e-04,8.569e-08,5.194e-04,0.000e+00,0.000e+00,0.000e+00,1.00
15000,15000,62919,9.999e+00,0.000e+00,1.000e+00,5.940e-08,8.784e-04,0.000e+00,0.000e+00,5.940e-08,1.000e+02,-9.991e-01,1.000e+00,0.000e+00,8.784e-04,5.940e-08,8.784e-04,0.000e+00,0.000e+00,0.000e+00,1.00
16000,16000,65862,9.000e+00,0.000e+00,2.000e+00,0.000e+00,1.370e-07,0.000e+00,0.000e+00,0.000e+00,1.000e+02,-2.000e+00,1.000e+00,1.000e+00,1.370e-07,0.000e+00,1.370e-07,0.000e+00,0.000e+00,0.000e+00,2.00
17000,17000,68802,9.000e+00,0.000e+00,2.000e+00,0.000e+00,5.567e-08,0.000e+00,0.000e+00,0.000e+00,1.000e+02,-1.000e+00,1.000e+00,0.000e+00,5.567e-08,0.000e+00,5.567e-08,0.000e+00,0.000e+00,0.000e+00,2.00
18000,18000,71718,1.000e+01,0.000e+00,1.000e+00,0.000e+00,1.197e-05,0.000e+00,0.000e+00,0.000e+00,1.000e+02,-1.000e+00,1.000e+00,0.000e+00,1.197e-05,0.000e+00,1.197e-05,0.000e+00,0.000e+00,0.000e+00,1.00
19000,19000,74728,9.000e+00,0.000e+00,2.000e+00,0.000e+00,1.501e-07,0.000e+00,0.000e+00,0.000e+00,1.000e+02,-2.000e+00,1.000e+00,1.000e+00,1.501e-07,0.000e+00,1.501e-07,0.000e+00,0.000e+00,0.000e+00,2.00
20000,20000,77663,1.000e+01,0.000e+00,1.000e+00,0.000e+00,1.572e-05,0.000e+00,0.000e+00,0.000e+00,1.000e+02,-1.000e+00,1.000e+00,0.000e+00,1.572e-05,0.000e+00,1.572e-05,0.000e+00,0.000e+00,0.000e+00,1.00
21000,21000,80598,1.000e+01,0.000e+00,1.000e+00,0.000e+00,8.242e-06,0.000e+00,0.000e+00,0.000e+00,1.000e+02,-1.000e+00,1.000e+00,0.000e+00,8.242e-06,0.000e+00,8.242e-06,0.000e+00,0.000e+00,0.000e+00,1.00
22000,22000,83590,1.000e+01,0.000e+00,1.000e+00,0.000e+00,8.590e-07,0.000e+00,0.000e+00,0.000e+00,1.000e+02,-1.000e+00,1.000e+00,0.000e+00,8.590e-07,0.000e+00,8.590e-07,0.000e+00,0.000e+00,0.000e+00,1.00
23000,23000,86591,9.000e+00,0.000e+00,2.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000e+02,-2.000e+00,1.000e+00,1.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,2.00
24000,24000,89455,1.000e+01,0.000e+00,1.000e+00,0.000e+00,2.522e-07,0.000e+00,0.000e+00,0.000e+00,1.000e+02,-1.000e+00,1.000e+00,0.000e+00,2.522e-07,0.000e+00,2.522e-07,0.000e+00,0.000e+00,0.000e+00,1.00
25000,25000,92515,9.000e+00,0.000e+00,5.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000e+02,-2.000e+00,1.000e+00,4.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,5.00
