episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,steps_per_eps
100,100,668,-3.089e+01,4.000e-01,2.800e+00,4.514e+00,3.900e+01,4.000e-01,7.510e-01,3.363e+00,5.000e+01,3.259e+01,8.000e-01,1.300e+00,3.900e+01,4.514e+00,8.000e+00,1.800e+01,1.300e+01,0.000e+00,3.90
200,200,1363,-2.703e+01,4.000e-01,2.600e+00,1.969e+00,3.300e+01,2.721e-01,1.946e-01,1.502e+00,7.000e+01,3.143e+01,5.000e-01,1.800e+00,3.300e+01,1.969e+00,5.000e+00,1.000e+01,1.800e+01,0.000e+00,3.30
300,300,2049,-4.012e+01,1.000e-01,3.800e+00,9.780e-01,4.300e+01,4.201e-02,1.253e-01,8.107e-01,3.000e+01,4.012e+01,3.000e-01,1.300e+00,4.300e+01,9.780e-01,3.000e+00,2.700e+01,1.300e+01,0.000e+00,4.30
400,400,2809,-4.373e+01,3.000e-01,4.000e+00,7.671e-01,4.500e+01,1.313e-01,4.579e-02,5.900e-01,2.000e+01,4.283e+01,2.000e-01,1.200e+00,4.500e+01,7.671e-01,2.000e+00,3.100e+01,1.200e+01,0.000e+00,4.50
500,500,3494,-4.348e+01,0.000e+00,4.100e+00,5.239e-01,4.600e+01,0.000e+00,8.267e-02,4.412e-01,3.000e+01,4.368e+01,3.000e-01,1.400e+00,4.600e+01,5.239e-01,3.000e+00,2.900e+01,1.400e+01,0.000e+00,4.60
600,600,4201,-3.079e+01,2.000e-01,3.100e+00,2.122e-01,3.600e+01,3.900e-02,2.694e-02,1.462e-01,7.000e+01,3.549e+01,6.000e-01,1.200e+00,3.600e+01,2.122e-01,6.000e+00,1.800e+01,1.200e+01,0.000e+00,3.60
700,700,4957,-4.076e+01,0.000e+00,4.200e+00,1.443e-01,4.300e+01,0.000e+00,6.673e-03,1.377e-01,3.000e+01,4.166e+01,3.000e-01,7.000e-01,4.300e+01,1.443e-01,3.000e+00,3.300e+01,7.000e+00,0.000e+00,4.30
800,800,5767,-4.287e+01,1.000e-01,4.000e+00,1.303e-01,4.400e+01,1.159e-02,1.526e-02,1.035e-01,2.000e+01,4.187e+01,2.000e-01,1.300e+00,4.400e+01,1.303e-01,2.000e+00,2.900e+01,1.300e+01,0.000e+00,4.40
900,900,6618,-5.135e+01,3.000e-01,4.500e+00,1.531e-01,5.000e+01,3.090e-02,9.960e-03,1.122e-01,0.000e+00,4.865e+01,1.000e-01,7.000e-01,5.000e+01,1.531e-01,1.000e+00,4.200e+01,7.000e+00,0.000e+00,5.00
1000,1000,7524,-4.699e+01,1.000e-01,4.400e+00,1.061e-01,4.700e+01,1.008e-02,8.687e-03,8.731e-02,1.000e+01,4.589e+01,1.000e-01,6.000e-01,4.700e+01,1.061e-01,1.000e+00,4.000e+01,6.000e+00,0.000e+00,4.70
