episode,step_train,step,A1_reward_total,A1_reward_env,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A1_total_energy,A1_reward_per_energy,A2_reward_total,A2_reward_env,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A2_total_energy,A2_reward_per_energy,steps_per_eps
500,500,3116,5.451e-01,2.700e+00,9.000e-01,1.600e+00,1.330e+00,3.484e+00,9.945e-01,1.373e-01,1.977e-01,8.000e+01,6.339e+00,7.313e-01,2.455e+00,3.000e-01,1.500e+00,1.400e+00,3.484e+00,1.330e+00,2.186e+00,7.963e-01,5.025e-01,0.000e+00,4.714e+00,1.851e-01,3.60
1000,1000,6150,7.191e-02,1.300e+00,1.100e+00,1.500e+00,1.577e+00,2.805e+00,1.457e+00,2.283e-02,9.696e-02,5.000e+01,6.691e+00,8.211e-02,1.281e-01,-1.100e+00,1.100e+00,2.100e+00,2.805e+00,1.577e+00,2.126e+00,3.679e-01,3.112e-01,0.000e+00,7.309e+00,9.241e-02,4.10
1500,1500,9226,1.838e+00,1.400e+00,6.000e-01,1.500e+00,1.908e+00,1.471e+00,1.148e+00,4.108e-02,7.189e-01,7.000e+01,5.362e+00,6.073e-01,1.762e+00,2.200e+00,6.000e-01,1.900e+00,1.471e+00,1.908e+00,1.195e+00,1.283e-02,2.629e-01,0.000e+00,6.116e+00,4.774e-01,3.10
2000,2000,12352,2.014e+00,0.000e+00,1.000e+00,2.100e+00,4.598e+00,2.583e+00,1.995e+00,4.026e-01,2.200e+00,5.000e+01,7.107e+00,1.449e-01,-1.214e+00,8.000e-01,8.000e-01,2.200e+00,2.583e+00,4.598e+00,1.594e+00,1.664e-03,9.883e-01,0.000e+00,8.055e+00,8.067e-01,3.40
2500,2500,15419,3.809e+00,4.600e+00,4.000e-01,2.200e+00,1.194e+00,1.985e+00,7.986e-01,1.019e-03,3.940e-01,8.000e+01,6.254e+00,7.719e-01,1.091e+00,3.000e-01,8.000e-01,1.400e+00,1.985e+00,1.194e+00,1.593e+00,1.617e-03,3.903e-01,0.000e+00,4.430e+00,3.435e-01,2.80
3000,3000,18479,5.095e+00,4.900e+00,4.000e-01,2.000e+00,2.199e+00,2.004e+00,7.985e-01,2.020e-01,1.199e+00,8.000e+01,6.186e+00,1.397e+00,5.025e-03,2.000e-01,8.000e-01,1.600e+00,2.004e+00,2.199e+00,1.599e+00,8.224e-04,4.048e-01,0.000e+00,5.244e+00,3.431e-01,2.70
3500,3500,21525,7.933e-01,4.000e-01,6.000e-01,2.100e+00,1.202e+00,8.086e-01,1.198e+00,3.543e-03,4.537e-04,8.000e+01,6.202e+00,1.318e-01,4.407e+00,4.800e+00,3.000e-01,2.600e+00,8.086e-01,1.202e+00,5.995e-01,1.291e-03,2.079e-01,0.000e+00,6.946e+00,1.289e+00,3.10
4000,4000,24748,4.422e+00,5.000e+00,3.000e-01,2.100e+00,6.217e-01,1.200e+00,5.965e-01,2.513e-02,4.993e-05,9.000e+01,5.657e+00,1.322e+00,2.178e+00,1.600e+00,6.000e-01,1.900e+00,1.200e+00,6.217e-01,1.199e+00,9.579e-06,1.728e-04,0.000e+00,5.014e+00,3.813e-01,2.60
4500,4500,28132,-8.376e-02,-6.000e-01,3.000e-01,3.700e+00,1.726e+00,1.209e+00,5.998e-01,2.931e-01,8.327e-01,3.000e+01,1.037e+01,-1.482e-01,-4.162e-01,1.000e-01,4.000e-01,3.400e+00,1.209e+00,1.726e+00,8.000e-01,9.179e-03,4.002e-01,0.000e+00,9.974e+00,1.723e-01,4.30
5000,5000,31642,1.292e+00,6.000e-01,5.000e-01,2.200e+00,1.096e+00,4.045e-01,1.000e+00,7.889e-02,1.737e-02,7.000e+01,5.788e+00,2.696e-01,3.408e+00,4.100e+00,2.000e-01,2.600e+00,4.045e-01,1.096e+00,4.000e-01,0.000e+00,4.542e-03,0.000e+00,6.710e+00,1.182e+00,2.80
5500,5500,35268,4.345e+00,-8.000e-01,1.000e-01,3.500e+00,5.553e+00,4.080e-01,2.000e-01,1.951e+00,3.402e+00,2.000e+01,1.029e+01,-1.266e-01,-5.445e+00,-3.000e-01,2.000e-01,4.300e+00,4.080e-01,5.553e+00,4.000e-01,4.941e-03,3.035e-03,0.000e+00,1.380e+01,7.244e-02,4.60
6000,6000,39051,3.399e+00,-6.000e-01,5.000e-01,2.300e+00,4.202e+00,2.021e-01,1.000e+00,1.200e+00,2.002e+00,6.000e+01,6.687e+00,-3.586e-02,1.006e-01,4.100e+00,1.000e-01,3.300e+00,2.021e-01,4.202e+00,2.000e-01,0.000e+00,2.150e-03,0.000e+00,1.026e+01,1.020e+00,3.40
6500,6500,43008,4.099e+00,-1.000e-01,3.000e-01,2.900e+00,6.400e+00,2.201e+00,6.000e-01,1.599e+00,4.200e+00,4.000e+01,9.629e+00,-4.528e-02,-2.399e+00,1.800e+00,3.000e-01,3.700e+00,2.201e+00,6.400e+00,6.000e-01,0.000e+00,1.601e+00,0.000e+00,1.277e+01,5.242e-01,4.00
7000,7000,47073,6.330e+00,-2.000e-01,0.000e+00,3.200e+00,7.965e+00,1.435e+00,0.000e+00,2.985e+00,4.980e+00,1.000e+01,1.122e+01,5.826e-02,-7.830e+00,-1.300e+00,3.000e-01,4.000e+00,1.435e+00,7.965e+00,6.000e-01,4.239e-01,4.112e-01,0.000e+00,1.534e+01,-1.551e-01,4.70
