episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,steps_per_eps
100,100,1000,-3.638e+00,0.000e+00,0.000e+00,3.446e-01,3.983e+00,0.000e+00,3.446e-01,0.000e+00,0.000e+00,4.384e-01,9.000e-01,1.700e+00,3.983e+00,3.446e-01,6.314e-01,2.022e+00,1.329e+00,0.000e+00,5.00
200,200,2000,-3.157e+00,0.000e+00,0.000e+00,1.274e-02,3.170e+00,0.000e+00,1.274e-02,0.000e+00,0.000e+00,-2.432e-01,1.300e+00,1.500e+00,3.170e+00,1.274e-02,7.114e-01,1.533e+00,9.253e-01,0.000e+00,5.00
300,300,3000,-2.435e+00,0.000e+00,0.000e+00,4.162e-03,2.439e+00,0.000e+00,4.162e-03,0.000e+00,0.000e+00,-1.065e+00,1.100e+00,1.800e+00,2.439e+00,4.162e-03,5.089e-01,1.107e+00,8.237e-01,0.000e+00,5.00
400,400,4000,-1.811e+00,0.000e+00,0.000e+00,1.961e-03,1.813e+00,0.000e+00,1.961e-03,0.000e+00,0.000e+00,-5.889e-01,1.100e+00,1.600e+00,1.813e+00,1.961e-03,3.455e-01,9.388e-01,5.287e-01,0.000e+00,5.00
500,500,5000,-1.244e+00,0.000e+00,0.000e+00,1.249e-03,1.245e+00,0.000e+00,1.249e-03,0.000e+00,0.000e+00,-1.656e+00,1.300e+00,1.800e+00,1.245e+00,1.249e-03,2.876e-01,5.492e-01,4.082e-01,0.000e+00,5.00
600,600,6000,-8.713e-01,0.000e+00,0.000e+00,8.130e-04,8.721e-01,0.000e+00,8.130e-04,0.000e+00,0.000e+00,-2.429e+00,1.300e+00,1.300e+00,8.721e-01,8.130e-04,2.002e-01,4.691e-01,2.028e-01,0.000e+00,5.00
700,700,7000,-6.094e-01,0.000e+00,0.000e+00,5.616e-04,6.099e-01,0.000e+00,5.616e-04,0.000e+00,0.000e+00,-2.691e+00,1.400e+00,1.200e+00,6.099e-01,5.616e-04,1.532e-01,3.383e-01,1.184e-01,0.000e+00,5.00
800,800,8000,-4.193e-01,0.000e+00,0.000e+00,3.689e-04,4.196e-01,0.000e+00,3.689e-04,0.000e+00,0.000e+00,-2.381e+00,1.200e+00,1.100e+00,4.196e-01,3.689e-04,8.820e-02,2.587e-01,7.279e-02,0.000e+00,5.00
900,900,9000,-2.905e-01,0.000e+00,0.000e+00,2.772e-04,2.908e-01,0.000e+00,2.772e-04,0.000e+00,0.000e+00,-2.709e+00,1.200e+00,1.300e+00,2.908e-01,2.772e-04,6.557e-02,1.679e-01,5.728e-02,0.000e+00,5.00
1000,1000,10000,-2.025e-01,0.000e+00,0.000e+00,2.381e-04,2.027e-01,0.000e+00,2.381e-04,0.000e+00,0.000e+00,-2.298e+00,1.400e+00,2.000e+00,2.027e-01,2.381e-04,5.658e-02,7.943e-02,6.670e-02,0.000e+00,5.00
