episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,steps_per_eps
100,100,716,3.150e+00,1.100e+00,1.600e+00,3.987e+00,2.937e+00,1.462e+00,9.119e-01,1.613e+00,6.000e+01,-7.501e-01,8.000e-01,7.000e-01,2.937e+00,3.987e+00,7.697e-01,1.611e+00,5.566e-01,0.000e+00,3.50
200,200,1405,1.178e+00,1.100e+00,1.300e+00,2.443e+00,2.965e+00,9.993e-01,8.456e-01,5.980e-01,7.000e+01,1.822e+00,9.000e-01,1.100e+00,2.965e+00,2.443e+00,8.447e-01,1.218e+00,9.029e-01,0.000e+00,3.80
300,300,2040,-2.640e+00,1.200e+00,1.700e+00,2.257e+00,2.998e+00,1.062e+00,6.837e-01,5.112e-01,3.000e+01,-1.596e-01,7.000e-01,1.500e+00,2.998e+00,2.257e+00,6.918e-01,1.352e+00,9.541e-01,0.000e+00,4.40
400,400,2699,-6.446e-01,1.100e+00,9.000e-01,1.622e+00,1.466e+00,1.273e+00,2.183e-01,1.305e-01,8.000e+01,5.245e+00,6.000e-01,1.800e+00,1.466e+00,1.622e+00,5.812e-01,2.395e-01,6.456e-01,0.000e+00,3.20
500,500,3367,3.114e+00,7.000e-01,7.000e-01,1.443e+00,1.229e+00,1.088e+00,2.278e-01,1.278e-01,9.000e+01,3.686e+00,8.000e-01,1.000e+00,1.229e+00,1.443e+00,9.732e-01,6.217e-02,1.934e-01,0.000e+00,2.20
600,600,4029,-7.470e-01,1.500e+00,1.400e+00,1.907e+00,1.254e+00,1.669e+00,1.498e-01,8.835e-02,6.000e+01,2.347e+00,9.000e-01,1.600e+00,1.254e+00,1.907e+00,9.229e-01,1.500e-01,1.812e-01,0.000e+00,4.00
700,700,4654,-6.057e-01,1.100e+00,1.100e+00,1.807e+00,1.112e+00,1.596e+00,1.711e-01,3.963e-02,6.000e+01,2.206e+00,9.000e-01,1.500e+00,1.112e+00,1.807e+00,8.366e-01,1.381e-01,1.378e-01,0.000e+00,3.60
800,800,5343,2.620e+00,1.000e+00,9.000e-01,1.817e+00,1.396e+00,1.278e+00,4.210e-01,1.176e-01,9.000e+01,2.780e+00,8.000e-01,1.500e+00,1.396e+00,1.817e+00,1.118e+00,1.063e-01,1.725e-01,0.000e+00,3.00
900,900,6007,-2.263e+00,1.100e+00,1.200e+00,1.655e+00,1.517e+00,1.425e+00,5.538e-02,1.740e-01,4.000e+01,1.863e+00,5.000e-01,1.900e+00,1.517e+00,1.655e+00,7.703e-01,3.935e-01,3.535e-01,0.000e+00,3.70
1000,1000,6654,-1.004e+00,1.300e+00,7.000e-01,3.612e+00,2.016e+00,2.447e+00,6.708e-01,4.939e-01,5.000e+01,1.904e+00,4.000e-01,1.500e+00,2.016e+00,3.612e+00,7.388e-01,4.214e-01,8.561e-01,0.000e+00,3.30
1100,1100,7327,-3.601e-01,6.000e-01,1.400e+00,1.166e+00,3.926e+00,1.053e+00,3.448e-03,1.098e-01,5.000e+01,1.960e+00,9.000e-01,1.200e+00,3.926e+00,1.166e+00,1.720e+00,9.668e-01,1.239e+00,0.000e+00,3.20
