episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,A4_reward_total,A4_n_lever,A4_n_door,A4_received,A4_given,A4_r-lever,A4_r-start,A4_r-door,A4_win_rate,steps_per_eps
100,100,947,-6.538e+00,6.000e-01,2.200e+00,6.934e+00,1.117e+01,9.089e-01,1.909e+00,4.116e+00,3.000e+01,-1.790e+00,2.000e-01,1.300e+00,8.731e+00,1.172e+01,5.103e-01,5.259e+00,2.962e+00,0.000e+00,-2.260e+00,1.400e+00,5.000e-01,1.085e+01,1.071e+01,3.728e+00,5.836e+00,1.284e+00,0.000e+00,4.189e+00,1.300e+00,1.400e+00,1.411e+01,7.022e+00,4.470e+00,4.670e+00,4.972e+00,0.000e+00,4.00
200,200,1887,-9.610e+00,1.200e+00,2.700e+00,5.167e+00,1.218e+01,6.959e-01,9.447e-01,3.526e+00,0.000e+00,-7.341e+00,4.000e-01,1.400e+00,6.861e+00,1.160e+01,6.419e-01,4.591e+00,1.628e+00,0.000e+00,-8.282e+00,1.800e+00,1.200e+00,6.613e+00,1.109e+01,2.350e+00,2.660e+00,1.602e+00,0.000e+00,1.313e+01,8.000e-01,2.000e+00,1.970e+01,3.464e+00,2.961e+00,8.845e+00,7.891e+00,0.000e+00,5.00
300,300,2824,-9.736e+00,7.000e-01,2.900e+00,4.285e+00,1.072e+01,4.265e-01,6.443e-01,3.214e+00,1.000e+01,9.531e-01,5.000e-01,8.000e-01,1.287e+01,9.921e+00,1.376e+00,9.554e+00,1.944e+00,0.000e+00,-1.230e+01,7.000e-01,1.000e+00,1.211e+00,1.141e+01,2.208e-01,7.290e-01,2.610e-01,0.000e+00,1.188e+01,1.300e+00,1.500e+00,1.702e+01,3.333e+00,4.589e+00,7.161e+00,5.267e+00,0.000e+00,4.80
400,400,3775,5.233e+00,8.000e-01,2.800e+00,1.619e+01,8.060e+00,2.474e+00,3.142e+00,1.058e+01,1.000e+01,-3.580e+00,1.000e-01,1.500e+00,8.068e+00,9.647e+00,1.999e-01,5.461e+00,2.406e+00,0.000e+00,-1.149e+01,5.000e-01,1.000e+00,2.041e+00,1.243e+01,2.153e-01,1.385e+00,4.410e-01,0.000e+00,6.380e-01,2.100e+00,1.300e+00,1.325e+01,9.413e+00,6.271e+00,3.236e+00,3.744e+00,0.000e+00,4.60
500,500,4735,-5.425e+00,8.000e-01,2.600e+00,1.021e+01,1.244e+01,8.124e-01,1.670e+00,7.727e+00,1.000e+01,5.712e-01,3.000e-01,7.000e-01,1.212e+01,9.947e+00,8.326e-01,1.015e+01,1.137e+00,0.000e+00,-7.060e+00,9.000e-01,7.000e-01,6.169e+00,1.093e+01,1.143e+00,4.420e+00,6.064e-01,0.000e+00,2.914e+00,8.000e-01,1.900e+00,1.596e+01,1.114e+01,2.975e+00,6.636e+00,6.346e+00,0.000e+00,4.60
600,600,5699,-1.481e+01,6.000e-01,3.500e+00,4.170e+00,1.678e+01,2.085e-01,1.857e-01,3.776e+00,0.000e+00,7.141e+00,3.000e-01,8.000e-01,1.956e+01,1.062e+01,6.710e-01,1.752e+01,1.372e+00,0.000e+00,-1.254e+01,9.000e-01,4.000e-01,4.944e+00,1.528e+01,7.947e-01,3.894e+00,2.550e-01,0.000e+00,1.101e+01,8.000e-01,1.800e+00,2.191e+01,7.903e+00,3.559e+00,1.064e+01,7.714e+00,0.000e+00,5.00
700,700,6674,-1.384e+01,8.000e-01,3.100e+00,1.815e+00,1.275e+01,1.869e-01,6.069e-02,1.567e+00,0.000e+00,1.056e+01,2.000e-01,2.000e-01,2.227e+01,1.091e+01,2.306e-01,2.170e+01,3.436e-01,0.000e+00,-1.163e+01,4.000e-01,6.000e-01,2.760e+00,1.259e+01,2.023e-01,2.353e+00,2.047e-01,0.000e+00,6.608e+00,6.000e-01,2.300e+00,1.906e+01,9.649e+00,2.327e+00,8.209e+00,8.521e+00,0.000e+00,5.00
800,800,7670,-1.611e+01,3.000e-01,4.300e+00,2.332e+00,1.664e+01,8.755e-02,5.545e-02,2.189e+00,0.000e+00,1.108e+01,1.000e-01,2.000e-01,2.402e+01,1.233e+01,1.149e-01,2.369e+01,2.142e-01,0.000e+00,-1.108e+01,6.000e-01,3.000e-01,5.210e+00,1.469e+01,4.806e-01,4.596e+00,1.336e-01,0.000e+00,9.208e+00,4.000e-01,2.100e+00,2.224e+01,1.013e+01,1.914e+00,1.193e+01,8.393e+00,0.000e+00,5.00
900,900,8667,-1.142e+01,1.000e+00,2.500e+00,3.111e-01,9.033e+00,2.693e-02,2.912e-02,2.550e-01,0.000e+00,-5.491e+00,2.000e-01,1.000e-01,6.459e+00,1.135e+01,1.721e-01,6.199e+00,8.794e-02,0.000e+00,-8.670e+00,5.000e-01,5.000e-01,3.364e+00,1.023e+01,1.289e-01,3.175e+00,6.021e-02,0.000e+00,1.778e+01,1.100e+00,1.100e+00,2.129e+01,8.073e-01,4.725e+00,1.209e+01,4.474e+00,0.000e+00,5.00
1000,1000,9663,-2.394e+00,5.000e-01,3.700e+00,9.386e+00,9.980e+00,7.445e-01,1.108e+00,7.533e+00,0.000e+00,8.091e+00,1.000e-01,0.000e+00,1.975e+01,1.146e+01,9.192e-02,1.965e+01,0.000e+00,0.000e+00,-1.759e+01,4.000e-01,1.000e-01,2.056e+00,1.865e+01,5.423e-02,2.000e+00,1.840e-03,0.000e+00,6.697e+00,9.000e-01,8.000e-01,1.033e+01,1.435e+00,1.894e+00,6.890e+00,1.548e+00,0.000e+00,5.00
