episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,A4_reward_total,A4_n_lever,A4_n_door,A4_received,A4_given,A4_r-lever,A4_r-start,A4_r-door,A4_win_rate,steps_per_eps
100,100,1000,-1.657e+01,0.000e+00,0.000e+00,3.362e-02,1.660e+01,0.000e+00,3.362e-02,0.000e+00,0.000e+00,4.030e+00,3.000e-01,1.500e+00,2.255e+01,1.622e+01,1.236e+00,1.458e+01,6.729e+00,0.000e+00,-8.796e+00,7.000e-01,5.000e-01,1.253e+01,1.893e+01,1.616e+00,9.618e+00,1.299e+00,0.000e+00,1.343e+01,1.200e+00,2.800e+00,2.435e+01,7.717e+00,5.547e+00,4.966e+00,1.384e+01,0.000e+00,5.00
200,200,2000,-1.729e+01,0.000e+00,0.000e+00,1.397e-02,1.731e+01,0.000e+00,1.397e-02,0.000e+00,0.000e+00,-9.250e-01,4.000e-01,1.000e+00,1.984e+01,1.847e+01,1.257e+00,1.513e+01,3.452e+00,0.000e+00,2.103e+00,8.000e-01,5.000e-01,2.139e+01,1.729e+01,2.452e+00,1.736e+01,1.578e+00,0.000e+00,9.116e+00,5.000e-01,1.700e+00,2.064e+01,8.822e+00,1.966e+00,1.137e+01,7.299e+00,0.000e+00,5.00
300,300,3000,-1.082e+01,0.000e+00,0.000e+00,8.067e-03,1.083e+01,0.000e+00,8.067e-03,0.000e+00,0.000e+00,-1.845e+00,4.000e-01,9.000e-01,1.173e+01,1.128e+01,5.692e-01,1.003e+01,1.132e+00,0.000e+00,-6.912e+00,1.200e+00,9.000e-01,5.425e+00,9.737e+00,5.771e-01,4.163e+00,6.844e-01,0.000e+00,1.117e+01,1.200e+00,2.400e+00,2.059e+01,5.912e+00,4.762e+00,5.921e+00,9.903e+00,0.000e+00,5.00
400,400,4000,-1.044e+01,0.000e+00,0.000e+00,2.300e-03,1.044e+01,0.000e+00,2.300e-03,0.000e+00,0.000e+00,-3.364e+00,0.000e+00,4.000e-01,1.039e+01,1.306e+01,0.000e+00,1.019e+01,2.062e-01,0.000e+00,-2.687e+00,1.100e+00,6.000e-01,1.016e+01,1.025e+01,8.483e-01,8.743e+00,5.738e-01,0.000e+00,9.786e+00,1.200e+00,2.300e+00,1.954e+01,6.350e+00,4.504e+00,5.841e+00,9.191e+00,0.000e+00,5.00
500,500,5000,-9.901e+00,0.000e+00,0.000e+00,8.991e-03,9.910e+00,0.000e+00,8.991e-03,0.000e+00,0.000e+00,7.467e+00,6.000e-01,2.000e-01,2.172e+01,1.275e+01,6.557e-01,2.092e+01,1.435e-01,0.000e+00,-7.864e-01,7.000e-01,7.000e-01,1.017e+01,8.854e+00,3.638e-01,9.449e+00,3.553e-01,0.000e+00,-3.679e+00,7.000e-01,2.200e+00,7.732e+00,8.111e+00,1.071e+00,3.249e+00,3.411e+00,0.000e+00,5.00
600,600,6000,-1.025e+01,0.000e+00,0.000e+00,1.311e-03,1.025e+01,0.000e+00,1.311e-03,0.000e+00,0.000e+00,-1.336e+01,4.000e-01,3.000e-01,4.522e+00,1.648e+01,8.196e-02,4.415e+00,2.487e-02,0.000e+00,1.143e+01,2.000e-01,2.000e-01,2.087e+01,8.639e+00,1.145e-01,2.068e+01,7.487e-02,0.000e+00,6.385e+00,7.000e-01,2.300e+00,1.795e+01,7.962e+00,2.331e+00,7.542e+00,8.074e+00,0.000e+00,5.00
700,700,7000,-1.133e+01,0.000e+00,0.000e+00,1.251e-03,1.133e+01,0.000e+00,1.251e-03,0.000e+00,0.000e+00,-9.720e+00,5.000e-01,0.000e+00,9.339e+00,1.806e+01,5.211e-02,9.287e+00,0.000e+00,0.000e+00,1.582e+01,2.000e-01,2.000e-01,2.512e+01,8.502e+00,3.866e-01,2.458e+01,1.582e-01,0.000e+00,2.667e-02,7.000e-01,1.800e+00,1.304e+01,9.611e+00,1.640e+00,6.896e+00,4.502e+00,0.000e+00,5.00
800,800,8000,-1.176e+01,0.000e+00,0.000e+00,3.417e-04,1.176e+01,0.000e+00,3.417e-04,0.000e+00,0.000e+00,8.867e+00,0.000e+00,1.000e-01,2.726e+01,1.819e+01,0.000e+00,2.706e+01,2.052e-01,0.000e+00,2.055e+00,1.000e-01,0.000e+00,1.324e+01,1.098e+01,9.893e-03,1.323e+01,0.000e+00,0.000e+00,-2.363e+00,3.000e-01,2.800e+00,1.038e+01,9.942e+00,4.857e-01,4.042e+00,5.850e+00,0.000e+00,5.00
900,900,9000,-1.445e+01,0.000e+00,0.000e+00,2.601e-04,1.445e+01,0.000e+00,2.601e-04,0.000e+00,0.000e+00,8.773e+00,0.000e+00,0.000e+00,2.524e+01,1.647e+01,0.000e+00,2.524e+01,0.000e+00,0.000e+00,2.283e+00,3.000e-01,0.000e+00,1.549e+01,1.261e+01,2.942e-02,1.546e+01,0.000e+00,0.000e+00,5.944e-01,1.000e-01,1.500e+00,1.329e+01,1.050e+01,2.328e-01,9.399e+00,3.661e+00,0.000e+00,5.00
1000,1000,10000,-1.481e+01,0.000e+00,0.000e+00,2.418e-04,1.481e+01,0.000e+00,2.418e-04,0.000e+00,0.000e+00,-6.863e-02,0.000e+00,0.000e+00,1.817e+01,1.823e+01,0.000e+00,1.817e+01,0.000e+00,0.000e+00,1.570e+01,0.000e+00,0.000e+00,2.658e+01,1.088e+01,0.000e+00,2.658e+01,0.000e+00,0.000e+00,-2.318e+00,1.000e-01,1.000e+00,9.905e+00,1.072e+01,1.029e-01,8.134e+00,1.668e+00,0.000e+00,5.00
