episode,step_train,step,A1_reward_total,A1_reward_env,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A1_total_energy,A1_reward_per_energy,A2_reward_total,A2_reward_env,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A2_total_energy,A2_reward_per_energy,steps_per_eps
500,500,4009,-1.287e+00,-1.400e+00,1.800e+00,1.000e+00,1.126e-01,0.000e+00,8.060e-02,6.330e-03,2.571e-02,4.000e+01,4.371e+00,-3.137e-01,7.874e-01,9.000e-01,8.000e-01,1.000e+00,0.000e+00,1.126e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,5.676e+00,3.590e-01,4.20
1000,1000,8039,1.228e+00,4.000e-01,1.800e+00,7.000e-01,8.283e-01,0.000e+00,7.838e-01,1.260e-03,4.327e-02,1.000e+02,2.571e+00,1.167e-01,5.872e+00,6.700e+00,6.000e-01,1.100e+00,0.000e+00,8.283e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,4.772e+00,1.490e+00,3.10
1500,1500,12008,4.446e+00,3.400e+00,5.000e-01,1.900e+00,1.046e+00,0.000e+00,8.894e-01,1.439e-04,1.568e-01,8.000e+01,5.529e+00,7.652e-01,3.536e-01,1.400e+00,8.000e-01,1.100e+00,0.000e+00,1.046e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,4.239e+00,5.530e-01,2.90
2000,2000,16039,2.710e+00,1.100e+00,6.000e-01,2.300e+00,1.610e+00,0.000e+00,1.015e+00,9.055e-05,5.944e-01,6.000e+01,6.557e+00,4.679e-01,-5.097e-01,1.100e+00,4.000e-01,1.900e+00,0.000e+00,1.610e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.638e+00,6.993e-01,3.40
2500,2500,20120,1.696e+00,-7.000e-01,8.000e-01,1.700e+00,2.396e+00,0.000e+00,1.592e+00,2.003e-01,6.032e-01,7.000e+01,4.757e+00,-9.543e-02,2.504e+00,4.900e+00,3.000e-01,1.800e+00,0.000e+00,2.396e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.130e+00,1.918e+00,2.80
3000,3000,24199,3.587e+00,1.200e+00,6.000e-01,1.700e+00,2.387e+00,0.000e+00,1.189e+00,5.976e-01,6.000e-01,7.000e+01,5.271e+00,7.642e-01,5.132e-01,2.900e+00,4.000e-01,1.900e+00,0.000e+00,2.387e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,6.527e+00,8.138e-01,3.00
3500,3500,28405,8.954e-01,-1.000e-01,5.000e-01,2.000e+00,9.954e-01,0.000e+00,9.943e-01,1.722e-04,9.260e-04,7.000e+01,6.171e+00,-6.806e-02,2.905e+00,3.900e+00,3.000e-01,2.900e+00,0.000e+00,9.954e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,7.586e+00,1.173e+00,3.30
4000,4000,32498,2.097e+00,1.300e+00,4.000e-01,2.500e+00,7.972e-01,0.000e+00,7.964e-01,6.998e-05,7.428e-04,7.000e+01,7.200e+00,4.148e-01,1.703e+00,2.500e+00,4.000e-01,2.900e+00,0.000e+00,7.972e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,7.715e+00,2.798e-01,3.50
4500,4500,36682,-9.012e-01,-1.900e+00,5.000e-01,2.400e+00,9.988e-01,0.000e+00,9.983e-01,8.634e-05,3.731e-04,5.000e+01,7.586e+00,-2.800e-01,2.701e+00,3.700e+00,0.000e+00,3.700e+00,0.000e+00,9.988e-01,0.000e+00,0.000e+00,0.000e+00,0.000e+00,9.900e+00,7.754e-01,4.00
5000,5000,41032,5.213e-05,0.000e+00,0.000e+00,0.000e+00,5.213e-05,0.000e+00,0.000e+00,5.213e-05,0.000e+00,0.000e+00,6.429e+00,0.000e+00,-1.500e+00,-1.500e+00,1.000e-01,4.500e+00,0.000e+00,5.213e-05,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.209e+01,-1.319e-01,5.00
