episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,A4_reward_total,A4_n_lever,A4_n_door,A4_received,A4_given,A4_r-lever,A4_r-start,A4_r-door,A4_win_rate,steps_per_eps
100,100,588,-8.267e+01,1.000e-01,7.000e-01,4.433e+00,8.700e+01,1.946e-01,3.105e+00,1.134e+00,9.000e+01,2.871e+01,1.100e+00,1.000e+00,3.554e+01,6.929e+00,1.361e+01,9.802e+00,1.213e+01,0.000e+00,2.732e+01,1.000e+00,1.300e+00,3.326e+01,7.945e+00,1.163e+01,6.925e+00,1.470e+01,0.000e+00,2.864e+01,1.600e+00,1.000e+00,3.642e+01,7.788e+00,2.024e+01,3.751e+00,1.243e+01,0.000e+00,2.90
200,200,1196,-6.526e+01,4.000e-01,1.100e+00,2.645e+00,7.200e+01,6.921e-01,1.165e+00,7.873e-01,1.000e+02,2.258e+01,1.000e+00,6.000e-01,2.876e+01,5.577e+00,1.207e+01,9.550e+00,7.136e+00,0.000e+00,2.307e+01,9.000e-01,1.000e+00,2.749e+01,5.811e+00,1.051e+01,5.677e+00,1.129e+01,0.000e+00,2.590e+01,1.200e+00,9.000e-01,3.067e+01,6.174e+00,1.549e+01,3.771e+00,1.141e+01,0.000e+00,2.40
300,300,1862,-9.445e+01,6.000e-01,2.500e+00,3.850e+00,1.020e+02,9.853e-01,3.943e-01,2.471e+00,6.000e+01,3.214e+01,1.200e+00,1.100e+00,3.983e+01,6.593e+00,1.426e+01,1.287e+01,1.271e+01,0.000e+00,3.283e+01,2.000e-01,2.200e+00,3.579e+01,6.158e+00,2.161e+00,1.061e+01,2.303e+01,0.000e+00,3.327e+01,7.000e-01,1.200e+00,4.189e+01,6.613e+00,8.846e+00,1.834e+01,1.470e+01,0.000e+00,3.40
400,400,2547,-8.324e+01,5.000e-01,2.200e+00,5.963e+00,9.300e+01,1.103e+00,6.354e-01,4.225e+00,7.000e+01,2.876e+01,8.000e-01,5.000e-01,3.380e+01,4.736e+00,8.966e+00,1.939e+01,5.445e+00,0.000e+00,2.904e+01,4.000e-01,2.200e+00,3.168e+01,3.035e+00,4.170e+00,5.134e+00,2.237e+01,0.000e+00,3.043e+01,4.000e-01,1.600e+00,3.478e+01,5.446e+00,4.742e+00,1.220e+01,1.784e+01,0.000e+00,3.10
500,500,3301,-1.450e+02,5.000e-01,4.100e+00,4.472e+00,1.500e+02,4.821e-01,2.675e-01,3.723e+00,2.000e+01,4.609e+01,1.200e+00,1.200e+00,5.178e+01,2.889e+00,1.254e+01,2.686e+01,1.239e+01,0.000e+00,4.857e+01,5.000e-01,3.800e+00,5.067e+01,5.947e-01,5.138e+00,7.101e+00,3.843e+01,0.000e+00,4.437e+01,6.000e-01,2.800e+00,5.155e+01,4.987e+00,6.286e+00,1.655e+01,2.871e+01,0.000e+00,5.00
600,600,4059,-1.256e+02,2.000e-01,3.500e+00,2.462e+00,1.290e+02,1.250e-01,2.557e-01,2.082e+00,3.000e+01,3.982e+01,1.000e+00,7.000e-01,4.363e+01,2.512e+00,1.023e+01,2.631e+01,7.098e+00,0.000e+00,4.295e+01,4.000e-01,3.200e+00,4.375e+01,2.993e-01,4.138e+00,7.169e+00,3.244e+01,0.000e+00,3.917e+01,6.000e-01,2.500e+00,4.458e+01,2.616e+00,6.383e+00,1.245e+01,2.575e+01,0.000e+00,4.30
700,700,4892,-1.093e+02,4.000e-01,3.000e+00,8.806e-01,1.110e+02,1.139e-01,8.190e-02,6.848e-01,4.000e+01,3.333e+01,4.000e-01,7.000e-01,3.773e+01,3.002e+00,4.152e+00,2.644e+01,7.143e+00,0.000e+00,3.941e+01,3.000e-01,2.300e+00,3.956e+01,2.503e-01,3.409e+00,1.187e+01,2.429e+01,0.000e+00,3.408e+01,7.000e-01,1.600e+00,3.819e+01,2.115e+00,7.344e+00,1.449e+01,1.635e+01,0.000e+00,3.70
800,800,5715,-1.481e+02,1.000e-01,4.300e+00,1.036e+00,1.500e+02,2.019e-02,9.085e-02,9.248e-01,2.000e+01,4.667e+01,6.000e-01,9.000e-01,5.034e+01,1.973e+00,6.071e+00,3.520e+01,9.066e+00,0.000e+00,4.984e+01,7.000e-01,3.100e+00,5.278e+01,1.470e-01,8.146e+00,1.286e+01,3.177e+01,0.000e+00,4.506e+01,7.000e-01,2.900e+00,5.044e+01,2.484e+00,7.159e+00,1.412e+01,2.917e+01,0.000e+00,5.00
900,900,6583,-1.498e+02,0.000e+00,4.400e+00,1.207e+00,1.500e+02,0.000e+00,8.791e-02,1.119e+00,0.000e+00,4.722e+01,2.000e-01,1.000e+00,5.045e+01,1.130e+00,2.053e+00,3.828e+01,1.012e+01,0.000e+00,4.703e+01,1.000e-01,3.500e+00,5.016e+01,4.303e-01,1.018e+00,1.408e+01,3.506e+01,0.000e+00,4.734e+01,4.000e-01,3.500e+00,5.066e+01,9.208e-01,4.132e+00,1.119e+01,3.534e+01,0.000e+00,5.00
1000,1000,7480,-1.464e+02,1.000e-01,4.200e+00,6.978e-01,1.470e+02,1.553e-02,6.004e-02,6.223e-01,1.000e+01,4.752e+01,0.000e+00,5.000e-01,4.919e+01,9.665e-01,0.000e+00,4.416e+01,5.033e+00,0.000e+00,4.660e+01,1.000e+00,1.600e+00,4.939e+01,1.846e-01,1.020e+01,2.317e+01,1.602e+01,0.000e+00,4.677e+01,4.000e-01,3.400e+00,4.946e+01,5.817e-01,4.124e+00,1.115e+01,3.418e+01,0.000e+00,4.90
