episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,A4_reward_total,A4_n_lever,A4_n_door,A4_received,A4_given,A4_r-lever,A4_r-start,A4_r-door,A4_win_rate,steps_per_eps
100,100,566,-5.210e+00,2.200e+00,9.000e-01,7.246e+00,1.236e+01,3.785e+00,1.824e+00,1.638e+00,6.000e+01,1.064e+01,4.000e-01,2.700e+00,1.472e+01,6.086e+00,1.563e+00,3.384e+00,9.775e+00,0.000e+00,-3.898e+00,9.000e-01,2.300e+00,9.155e+00,1.035e+01,2.203e+00,1.841e+00,5.111e+00,0.000e+00,-1.628e+00,7.000e-01,1.800e+00,9.614e+00,1.194e+01,1.939e+00,3.476e+00,4.199e+00,0.000e+00,4.00
200,200,1190,-3.178e+00,1.500e+00,6.000e-01,7.979e+00,9.257e+00,4.312e+00,2.366e+00,1.301e+00,6.000e+01,7.830e+00,5.000e-01,2.200e+00,1.221e+01,5.875e+00,1.974e+00,1.745e+00,8.486e+00,0.000e+00,-3.747e-01,5.000e-01,2.100e+00,7.400e+00,9.374e+00,1.323e+00,1.441e+00,4.636e+00,0.000e+00,-3.877e+00,5.000e-01,1.500e+00,7.167e+00,1.024e+01,1.423e+00,2.364e+00,3.380e+00,0.000e+00,3.20
300,300,1828,-2.841e+00,1.200e+00,1.100e+00,3.521e+00,4.261e+00,1.942e+00,4.883e-01,1.090e+00,9.000e+01,7.068e+00,4.000e-01,1.900e+00,5.836e+00,2.068e+00,1.022e+00,1.010e+00,3.805e+00,0.000e+00,9.578e-01,5.000e-01,1.800e+00,2.849e+00,5.491e+00,8.013e-01,4.852e-01,1.563e+00,0.000e+00,-2.854e-01,6.000e-01,1.600e+00,5.372e+00,5.757e+00,1.243e+00,1.238e+00,2.891e+00,0.000e+00,2.80
400,400,2452,-1.171e+00,9.000e-01,9.000e-01,1.371e+00,2.342e+00,6.876e-01,3.942e-01,2.890e-01,7.000e+01,-3.613e-01,8.000e-01,1.500e+00,1.420e+00,1.982e+00,6.620e-01,2.013e-01,5.571e-01,0.000e+00,8.650e-01,2.000e-01,2.000e+00,8.651e-01,4.100e+00,1.222e-01,1.842e-01,5.587e-01,0.000e+00,3.667e+00,1.000e+00,1.300e+00,6.278e+00,1.510e+00,2.953e+00,9.568e-01,2.368e+00,0.000e+00,2.80
500,500,3112,-1.468e+00,1.300e+00,9.000e-01,1.346e+00,6.141e-01,9.739e-01,1.941e-01,1.781e-01,6.000e+01,3.009e+00,3.000e-01,1.900e+00,8.263e-01,1.217e+00,1.468e-01,2.938e-01,3.858e-01,0.000e+00,1.065e+00,4.000e-01,1.700e+00,8.048e-01,1.840e+00,1.896e-01,2.770e-01,3.382e-01,0.000e+00,-2.064e-01,6.000e-01,1.800e+00,1.618e+00,9.242e-01,6.209e-01,3.077e-01,6.892e-01,0.000e+00,3.10
600,600,3710,2.340e+00,2.000e+00,4.000e-01,5.710e+00,1.471e+00,5.034e+00,5.607e-01,1.158e-01,5.000e+01,2.905e+00,2.000e-01,2.800e+00,4.427e+00,3.921e+00,5.649e-01,1.005e+00,2.857e+00,0.000e+00,-1.889e+00,8.000e-01,2.200e+00,2.378e+00,4.567e+00,1.091e+00,4.311e-01,8.550e-01,0.000e+00,-2.756e+00,5.000e-01,2.200e+00,1.448e+00,4.004e+00,3.174e-01,4.889e-01,6.421e-01,0.000e+00,3.70
700,700,4311,8.842e-01,1.200e+00,1.200e+00,4.664e+00,2.680e+00,3.671e+00,5.031e-01,4.893e-01,6.000e+01,1.342e+00,8.000e-01,2.200e+00,5.188e+00,2.546e+00,2.746e+00,8.600e-01,1.582e+00,0.000e+00,1.446e-01,6.000e-01,2.300e+00,2.252e+00,3.908e+00,7.041e-01,5.140e-01,1.034e+00,0.000e+00,1.292e-01,4.000e-01,2.600e+00,1.209e+00,4.180e+00,4.109e-01,2.377e-01,5.603e-01,0.000e+00,3.70
800,800,4992,-3.619e+00,1.400e+00,1.300e+00,2.462e+00,4.382e+00,2.130e+00,1.378e-01,1.945e-01,4.000e+01,4.616e+00,3.000e-01,2.600e+00,5.743e+00,3.127e+00,1.302e+00,1.981e+00,2.461e+00,0.000e+00,-2.704e+00,1.000e+00,2.800e+00,2.425e+00,2.928e+00,1.603e+00,1.763e-01,6.453e-01,0.000e+00,3.068e-01,5.000e-01,2.400e+00,3.393e+00,3.586e+00,1.360e+00,8.247e-01,1.208e+00,0.000e+00,4.10
900,900,5660,3.420e+00,1.700e+00,9.000e-01,4.431e+00,1.611e+00,4.105e+00,1.174e-01,2.088e-01,7.000e+01,8.131e-01,1.000e-01,2.500e+00,6.301e-01,4.517e+00,7.878e-02,1.854e-01,3.659e-01,0.000e+00,-2.981e+00,7.000e-01,1.500e+00,1.544e+00,2.325e+00,8.632e-01,4.410e-01,2.395e-01,0.000e+00,1.048e+00,7.000e-01,1.500e+00,3.484e+00,1.636e+00,2.103e+00,1.009e+00,3.720e-01,0.000e+00,3.10
1000,1000,6372,-3.866e-01,1.300e+00,1.100e+00,3.209e+00,1.495e+00,2.998e+00,6.189e-02,1.483e-01,7.000e+01,1.726e+00,5.000e-01,2.200e+00,3.138e+00,2.412e+00,2.326e+00,7.690e-02,7.352e-01,0.000e+00,-7.449e-01,6.000e-01,2.100e+00,1.047e+00,2.892e+00,4.720e-01,1.122e-01,4.624e-01,0.000e+00,1.606e+00,4.000e-01,1.900e+00,1.210e+00,1.804e+00,6.567e-01,3.344e-01,2.184e-01,0.000e+00,3.20
