episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,A4_reward_total,A4_n_lever,A4_n_door,A4_received,A4_given,A4_r-lever,A4_r-start,A4_r-door,A4_win_rate,steps_per_eps
100,100,582,1.377e+00,5.000e-01,1.400e+00,5.506e+00,4.529e+00,9.552e-01,2.022e+00,2.529e+00,6.000e+01,1.231e-01,7.000e-01,1.200e+00,4.595e+00,5.072e+00,1.419e+00,1.681e+00,1.494e+00,0.000e+00,-1.061e+00,1.200e+00,1.100e+00,4.763e+00,4.723e+00,2.163e+00,9.113e-01,1.688e+00,0.000e+00,-1.340e+00,7.000e-01,1.100e+00,5.159e+00,5.699e+00,1.262e+00,2.032e+00,1.865e+00,0.000e+00,3.00
200,200,1133,4.314e+00,8.000e-01,1.200e+00,5.829e+00,3.715e+00,1.681e+00,1.989e+00,2.159e+00,9.000e+01,-4.981e-01,1.000e+00,1.500e+00,3.868e+00,4.366e+00,1.697e+00,7.587e-01,1.412e+00,0.000e+00,-1.331e+00,1.200e+00,5.000e-01,2.962e+00,4.393e+00,1.379e+00,1.264e+00,3.194e-01,0.000e+00,1.315e+00,6.000e-01,1.000e+00,4.835e+00,5.020e+00,9.952e-01,2.441e+00,1.399e+00,0.000e+00,3.10
300,300,1710,2.375e+00,1.000e+00,6.000e-01,3.836e+00,9.610e-01,1.932e+00,1.327e+00,5.769e-01,8.000e+01,2.156e+00,4.000e-01,1.500e+00,8.824e-01,1.926e+00,2.712e-01,2.768e-01,3.343e-01,0.000e+00,-1.186e+00,7.000e-01,9.000e-01,1.093e+00,1.579e+00,3.529e-01,3.994e-01,3.411e-01,0.000e+00,-8.448e-01,6.000e-01,1.100e+00,1.565e+00,2.910e+00,5.533e-01,5.099e-01,5.021e-01,0.000e+00,2.80
400,400,2265,7.647e-01,1.000e+00,8.000e-01,3.166e+00,8.017e-01,1.833e+00,7.414e-01,5.921e-01,8.000e+01,4.417e+00,5.000e-01,1.300e+00,9.573e-01,1.341e+00,4.831e-01,1.867e-01,2.874e-01,0.000e+00,-1.047e-01,1.100e+00,9.000e-01,8.077e-01,2.212e+00,5.414e-01,1.121e-01,1.542e-01,0.000e+00,-1.277e+00,8.000e-01,1.000e+00,1.356e+00,1.933e+00,7.772e-01,2.299e-01,3.489e-01,0.000e+00,2.60
500,500,2839,1.497e+00,1.000e+00,1.100e+00,3.197e+00,1.999e+00,2.384e+00,3.262e-01,4.860e-01,9.000e+01,2.632e+00,5.000e-01,1.400e+00,1.419e+00,1.988e+00,7.264e-01,3.248e-01,3.680e-01,0.000e+00,-1.377e+00,1.100e+00,9.000e-01,1.094e+00,2.771e+00,6.986e-01,1.681e-01,2.274e-01,0.000e+00,5.048e+00,9.000e-01,7.000e-01,3.000e+00,1.952e+00,1.893e+00,6.329e-01,4.746e-01,0.000e+00,2.70
600,600,3458,-5.699e-01,6.000e-01,1.400e+00,3.794e+00,4.064e+00,2.154e+00,1.149e+00,4.906e-01,6.000e+01,1.197e+00,8.000e-01,2.200e+00,3.553e+00,3.456e+00,2.044e+00,5.449e-01,9.649e-01,0.000e+00,-9.234e-01,1.100e+00,1.200e+00,3.624e+00,3.047e+00,2.116e+00,7.678e-01,7.401e-01,0.000e+00,-8.039e-01,7.000e-01,2.000e+00,4.276e+00,4.680e+00,1.937e+00,8.042e-01,1.535e+00,0.000e+00,3.60
700,700,4031,4.369e+00,9.000e-01,9.000e-01,7.441e+00,3.172e+00,4.471e+00,1.555e+00,1.415e+00,7.000e+01,2.737e+00,8.000e-01,1.400e+00,3.854e+00,4.516e+00,3.002e+00,2.636e-01,5.882e-01,0.000e+00,-2.105e+00,9.000e-01,7.000e-01,2.584e+00,4.188e+00,1.746e+00,5.856e-01,2.518e-01,0.000e+00,6.978e-01,7.000e-01,1.000e+00,2.909e+00,4.912e+00,2.031e+00,5.162e-01,3.620e-01,0.000e+00,2.70
800,800,4646,1.557e-01,6.000e-01,1.000e+00,2.709e+00,2.953e+00,2.337e+00,1.582e-01,2.143e-01,8.000e+01,5.432e+00,1.200e+00,7.000e-01,6.445e+00,2.213e+00,5.718e+00,4.155e-01,3.113e-01,0.000e+00,-2.845e+00,1.200e+00,8.000e-01,1.782e+00,3.626e+00,1.469e+00,9.737e-02,2.152e-01,0.000e+00,5.716e-02,7.000e-01,1.100e+00,1.764e+00,3.907e+00,1.303e+00,1.816e-01,2.794e-01,0.000e+00,2.60
900,900,5283,7.667e+00,8.000e-01,1.400e+00,7.921e+00,2.254e+00,4.474e+00,1.658e+00,1.788e+00,9.000e+01,3.953e+00,6.000e-01,1.800e+00,3.202e+00,4.649e+00,2.643e+00,1.455e-01,4.138e-01,0.000e+00,-2.901e+00,1.300e+00,5.000e-01,2.178e+00,4.280e+00,1.825e+00,1.816e-01,1.714e-01,0.000e+00,3.814e-01,8.000e-01,9.000e-01,2.115e+00,4.233e+00,1.633e+00,3.021e-01,1.791e-01,0.000e+00,2.80
1000,1000,5925,1.816e+00,9.000e-01,1.000e+00,5.499e+00,3.583e+00,4.318e+00,2.287e-01,9.517e-01,9.000e+01,2.688e+00,1.200e+00,1.700e+00,6.162e+00,3.074e+00,5.809e+00,1.112e-01,2.420e-01,0.000e+00,-2.688e+00,7.000e-01,1.400e+00,1.793e+00,4.181e+00,1.084e+00,4.520e-01,2.571e-01,0.000e+00,-1.016e+00,1.000e+00,1.700e+00,1.786e+00,4.402e+00,1.560e+00,8.479e-02,1.416e-01,0.000e+00,3.30
1100,1100,6556,1.133e+00,4.000e-01,1.400e+00,3.292e+00,3.760e+00,2.242e+00,8.845e-01,1.655e-01,8.000e+01,2.086e+00,1.000e+00,1.700e+00,5.438e+00,3.652e+00,5.175e+00,1.091e-01,1.546e-01,0.000e+00,-2.019e+00,1.300e+00,8.000e-01,3.384e+00,3.604e+00,2.606e+00,5.977e-01,1.800e-01,0.000e+00,3.501e+00,5.000e-01,2.100e+00,2.479e+00,3.579e+00,1.397e+00,2.711e-01,8.111e-01,0.000e+00,3.00
1200,1200,7158,3.077e+00,8.000e-01,8.000e-01,5.363e+00,2.786e+00,4.266e+00,8.005e-01,2.962e-01,9.000e+01,6.294e+00,1.300e+00,7.000e-01,7.199e+00,2.505e+00,7.053e+00,4.113e-02,1.054e-01,0.000e+00,-1.719e+00,8.000e-01,1.000e+00,1.240e+00,4.659e+00,1.207e+00,4.943e-03,2.753e-02,0.000e+00,3.477e-01,2.000e-01,1.400e+00,3.729e-01,4.225e+00,2.997e-01,5.013e-02,2.308e-02,0.000e+00,2.20
1300,1300,7741,-1.269e+00,3.000e-01,9.000e-01,3.545e+00,4.514e+00,1.774e+00,8.337e-01,9.372e-01,8.000e+01,6.420e-01,1.000e+00,8.000e-01,6.165e+00,4.723e+00,5.776e+00,3.582e-01,3.107e-02,0.000e+00,1.581e+00,9.000e-01,9.000e-01,4.811e+00,4.529e+00,3.761e+00,5.955e-01,4.541e-01,0.000e+00,2.746e+00,8.000e-01,1.100e+00,4.062e+00,4.816e+00,3.211e+00,6.315e-01,2.194e-01,0.000e+00,2.60
1400,1400,8344,1.648e+00,1.000e-01,1.300e+00,8.644e-01,3.316e+00,5.907e-01,7.191e-02,2.018e-01,9.000e+01,2.781e+00,1.300e+00,5.000e-01,7.083e+00,2.702e+00,7.006e+00,6.427e-02,1.265e-02,0.000e+00,-1.114e+00,1.100e+00,9.000e-01,3.883e+00,3.197e+00,3.673e+00,8.905e-02,1.214e-01,0.000e+00,3.585e+00,3.000e-01,1.700e+00,1.913e+00,4.527e+00,1.437e+00,1.258e-01,3.503e-01,0.000e+00,2.30
1500,1500,8867,-4.575e-01,3.000e-01,9.000e-01,3.027e+00,6.185e+00,1.759e+00,1.243e+00,2.550e-02,8.000e+01,3.211e+00,2.000e+00,4.000e-01,9.563e+00,4.652e+00,9.434e+00,1.238e-01,5.417e-03,0.000e+00,5.576e-01,6.000e-01,1.400e+00,6.506e+00,5.448e+00,3.462e+00,1.387e+00,1.658e+00,0.000e+00,1.089e+00,4.000e-01,2.100e+00,3.276e+00,6.087e+00,2.011e+00,3.458e-01,9.187e-01,0.000e+00,2.70
1600,1600,9462,-2.135e+00,4.000e-01,8.000e-01,2.091e+00,6.026e+00,2.075e+00,9.080e-03,6.626e-03,9.000e+01,2.360e+00,1.500e+00,4.000e-01,7.183e+00,3.523e+00,7.171e+00,9.245e-03,3.437e-03,0.000e+00,1.507e+00,8.000e-01,6.000e-01,4.893e+00,4.185e+00,4.372e+00,4.488e-01,7.193e-02,0.000e+00,7.068e+00,2.000e-01,1.400e+00,4.564e+00,4.996e+00,1.137e+00,1.260e+00,2.167e+00,0.000e+00,2.00
1700,1700,9940,-1.633e+00,1.000e-01,1.000e+00,6.089e-01,5.342e+00,5.432e-01,4.478e-02,2.094e-02,1.000e+02,1.341e+00,1.300e+00,6.000e-01,6.321e+00,3.280e+00,6.072e+00,2.385e-01,9.770e-03,0.000e+00,3.796e+00,1.000e+00,1.000e+00,5.829e+00,2.933e+00,5.701e+00,9.403e-03,1.188e-01,0.000e+00,4.097e+00,3.000e-01,1.100e+00,3.605e+00,4.808e+00,1.271e+00,1.255e+00,1.078e+00,0.000e+00,2.10
1800,1800,10380,-9.892e-01,1.000e-01,7.000e-01,7.307e-01,5.020e+00,5.964e-01,1.020e-01,3.230e-02,9.000e+01,7.974e-01,1.600e+00,3.000e-01,5.411e+00,2.913e+00,5.407e+00,3.065e-03,1.076e-03,0.000e+00,2.671e+00,1.100e+00,4.000e-01,6.368e+00,2.996e+00,6.009e+00,2.959e-01,6.237e-02,0.000e+00,5.720e+00,1.000e-01,1.800e+00,2.733e+00,4.313e+00,5.666e-01,5.893e-01,1.577e+00,0.000e+00,2.10
