episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,A4_reward_total,A4_n_lever,A4_n_door,A4_received,A4_given,A4_r-lever,A4_r-start,A4_r-door,A4_win_rate,steps_per_eps
100,100,897,-1.066e+02,1.000e-01,4.300e+00,2.444e+01,1.320e+02,3.254e-01,0.000e+00,2.411e+01,2.000e+01,4.121e+01,8.000e-01,2.000e-01,5.749e+01,1.457e+01,1.033e+01,4.476e+01,2.396e+00,0.000e+00,2.184e+01,2.800e+00,7.000e-01,4.540e+01,2.136e+01,2.867e+01,9.476e+00,7.258e+00,0.000e+00,3.791e+01,2.600e+00,1.100e+00,5.630e+01,1.569e+01,3.358e+01,8.595e+00,1.412e+01,0.000e+00,4.40
200,200,1829,-1.119e+02,3.000e-01,3.800e+00,1.929e+01,1.320e+02,3.595e-01,3.180e-01,1.861e+01,2.000e+01,4.901e+01,9.000e-01,6.000e-01,6.012e+01,9.010e+00,1.221e+01,3.987e+01,8.039e+00,0.000e+00,2.297e+01,2.100e+00,1.300e+00,4.528e+01,1.931e+01,2.167e+01,1.031e+01,1.331e+01,0.000e+00,3.334e+01,1.000e+00,6.000e-01,4.979e+01,1.415e+01,1.129e+01,3.174e+01,6.751e+00,0.000e+00,4.40
300,300,2769,-1.264e+02,2.000e-01,4.700e+00,2.481e+01,1.500e+02,5.852e-02,4.654e-02,2.470e+01,0.000e+00,4.876e+01,6.000e-01,9.000e-01,5.997e+01,8.719e+00,6.813e+00,4.280e+01,1.036e+01,0.000e+00,2.703e+01,2.500e+00,1.300e+00,5.053e+01,2.080e+01,2.527e+01,1.210e+01,1.317e+01,0.000e+00,4.041e+01,1.700e+00,1.300e+00,5.657e+01,1.236e+01,1.947e+01,2.244e+01,1.465e+01,0.000e+00,5.00
400,400,3701,-1.158e+02,3.000e-01,4.200e+00,2.345e+01,1.380e+02,8.331e-02,2.935e-02,2.334e+01,1.000e+01,4.133e+01,1.100e+00,7.000e-01,5.095e+01,8.017e+00,1.195e+01,3.147e+01,7.529e+00,0.000e+00,2.422e+01,2.300e+00,1.300e+00,4.619e+01,1.898e+01,2.309e+01,1.005e+01,1.305e+01,0.000e+00,4.151e+01,1.600e+00,7.000e-01,5.247e+01,8.069e+00,1.826e+01,2.630e+01,7.922e+00,0.000e+00,4.60
500,500,4661,-1.287e+02,1.000e-01,4.900e+00,2.240e+01,1.500e+02,3.191e-03,0.000e+00,2.240e+01,0.000e+00,4.692e+01,6.000e-01,3.000e-01,5.673e+01,8.413e+00,6.582e+00,4.693e+01,3.213e+00,0.000e+00,3.034e+01,1.700e+00,1.500e+00,5.018e+01,1.664e+01,1.708e+01,1.803e+01,1.507e+01,0.000e+00,4.294e+01,1.400e+00,1.200e+00,5.450e+01,8.758e+00,1.545e+01,2.612e+01,1.294e+01,0.000e+00,5.00
600,600,5589,-1.244e+02,1.000e-01,4.900e+00,2.672e+01,1.500e+02,9.830e-03,0.000e+00,2.671e+01,0.000e+00,4.226e+01,2.000e-01,1.200e+00,5.326e+01,9.199e+00,2.135e+00,3.882e+01,1.231e+01,0.000e+00,3.385e+01,3.100e+00,1.000e+00,5.008e+01,1.363e+01,3.105e+01,9.013e+00,1.001e+01,0.000e+00,3.997e+01,1.300e+00,2.200e+00,5.220e+01,9.432e+00,1.374e+01,1.569e+01,2.277e+01,0.000e+00,5.00
700,700,6528,-1.459e+02,2.000e-01,4.800e+00,5.313e+00,1.500e+02,1.858e-03,0.000e+00,5.311e+00,0.000e+00,4.239e+01,6.000e-01,2.100e+00,5.045e+01,5.358e+00,6.093e+00,2.329e+01,2.107e+01,0.000e+00,4.600e+01,2.000e+00,1.600e+00,5.051e+01,1.205e+00,2.026e+01,1.406e+01,1.619e+01,0.000e+00,4.709e+01,1.200e+00,1.000e+00,5.039e+01,9.524e-02,1.212e+01,2.820e+01,1.007e+01,0.000e+00,5.00
800,800,7500,-1.460e+02,4.000e-01,4.600e+00,5.388e+00,1.500e+02,3.189e-03,0.000e+00,5.385e+00,0.000e+00,4.159e+01,3.000e-01,2.800e+00,5.016e+01,5.166e+00,3.007e+00,1.909e+01,2.807e+01,0.000e+00,4.613e+01,1.300e+00,1.700e+00,5.013e+01,6.019e-01,1.304e+01,2.003e+01,1.706e+01,0.000e+00,4.759e+01,1.100e+00,5.000e-01,5.017e+01,7.623e-02,1.106e+01,3.410e+01,5.011e+00,0.000e+00,5.00
900,900,8462,-1.250e+02,1.000e-01,4.400e+00,9.101e+00,1.350e+02,7.598e-04,0.000e+00,9.100e+00,2.000e+01,3.431e+01,5.000e-01,2.600e+00,4.516e+01,8.143e+00,5.038e+00,1.407e+01,2.605e+01,0.000e+00,4.085e+01,2.400e+00,1.000e+00,4.508e+01,1.426e+00,2.405e+01,1.101e+01,1.001e+01,0.000e+00,4.283e+01,1.200e+00,7.000e-01,4.529e+01,5.700e-02,1.213e+01,2.614e+01,7.019e+00,0.000e+00,4.50
1000,1000,9454,-1.342e+02,0.000e+00,4.800e+00,1.676e+01,1.500e+02,0.000e+00,1.372e-02,1.674e+01,0.000e+00,3.823e+01,4.000e-01,2.400e+00,5.018e+01,8.646e+00,4.010e+00,2.208e+01,2.409e+01,0.000e+00,3.808e+01,2.000e+00,1.300e+00,5.005e+01,8.668e+00,2.002e+01,1.701e+01,1.302e+01,0.000e+00,4.803e+01,1.000e+00,4.000e-01,5.038e+01,4.750e-02,1.005e+01,3.630e+01,4.020e+00,0.000e+00,5.00
