episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,steps_per_eps
100,100,703,-5.381e-01,1.000e+00,1.100e+00,1.845e+00,3.483e+00,7.268e-01,5.779e-01,5.402e-01,7.000e+01,3.538e+00,7.000e-01,1.700e+00,3.483e+00,1.845e+00,7.412e-01,1.053e+00,1.689e+00,0.000e+00,3.60
200,200,1360,-8.145e-01,1.100e+00,1.100e+00,1.425e+00,2.939e+00,7.632e-01,2.748e-01,3.867e-01,7.000e+01,3.415e+00,1.100e+00,1.200e+00,2.939e+00,1.425e+00,1.066e+00,8.660e-01,1.007e+00,0.000e+00,3.60
300,300,1969,3.699e+00,6.000e-01,1.600e+00,8.347e-01,2.236e+00,4.523e-01,1.467e-01,2.358e-01,8.000e+01,5.015e-01,1.500e+00,6.000e-01,2.236e+00,8.347e-01,1.309e+00,6.629e-01,2.647e-01,0.000e+00,3.90
400,400,2649,4.521e+00,6.000e-01,1.600e+00,8.141e-01,2.393e+00,5.739e-01,8.474e-02,1.555e-01,9.000e+01,6.787e-01,1.400e+00,1.100e+00,2.393e+00,8.141e-01,1.596e+00,3.627e-01,4.336e-01,0.000e+00,3.70
500,500,3330,5.481e-01,8.000e-01,1.500e+00,9.199e-01,1.472e+00,7.479e-01,6.861e-02,1.034e-01,6.000e+01,1.452e+00,7.000e-01,1.700e+00,1.472e+00,9.199e-01,1.016e+00,1.852e-01,2.706e-01,0.000e+00,3.50
600,600,3907,1.555e+00,1.300e+00,1.700e+00,2.063e+00,2.308e+00,1.880e+00,3.831e-02,1.451e-01,8.000e+01,2.245e+00,1.000e+00,1.500e+00,2.308e+00,2.063e+00,1.812e+00,1.851e-01,3.111e-01,0.000e+00,3.80
700,700,4530,2.252e+00,5.000e-01,1.500e+00,9.392e-01,2.087e+00,8.389e-01,1.313e-02,8.716e-02,7.000e+01,1.248e+00,1.000e+00,1.800e+00,2.087e+00,9.392e-01,1.853e+00,1.280e-02,2.210e-01,0.000e+00,3.00
800,800,5140,3.456e+00,8.000e-01,9.000e-01,1.693e+00,1.137e+00,1.512e+00,6.002e-03,1.753e-01,1.000e+02,4.644e+00,5.000e-01,1.000e+00,1.137e+00,1.693e+00,9.814e-01,5.475e-02,1.007e-01,0.000e+00,2.00
900,900,5715,3.472e+00,6.000e-01,2.400e+00,1.382e+00,2.509e+00,1.131e+00,1.961e-02,2.313e-01,9.000e+01,7.277e-01,1.100e+00,1.900e+00,2.509e+00,1.382e+00,2.100e+00,1.330e-01,2.761e-01,0.000e+00,3.70
1000,1000,6342,3.854e+00,4.000e-01,1.800e+00,1.304e+00,2.050e+00,7.828e-01,2.002e-01,3.212e-01,8.000e+01,1.046e+00,9.000e-01,1.200e+00,2.050e+00,1.304e+00,1.712e+00,9.603e-02,2.422e-01,0.000e+00,3.10
1100,1100,6987,3.015e+00,6.000e-01,1.900e+00,2.114e+00,2.300e+00,1.178e+00,3.074e-01,6.289e-01,7.000e+01,4.853e-01,1.000e+00,1.700e+00,2.300e+00,2.114e+00,1.947e+00,6.418e-03,3.459e-01,0.000e+00,3.10
1200,1200,7606,3.099e+00,1.000e+00,1.500e+00,3.364e+00,2.165e+00,1.972e+00,4.205e-02,1.351e+00,6.000e+01,-2.099e+00,9.000e-01,1.700e+00,2.165e+00,3.364e+00,1.755e+00,8.914e-03,4.013e-01,0.000e+00,3.60
1300,1300,8237,2.685e+00,8.000e-01,1.400e+00,2.572e+00,1.387e+00,1.585e+00,1.018e-02,9.762e-01,8.000e+01,2.515e+00,7.000e-01,1.600e+00,1.387e+00,2.572e+00,1.358e+00,4.050e-03,2.523e-02,0.000e+00,2.80
1400,1400,8847,2.464e+00,5.000e-01,2.200e+00,1.852e+00,1.688e+00,9.930e-01,4.546e-01,4.049e-01,6.000e+01,-2.642e-01,8.000e-01,2.000e+00,1.688e+00,1.852e+00,1.506e+00,1.352e-01,4.719e-02,0.000e+00,3.50
1500,1500,9436,1.512e+00,9.000e-01,1.400e+00,2.789e+00,1.477e+00,1.782e+00,8.048e-01,2.022e-01,7.000e+01,1.788e+00,7.000e-01,2.100e+00,1.477e+00,2.789e+00,1.390e+00,1.174e-02,7.551e-02,0.000e+00,3.60
1600,1600,10037,1.326e+00,9.000e-01,2.000e+00,3.145e+00,1.219e+00,1.782e+00,5.999e-01,7.633e-01,7.000e+01,1.074e+00,5.000e-01,2.700e+00,1.219e+00,3.145e+00,9.858e-01,1.851e-01,4.809e-02,0.000e+00,3.90
1700,1700,10697,1.036e+00,6.000e-01,1.700e+00,1.204e+00,1.468e+00,1.192e+00,8.658e-03,2.765e-03,8.000e+01,3.764e+00,5.000e-01,2.100e+00,1.468e+00,1.204e+00,9.970e-01,2.691e-01,2.016e-01,0.000e+00,3.20
1800,1800,11320,-2.742e-01,1.000e+00,1.900e+00,2.566e+00,1.640e+00,1.987e+00,3.597e-03,5.751e-01,8.000e+01,4.574e+00,4.000e-01,2.200e+00,1.640e+00,2.566e+00,7.951e-01,4.164e-01,4.283e-01,0.000e+00,3.40
1900,1900,11934,2.968e+00,3.000e-01,2.000e+00,5.975e-01,1.529e+00,5.946e-01,1.368e-03,1.512e-03,8.000e+01,2.332e+00,7.000e-01,1.500e+00,1.529e+00,5.975e-01,1.350e+00,1.477e-01,3.153e-02,0.000e+00,2.60
2000,2000,12561,1.707e+00,7.000e-01,1.500e+00,2.007e+00,4.004e-01,1.395e+00,2.099e-01,4.026e-01,8.000e+01,3.493e+00,2.000e-01,2.000e+00,4.004e-01,2.007e+00,3.939e-01,4.729e-03,1.720e-03,0.000e+00,2.80
2100,2100,13197,1.934e+00,2.000e-01,2.200e+00,1.596e+00,2.262e+00,3.979e-01,4.610e-03,1.193e+00,4.000e+01,-1.434e+00,8.000e-01,2.000e+00,2.262e+00,1.596e+00,1.594e+00,6.008e-01,6.729e-02,0.000e+00,3.70
2200,2200,13839,-6.007e-01,7.000e-01,2.000e+00,2.794e+00,1.994e+00,1.394e+00,2.011e-01,1.198e+00,5.000e+01,1.601e+00,7.000e-01,2.100e+00,1.994e+00,2.794e+00,1.394e+00,4.002e-01,2.006e-01,0.000e+00,3.50
2300,2300,14497,1.597e+00,6.000e-01,2.000e+00,2.591e+00,7.940e-01,1.194e+00,5.999e-01,7.970e-01,6.000e+01,9.028e-01,3.000e-01,2.900e+00,7.940e-01,2.591e+00,5.980e-01,2.502e-03,1.934e-01,0.000e+00,3.40
2400,2400,15126,1.283e+00,6.000e-01,1.900e+00,1.593e+00,4.101e-01,1.194e+00,7.738e-04,3.981e-01,7.000e+01,2.417e+00,2.000e-01,2.200e+00,4.101e-01,1.593e+00,3.982e-01,8.744e-03,3.112e-03,0.000e+00,3.00
2500,2500,15768,5.062e-01,5.000e-01,2.000e+00,9.995e-01,7.933e-01,9.980e-01,6.986e-04,7.606e-04,7.000e+01,3.294e+00,3.000e-01,2.400e+00,7.933e-01,9.995e-01,5.961e-01,3.045e-03,1.941e-01,0.000e+00,3.10
2600,2600,16410,1.989e+00,1.000e-01,3.200e+00,2.008e-01,8.121e-01,1.991e-01,6.623e-04,1.083e-03,5.000e+01,-1.887e-01,4.000e-01,2.700e+00,8.121e-01,2.008e-01,7.976e-01,8.173e-03,6.313e-03,0.000e+00,3.70
2700,2700,17071,1.293e+00,8.000e-01,1.200e+00,1.999e+00,1.006e+00,1.597e+00,2.013e-01,2.006e-01,8.000e+01,3.507e+00,4.000e-01,1.900e+00,1.006e+00,1.999e+00,7.986e-01,2.155e-03,2.051e-01,0.000e+00,2.60
2800,2800,17696,1.771e+00,5.000e-01,2.200e+00,9.984e-01,6.270e-01,9.975e-01,1.240e-04,7.279e-04,8.000e+01,3.529e+00,3.000e-01,2.300e+00,6.270e-01,9.984e-01,5.983e-01,2.307e-02,5.595e-03,0.000e+00,2.90
2900,2900,18312,3.834e-01,6.000e-01,2.700e+00,2.196e+00,1.013e+00,1.198e+00,2.951e-04,9.981e-01,5.000e+01,1.617e+00,3.000e-01,3.000e+00,1.013e+00,2.196e+00,5.990e-01,1.838e-02,3.955e-01,0.000e+00,3.60
3000,3000,18932,2.998e+00,7.000e-01,1.800e+00,1.798e+00,1.200e+00,1.398e+00,8.840e-04,3.989e-01,8.000e+01,2.202e+00,5.000e-01,2.100e+00,1.200e+00,1.798e+00,9.979e-01,8.475e-03,1.934e-01,0.000e+00,3.10
3100,3100,19539,3.296e+00,3.000e-01,2.200e+00,1.399e+00,8.027e-01,5.995e-01,2.956e-04,7.991e-01,6.000e+01,1.039e-01,4.000e-01,2.100e+00,8.027e-01,1.399e+00,7.984e-01,2.810e-03,1.548e-03,0.000e+00,2.80
