episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,A4_reward_total,A4_n_lever,A4_n_door,A4_received,A4_given,A4_r-lever,A4_r-start,A4_r-door,A4_win_rate,steps_per_eps
100,100,654,-9.969e+01,3.000e-01,3.000e-01,2.115e+00,1.020e+02,2.587e-01,1.568e+00,2.874e-01,4.000e+01,2.848e+01,7.000e-01,1.800e+00,3.705e+01,8.573e+00,7.659e+00,9.878e+00,1.951e+01,0.000e+00,3.669e+01,8.000e-01,2.200e+00,4.262e+01,4.726e+00,1.001e+01,4.996e+00,2.761e+01,0.000e+00,3.221e+01,8.000e-01,1.000e+00,3.912e+01,5.601e+00,9.292e+00,1.819e+01,1.163e+01,0.000e+00,3.40
200,200,1328,-1.100e+02,2.000e-01,2.000e-01,1.597e+00,1.110e+02,1.230e-01,1.361e+00,1.135e-01,4.000e+01,3.173e+01,9.000e-01,1.900e+00,3.928e+01,6.245e+00,9.721e+00,9.509e+00,2.005e+01,0.000e+00,3.988e+01,4.000e-01,2.900e+00,4.197e+01,2.492e+00,4.594e+00,4.591e+00,3.279e+01,0.000e+00,3.669e+01,5.000e-01,1.800e+00,4.044e+01,3.551e+00,5.525e+00,1.510e+01,1.982e+01,0.000e+00,3.70
300,300,2041,-1.317e+02,1.000e-01,6.000e-01,3.487e+00,1.350e+02,1.007e-01,2.799e+00,5.877e-01,2.000e+01,3.681e+01,5.000e-01,1.800e+00,4.599e+01,6.277e+00,5.211e+00,2.244e+01,1.833e+01,0.000e+00,4.532e+01,4.000e-01,3.700e+00,4.848e+01,1.961e+00,4.342e+00,4.249e+00,3.989e+01,0.000e+00,4.208e+01,1.100e+00,2.000e+00,4.811e+01,2.828e+00,1.188e+01,1.482e+01,2.140e+01,0.000e+00,4.50
400,400,2736,-1.445e+02,4.000e-01,3.000e-01,6.862e+00,1.500e+02,1.062e+00,5.056e+00,7.445e-01,0.000e+00,3.851e+01,4.000e-01,2.600e+00,5.193e+01,1.062e+01,4.219e+00,2.088e+01,2.684e+01,0.000e+00,4.980e+01,0.000e+00,4.400e+00,5.681e+01,5.413e+00,0.000e+00,6.904e+00,4.991e+01,0.000e+00,4.723e+01,7.000e-01,2.300e+00,5.661e+01,6.189e+00,8.103e+00,2.231e+01,2.620e+01,0.000e+00,5.00
500,500,3513,-1.459e+02,3.000e-01,4.000e-01,5.520e+00,1.500e+02,7.277e-01,3.910e+00,8.825e-01,0.000e+00,3.675e+01,1.000e-01,8.000e-01,5.087e+01,1.271e+01,1.034e+00,4.169e+01,8.138e+00,0.000e+00,5.307e+01,1.000e-01,4.800e+00,5.981e+01,5.438e+00,1.205e+00,1.200e+00,5.740e+01,0.000e+00,4.825e+01,6.000e-01,2.800e+00,5.886e+01,6.903e+00,7.172e+00,1.847e+01,3.322e+01,0.000e+00,5.00
600,600,4338,-1.359e+02,2.000e-01,4.000e-01,1.529e+01,1.500e+02,7.524e-01,1.299e+01,1.543e+00,0.000e+00,3.825e+01,2.000e-01,1.000e+00,5.254e+01,1.270e+01,2.161e+00,3.984e+01,1.054e+01,0.000e+00,4.753e+01,1.000e-01,4.500e+00,5.916e+01,1.023e+01,1.224e+00,4.629e+00,5.331e+01,0.000e+00,4.294e+01,8.000e-01,1.600e+00,5.703e+01,1.109e+01,9.428e+00,2.898e+01,1.862e+01,0.000e+00,5.00
700,700,5196,-1.227e+02,2.000e-01,3.000e-01,2.831e+01,1.500e+02,1.059e+00,2.565e+01,1.596e+00,0.000e+00,3.614e+01,3.000e-01,1.500e+00,5.041e+01,1.207e+01,3.053e+00,3.229e+01,1.507e+01,0.000e+00,4.764e+01,0.000e+00,4.900e+00,5.894e+01,1.030e+01,0.000e+00,1.169e+00,5.777e+01,0.000e+00,3.202e+01,2.000e-01,1.600e+00,5.062e+01,1.590e+01,2.098e+00,3.224e+01,1.628e+01,0.000e+00,5.00
800,800,6068,-1.101e+02,4.000e-01,2.000e-01,1.688e+01,1.260e+02,1.740e+00,1.426e+01,8.825e-01,2.000e+01,2.936e+01,1.000e-01,1.700e+00,4.223e+01,1.107e+01,1.036e+00,2.413e+01,1.706e+01,0.000e+00,4.730e+01,0.000e+00,4.000e+00,5.475e+01,8.449e+00,0.000e+00,2.527e+00,5.222e+01,0.000e+00,3.056e+01,1.000e-01,5.000e-01,4.271e+01,1.105e+01,1.049e+00,3.656e+01,5.103e+00,0.000e+00,4.20
900,900,7003,-1.286e+02,4.000e-01,1.000e-01,1.338e+01,1.410e+02,1.378e+00,1.171e+01,2.932e-01,1.000e+01,3.537e+01,4.000e-01,1.000e+00,4.712e+01,1.036e+01,4.038e+00,3.305e+01,1.003e+01,0.000e+00,5.214e+01,0.000e+00,4.400e+00,6.181e+01,9.274e+00,0.000e+00,3.831e+00,5.798e+01,0.000e+00,3.711e+01,1.000e-01,8.000e-01,4.789e+01,9.579e+00,1.054e+00,3.857e+01,8.265e+00,0.000e+00,4.70
1000,1000,7949,-1.386e+02,1.000e-01,1.000e-01,1.183e+01,1.500e+02,2.501e-01,1.137e+01,2.119e-01,0.000e+00,3.789e+01,1.000e-01,1.900e+00,5.007e+01,9.983e+00,1.002e+00,3.006e+01,1.901e+01,0.000e+00,5.488e+01,0.000e+00,4.900e+00,6.564e+01,9.761e+00,0.000e+00,1.255e+00,6.439e+01,0.000e+00,4.000e+01,2.000e-01,1.400e+00,5.200e+01,9.798e+00,2.125e+00,3.533e+01,1.454e+01,0.000e+00,5.00
1100,1100,8869,-1.400e+02,2.000e-01,1.000e-01,1.059e+01,1.500e+02,4.474e-01,9.962e+00,1.787e-01,0.000e+00,3.773e+01,5.000e-01,2.800e+00,5.007e+01,9.540e+00,5.009e+00,1.704e+01,2.802e+01,0.000e+00,5.605e+01,0.000e+00,5.000e+00,6.642e+01,9.371e+00,0.000e+00,0.000e+00,6.642e+01,0.000e+00,3.983e+01,1.000e-01,1.200e+00,5.145e+01,9.626e+00,1.060e+00,3.806e+01,1.233e+01,0.000e+00,5.00
1200,1200,9812,-1.413e+02,2.000e-01,2.000e-01,9.489e+00,1.500e+02,3.128e-01,8.985e+00,1.913e-01,0.000e+00,4.065e+01,3.000e-01,2.900e+00,5.015e+01,6.702e+00,3.015e+00,1.806e+01,2.907e+01,0.000e+00,5.277e+01,0.000e+00,5.000e+00,6.168e+01,7.910e+00,0.000e+00,0.000e+00,6.168e+01,0.000e+00,4.090e+01,2.000e-01,1.600e+00,5.130e+01,8.006e+00,2.050e+00,3.269e+01,1.656e+01,0.000e+00,5.00
1300,1300,10769,-1.472e+02,1.000e-01,3.000e-01,3.592e+00,1.500e+02,4.737e-02,3.447e+00,9.732e-02,0.000e+00,4.606e+01,5.000e-01,2.300e+00,5.013e+01,1.669e+00,5.027e+00,2.204e+01,2.305e+01,0.000e+00,4.851e+01,0.000e+00,4.900e+00,5.324e+01,3.531e+00,0.000e+00,1.030e+00,5.221e+01,0.000e+00,4.494e+01,2.000e-01,2.500e+00,5.067e+01,2.425e+00,2.053e+00,2.328e+01,2.534e+01,0.000e+00,5.00
1400,1400,11731,-1.504e+02,3.000e-01,2.000e-01,5.770e-01,1.500e+02,3.645e-02,5.285e-01,1.205e-02,0.000e+00,4.614e+01,2.000e-01,2.700e+00,5.010e+01,1.060e+00,2.013e+00,2.104e+01,2.704e+01,0.000e+00,5.026e+01,1.000e-01,4.600e+00,5.235e+01,5.979e-01,1.041e+00,3.071e+00,4.824e+01,0.000e+00,4.553e+01,1.000e-01,2.700e+00,5.040e+01,1.770e+00,1.022e+00,2.217e+01,2.721e+01,0.000e+00,5.00
