episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,steps_per_eps
100,100,610,-2.267e+01,3.000e-01,2.300e+00,2.128e+00,3.200e+01,2.129e-01,4.382e-01,1.477e+00,8.000e+01,2.797e+01,1.300e+00,7.000e-01,3.200e+01,2.128e+00,1.300e+01,1.200e+01,7.000e+00,0.000e+00,3.20
200,200,1226,-1.926e+01,2.000e-01,2.200e+00,1.437e+00,2.800e+01,1.149e-01,2.398e-01,1.082e+00,8.000e+01,2.436e+01,1.200e+00,7.000e-01,2.800e+01,1.437e+00,1.200e+01,9.000e+00,7.000e+00,0.000e+00,2.80
300,300,1851,-1.972e+01,1.000e-01,2.300e+00,9.846e-01,2.800e+01,4.420e-02,1.812e-01,7.592e-01,9.000e+01,2.622e+01,1.000e+00,8.000e-01,2.800e+01,9.846e-01,1.000e+01,1.000e+01,8.000e+00,0.000e+00,2.80
400,400,2474,-3.823e+01,2.000e-01,3.700e+00,1.072e+00,4.300e+01,6.701e-02,1.248e-01,8.803e-01,5.000e+01,3.973e+01,7.000e-01,1.900e+00,4.300e+01,1.072e+00,7.000e+00,1.700e+01,1.900e+01,0.000e+00,4.30
500,500,3135,-3.450e+01,2.000e-01,3.400e+00,6.047e-01,4.000e+01,5.111e-02,9.199e-02,4.616e-01,6.000e+01,3.710e+01,8.000e-01,1.800e+00,4.000e+01,6.047e-01,8.000e+00,1.400e+01,1.800e+01,0.000e+00,4.00
600,600,3821,-3.183e+01,3.000e-01,3.100e+00,2.683e-01,3.500e+01,3.820e-02,1.240e-02,2.177e-01,5.000e+01,3.413e+01,4.000e-01,1.100e+00,3.500e+01,2.683e-01,4.000e+00,2.000e+01,1.100e+01,0.000e+00,3.50
700,700,4504,-3.384e+01,2.000e-01,3.400e+00,1.620e-01,3.700e+01,1.738e-02,8.157e-03,1.365e-01,5.000e+01,3.624e+01,4.000e-01,1.700e+00,3.700e+01,1.620e-01,4.000e+00,1.600e+01,1.700e+01,0.000e+00,3.70
800,800,5208,-3.706e+01,3.000e-01,3.400e+00,1.402e-01,4.000e+01,1.969e-02,1.798e-02,1.025e-01,5.000e+01,3.856e+01,4.000e-01,2.000e+00,4.000e+01,1.402e-01,4.000e+00,1.600e+01,2.000e+01,0.000e+00,4.00
900,900,5957,-3.709e+01,4.000e-01,3.200e+00,1.071e-01,3.800e+01,2.216e-02,9.445e-03,7.554e-02,4.000e+01,3.819e+01,3.000e-01,2.500e+00,3.800e+01,1.071e-01,3.000e+00,1.000e+01,2.500e+01,0.000e+00,3.80
1000,1000,6722,-3.995e+01,3.000e-01,3.200e+00,1.452e-01,4.100e+01,2.119e-02,4.029e-02,8.375e-02,4.000e+01,4.125e+01,2.000e-01,1.900e+00,4.100e+01,1.452e-01,2.000e+00,2.000e+01,1.900e+01,0.000e+00,4.10
