episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,A4_reward_total,A4_n_lever,A4_n_door,A4_received,A4_given,A4_r-lever,A4_r-start,A4_r-door,A4_win_rate,steps_per_eps
100,100,885,8.869e+00,1.600e+00,7.000e-01,2.245e+01,1.098e+01,7.559e+00,1.226e+01,2.633e+00,2.000e+01,-1.462e+01,5.000e-01,3.000e+00,4.880e+00,1.821e+01,6.505e-01,8.220e-01,3.408e+00,0.000e+00,-7.757e+00,2.500e+00,1.000e+00,1.080e+01,1.586e+01,6.118e+00,2.459e+00,2.225e+00,0.000e+00,5.213e+00,2.200e+00,1.300e+00,2.024e+01,1.333e+01,1.034e+01,4.433e+00,5.468e+00,0.000e+00,4.60
200,200,1791,8.512e+00,1.400e+00,1.200e+00,1.677e+01,5.554e+00,5.204e+00,7.620e+00,3.942e+00,2.000e+01,-7.342e+00,8.000e-01,3.100e+00,3.265e+00,9.507e+00,5.968e-01,4.353e-01,2.233e+00,0.000e+00,-3.845e+00,2.000e+00,1.600e+00,4.943e+00,5.388e+00,2.724e+00,9.733e-01,1.245e+00,0.000e+00,-6.925e+00,1.200e+00,2.600e+00,5.185e+00,9.710e+00,1.423e+00,1.122e+00,2.640e+00,0.000e+00,4.80
300,300,2699,7.840e+00,2.400e+00,1.000e+00,1.267e+01,1.826e+00,7.010e+00,3.062e+00,2.594e+00,5.000e+01,-3.594e+00,1.000e+00,2.400e+00,1.393e+00,5.087e+00,4.010e-01,1.688e-01,8.233e-01,0.000e+00,-3.256e+00,1.800e+00,1.400e+00,1.728e+00,2.084e+00,8.123e-01,4.165e-01,4.990e-01,0.000e+00,-7.289e+00,2.000e+00,1.900e+00,1.315e+00,8.104e+00,7.442e-01,1.685e-01,4.021e-01,0.000e+00,4.50
400,400,3612,4.966e+00,2.300e+00,1.000e+00,1.095e+01,2.283e+00,5.650e+00,3.471e+00,1.828e+00,1.000e+01,-8.015e+00,1.000e+00,3.100e+00,1.444e+00,6.759e+00,4.044e-01,7.422e-02,9.658e-01,0.000e+00,-1.221e+00,1.300e+00,2.000e+00,3.163e+00,1.885e+00,1.244e+00,9.152e-01,1.004e+00,0.000e+00,-8.030e+00,2.600e+00,1.500e+00,2.534e+00,7.164e+00,1.673e+00,2.880e-01,5.722e-01,0.000e+00,5.00
500,500,4519,9.204e-01,2.300e+00,1.000e+00,3.587e+00,1.267e+00,2.548e+00,6.412e-01,3.976e-01,3.000e+01,-3.949e+00,1.400e+00,2.100e+00,1.259e+00,4.408e+00,3.975e-01,1.774e-01,6.841e-01,0.000e+00,-7.246e-01,1.900e+00,1.300e+00,3.059e+00,5.833e-01,2.025e+00,5.122e-01,5.216e-01,0.000e+00,-4.547e+00,1.500e+00,1.800e+00,1.240e+00,2.887e+00,6.178e-01,3.080e-01,3.143e-01,0.000e+00,4.60
600,600,5409,8.536e+00,2.200e+00,1.100e+00,1.279e+01,1.255e+00,7.088e+00,3.023e+00,2.679e+00,5.000e+01,-3.826e+00,6.000e-01,2.900e+00,5.326e-01,5.859e+00,5.133e-02,7.561e-02,4.057e-01,0.000e+00,6.837e-01,2.400e+00,9.000e-01,3.229e+00,5.457e-01,2.389e+00,5.567e-01,2.841e-01,0.000e+00,-1.139e+01,1.900e+00,2.100e+00,6.034e-01,9.497e+00,4.325e-01,4.981e-02,1.211e-01,0.000e+00,4.60
700,700,6306,7.580e+00,1.400e+00,8.000e-01,1.309e+01,2.908e+00,5.266e+00,5.378e+00,2.445e+00,5.000e+01,-2.957e+00,3.000e-01,3.300e+00,7.579e-01,7.015e+00,5.638e-02,5.417e-02,6.474e-01,0.000e+00,-2.044e+00,1.700e+00,1.000e+00,2.974e+00,2.218e+00,2.056e+00,5.793e-01,3.389e-01,0.000e+00,-6.879e+00,2.400e+00,1.200e+00,3.404e+00,8.083e+00,2.816e+00,9.648e-02,4.913e-01,0.000e+00,3.90
800,800,7183,8.034e-01,1.100e+00,1.100e+00,5.013e+00,2.410e+00,2.572e+00,1.356e+00,1.085e+00,3.000e+01,-5.446e+00,9.000e-01,2.400e+00,1.020e+00,4.766e+00,2.967e-01,5.775e-02,6.653e-01,0.000e+00,-2.102e+00,1.600e+00,1.100e+00,1.163e+00,5.642e-01,8.560e-01,1.594e-01,1.474e-01,0.000e+00,-1.356e+00,1.700e+00,1.300e+00,3.303e+00,2.759e+00,2.281e+00,5.164e-01,5.066e-01,0.000e+00,4.10
900,900,8063,8.593e-01,1.900e+00,4.000e-01,5.689e+00,2.929e+00,4.707e+00,7.001e-01,2.810e-01,4.000e+01,-3.827e+00,1.000e+00,2.700e+00,8.841e-01,5.111e+00,3.229e-01,1.232e-02,5.489e-01,0.000e+00,-1.189e+00,1.400e+00,1.100e+00,2.103e+00,6.920e-01,1.593e+00,2.975e-01,2.130e-01,0.000e+00,-8.434e-01,2.300e+00,6.000e-01,3.223e+00,3.166e+00,2.733e+00,3.124e-01,1.776e-01,0.000e+00,4.00
1000,1000,8918,-1.457e+00,1.900e+00,7.000e-01,9.684e+00,8.942e+00,7.001e+00,2.290e+00,3.926e-01,1.000e+01,-3.930e+00,3.000e-01,3.900e+00,3.680e+00,6.611e+00,2.213e-01,4.124e-01,3.047e+00,0.000e+00,4.024e+00,2.000e+00,1.500e+00,8.311e+00,1.388e+00,5.392e+00,1.288e+00,1.631e+00,0.000e+00,-8.036e+00,2.300e+00,1.500e+00,1.286e+00,6.021e+00,1.068e+00,1.099e-01,1.074e-01,0.000e+00,4.80
