episode,step_train,step,A1_reward_total,A1_n_lever,A1_n_door,A1_received,A1_given,A1_r-lever,A1_r-start,A1_r-door,A1_win_rate,A2_reward_total,A2_n_lever,A2_n_door,A2_received,A2_given,A2_r-lever,A2_r-start,A2_r-door,A2_win_rate,A3_reward_total,A3_n_lever,A3_n_door,A3_received,A3_given,A3_r-lever,A3_r-start,A3_r-door,A3_win_rate,A4_reward_total,A4_n_lever,A4_n_door,A4_received,A4_given,A4_r-lever,A4_r-start,A4_r-door,A4_win_rate,steps_per_eps
100,100,578,5.759e+00,1.000e+00,1.400e+00,1.116e+01,7.103e+00,3.665e+00,2.990e+00,4.508e+00,7.000e+01,-3.488e+00,1.700e+00,6.000e-01,9.231e+00,1.052e+01,5.190e+00,2.568e+00,1.473e+00,0.000e+00,3.050e+00,4.000e-01,2.100e+00,8.480e+00,9.130e+00,1.330e+00,2.185e+00,4.965e+00,0.000e+00,-4.121e+00,1.600e+00,8.000e-01,7.437e+00,9.558e+00,3.965e+00,1.992e+00,1.479e+00,0.000e+00,3.30
200,200,1199,5.111e+00,9.000e-01,1.000e+00,7.902e+00,4.191e+00,3.583e+00,1.960e+00,2.359e+00,9.000e+01,-2.434e+00,8.000e-01,1.000e+00,3.771e+00,7.705e+00,1.585e+00,8.727e-01,1.314e+00,0.000e+00,8.356e+00,4.000e-01,1.500e+00,8.684e+00,4.928e+00,1.413e+00,2.065e+00,5.206e+00,0.000e+00,-2.934e+00,7.000e-01,6.000e-01,4.231e+00,7.764e+00,1.660e+00,1.757e+00,8.144e-01,0.000e+00,2.50
300,300,1820,1.626e+00,6.000e-01,1.300e+00,2.145e+00,3.018e+00,1.025e+00,5.392e-01,5.799e-01,7.000e+01,-1.696e+00,9.000e-01,1.100e+00,2.178e+00,4.374e+00,1.252e+00,4.026e-01,5.235e-01,0.000e+00,6.189e+00,7.000e-01,1.100e+00,8.427e+00,1.638e+00,2.450e+00,2.611e+00,3.365e+00,0.000e+00,-4.319e+00,6.000e-01,9.000e-01,2.207e+00,5.926e+00,1.318e+00,4.843e-01,4.048e-01,0.000e+00,2.60
400,400,2436,-5.599e-01,9.000e-01,2.100e+00,1.435e+00,3.795e+00,9.296e-01,1.840e-01,3.212e-01,5.000e+01,-4.402e+00,9.000e-01,1.800e+00,2.107e+00,4.309e+00,1.025e+00,6.023e-01,4.804e-01,0.000e+00,1.011e+01,7.000e-01,2.100e+00,1.089e+01,1.771e+00,2.322e+00,3.219e+00,5.344e+00,0.000e+00,-6.352e+00,1.100e+00,1.500e+00,3.793e+00,8.345e+00,2.955e+00,4.245e-01,4.134e-01,0.000e+00,3.90
500,500,3048,-2.657e+00,5.000e-01,2.100e+00,1.376e+00,2.933e+00,8.839e-01,2.967e-01,1.956e-01,5.000e+01,-4.243e+00,1.000e+00,2.200e+00,8.610e-01,2.704e+00,5.254e-01,1.334e-01,2.022e-01,0.000e+00,4.873e+00,8.000e-01,2.100e+00,7.949e+00,2.476e+00,1.593e+00,2.593e+00,3.763e+00,0.000e+00,-2.873e+00,1.200e+00,1.700e+00,6.255e+00,8.328e+00,5.423e+00,5.180e-01,3.133e-01,0.000e+00,4.30
600,600,3637,1.481e+00,7.000e-01,1.300e+00,2.785e+00,3.605e+00,2.132e+00,2.925e-01,3.607e-01,8.000e+01,-4.008e+00,1.000e+00,1.000e+00,1.943e+00,3.852e+00,1.555e+00,1.203e-01,2.681e-01,0.000e+00,3.803e+00,5.000e-01,1.700e+00,4.091e+00,3.388e+00,1.214e+00,6.321e-01,2.246e+00,0.000e+00,1.125e+00,1.400e+00,8.000e-01,7.527e+00,5.502e+00,7.317e+00,1.017e-01,1.087e-01,0.000e+00,2.60
700,700,4240,4.316e-01,7.000e-01,1.400e+00,4.236e+00,3.904e+00,2.995e+00,7.861e-01,4.552e-01,7.000e+01,-9.219e-01,9.000e-01,1.300e+00,3.175e+00,5.197e+00,1.764e+00,4.391e-01,9.725e-01,0.000e+00,-5.007e-02,5.000e-01,1.700e+00,3.763e+00,4.013e+00,1.216e+00,1.569e+00,9.782e-01,0.000e+00,1.140e+00,1.300e+00,1.200e+00,7.410e+00,5.470e+00,7.131e+00,1.573e-01,1.219e-01,0.000e+00,3.30
800,800,4819,3.762e+00,5.000e-01,2.000e+00,2.708e+00,3.446e+00,2.119e+00,1.693e-01,4.204e-01,9.000e+01,-2.654e+00,6.000e-01,1.100e+00,1.327e+00,6.480e+00,7.930e-01,1.614e-01,3.724e-01,0.000e+00,7.695e+00,8.000e-01,1.500e+00,9.361e+00,3.166e+00,3.710e+00,2.269e+00,3.382e+00,0.000e+00,-2.103e+00,1.500e+00,9.000e-01,4.854e+00,5.157e+00,4.824e+00,1.778e-02,1.192e-02,0.000e+00,2.90
900,900,5397,1.797e+00,4.000e-01,2.200e+00,3.412e+00,5.115e+00,2.073e+00,4.261e-01,9.127e-01,8.000e+01,-3.416e+00,8.000e-01,1.100e+00,2.890e+00,4.306e+00,1.819e+00,8.270e-01,2.436e-01,0.000e+00,-1.708e+00,5.000e-01,1.900e+00,3.391e-01,4.247e+00,1.944e-01,8.018e-02,6.461e-02,0.000e+00,5.027e+00,1.800e+00,5.000e-01,9.774e+00,2.747e+00,9.058e+00,6.702e-01,4.590e-02,0.000e+00,3.10
1000,1000,5953,-5.323e-01,7.000e-01,2.000e+00,2.553e+00,4.185e+00,2.226e+00,1.469e-01,1.799e-01,7.000e+01,-8.862e-01,5.000e-01,2.200e+00,2.134e+00,5.220e+00,1.288e+00,4.245e-01,4.210e-01,0.000e+00,7.387e-01,2.000e-01,2.700e+00,1.411e+00,5.572e+00,3.643e-01,4.750e-01,5.713e-01,0.000e+00,7.080e+00,1.900e+00,7.000e-01,1.035e+01,1.474e+00,9.924e+00,3.981e-01,3.169e-02,0.000e+00,3.40
