episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A2_given,A2_received,A2_reward_env,A2_reward_total
1000,1000,10000,1.000e+01,2.320e+00,-2.220e+00,-9.900e+00,2.320e+00,1.000e+01,-6.600e-01,7.020e+00
2000,2000,20000,1.000e+01,2.993e+00,-3.000e+00,-1.001e+01,2.993e+00,1.000e+01,0.000e+00,7.007e+00
3000,3000,30000,1.000e+01,2.995e+00,-2.960e+00,-9.965e+00,2.995e+00,1.000e+01,-2.000e-02,6.985e+00
4000,4000,40000,1.000e+01,2.982e+00,-2.920e+00,-9.938e+00,2.982e+00,1.000e+01,-4.000e-02,6.978e+00
5000,5000,50000,1.000e+01,1.946e+00,-3.000e+00,-1.105e+01,1.946e+00,1.000e+01,0.000e+00,8.054e+00
6000,6000,60000,1.000e+01,5.454e-02,-3.000e+00,-1.295e+01,5.454e-02,1.000e+01,0.000e+00,9.945e+00
7000,7000,70000,1.000e+01,2.280e-02,-3.000e+00,-1.298e+01,2.280e-02,1.000e+01,0.000e+00,9.977e+00
8000,8000,80000,1.000e+01,1.965e+00,-3.000e+00,-1.103e+01,1.965e+00,1.000e+01,0.000e+00,8.035e+00
9000,9000,90000,1.000e+01,2.323e+00,-3.000e+00,-1.068e+01,2.323e+00,1.000e+01,0.000e+00,7.677e+00
10000,10000,100000,1.000e+01,2.254e+00,-2.840e+00,-1.059e+01,2.254e+00,1.000e+01,-8.000e-02,7.666e+00
11000,11000,110000,1.000e+01,2.008e+00,-2.880e+00,-1.087e+01,2.008e+00,1.000e+01,-6.000e-02,7.932e+00
12000,12000,120000,1.000e+01,1.739e+00,-2.920e+00,-1.118e+01,1.739e+00,1.000e+01,-4.000e-02,8.221e+00
13000,13000,130000,1.000e+01,2.083e+00,-3.000e+00,-1.092e+01,2.083e+00,1.000e+01,0.000e+00,7.917e+00
14000,14000,140000,1.000e+01,1.417e+00,-2.840e+00,-1.142e+01,1.417e+00,1.000e+01,-8.000e-02,8.503e+00
15000,15000,150000,1.000e+01,2.668e+00,-2.880e+00,-1.021e+01,2.668e+00,1.000e+01,-6.000e-02,7.272e+00
16000,16000,160000,1.000e+01,2.690e+00,-3.000e+00,-1.031e+01,2.690e+00,1.000e+01,0.000e+00,7.310e+00
17000,17000,170000,1.000e+01,7.470e-02,-2.640e+00,-1.257e+01,7.470e-02,1.000e+01,-1.800e-01,9.745e+00
18000,18000,180000,1.000e+01,4.802e-02,-2.040e+00,-1.199e+01,4.802e-02,1.000e+01,-4.800e-01,9.472e+00
19000,19000,190000,1.000e+01,2.053e-02,-1.720e+00,-1.170e+01,2.053e-02,1.000e+01,-6.400e-01,9.339e+00
20000,20000,200000,1.000e+01,1.659e-02,-2.680e+00,-1.266e+01,1.659e-02,1.000e+01,-1.600e-01,9.823e+00
21000,21000,210000,1.000e+01,8.291e-03,-2.920e+00,-1.291e+01,8.291e-03,1.000e+01,-4.000e-02,9.952e+00
22000,22000,220000,1.000e+01,4.573e-03,-2.700e+00,-1.270e+01,4.573e-03,1.000e+01,-1.800e-01,9.815e+00
23000,23000,230000,1.000e+01,3.476e-03,-2.840e+00,-1.284e+01,3.476e-03,1.000e+01,-8.000e-02,9.917e+00
24000,24000,240000,1.000e+01,1.880e-03,-2.960e+00,-1.296e+01,1.880e-03,1.000e+01,-2.000e-02,9.978e+00
25000,25000,250000,1.000e+01,1.245e-03,-2.720e+00,-1.272e+01,1.245e-03,1.000e+01,-1.400e-01,9.859e+00
26000,26000,260000,1.000e+01,8.581e-04,-2.600e+00,-1.260e+01,8.581e-04,1.000e+01,-2.000e-01,9.799e+00
27000,27000,270000,1.000e+01,5.707e-04,-2.920e+00,-1.292e+01,5.707e-04,1.000e+01,-4.000e-02,9.959e+00
28000,28000,280000,1.000e+01,2.463e-04,-2.840e+00,-1.284e+01,2.463e-04,1.000e+01,-8.000e-02,9.920e+00
29000,29000,290000,1.000e+01,2.507e-04,-2.960e+00,-1.296e+01,2.507e-04,1.000e+01,-2.000e-02,9.980e+00
30000,30000,300000,1.000e+01,4.499e-04,-2.960e+00,-1.296e+01,4.499e-04,1.000e+01,-2.000e-02,9.980e+00
