episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A2_given,A2_received,A2_reward_env,A2_reward_total
1000,1000,10000,1.809e+00,2.375e+00,-1.340e+00,-7.741e-01,2.375e+00,1.809e+00,-1.100e+00,-1.666e+00
2000,2000,20000,2.875e+00,2.993e+00,-1.040e+00,-9.214e-01,2.993e+00,2.875e+00,-9.800e-01,-1.099e+00
3000,3000,30000,2.996e+00,2.996e+00,-1.000e+00,-1.000e+00,2.996e+00,2.996e+00,-1.000e+00,-1.000e+00
4000,4000,40000,2.876e+00,2.993e+00,-1.040e+00,-9.226e-01,2.993e+00,2.876e+00,-9.800e-01,-1.097e+00
5000,5000,50000,2.274e+00,2.699e+00,-1.000e+00,-5.757e-01,2.699e+00,2.274e+00,-1.000e+00,-1.424e+00
6000,6000,60000,4.750e-01,1.332e-01,-1.000e+00,-1.342e+00,1.332e-01,4.750e-01,-1.000e+00,-6.582e-01
7000,7000,70000,2.258e+00,1.177e-02,-1.000e+00,-3.247e+00,1.177e-02,2.258e+00,-1.000e+00,1.247e+00
8000,8000,80000,3.072e-01,8.010e-03,-1.000e+00,-1.299e+00,8.010e-03,3.072e-01,-1.000e+00,-7.008e-01
9000,9000,90000,3.661e-02,9.244e-03,-1.000e+00,-1.027e+00,9.244e-03,3.661e-02,-1.000e+00,-9.726e-01
10000,10000,100000,1.552e-02,4.939e-03,-1.000e+00,-1.011e+00,4.939e-03,1.552e-02,-1.000e+00,-9.894e-01
11000,11000,110000,9.980e-03,1.960e-03,-9.800e-01,-9.880e-01,1.960e-03,9.980e-03,-1.040e+00,-1.032e+00
12000,12000,120000,4.771e-03,2.533e+00,-9.400e-01,1.589e+00,2.533e+00,4.771e-03,-1.120e+00,-3.649e+00
13000,13000,130000,1.465e-03,3.025e-01,-1.000e+00,-6.990e-01,3.025e-01,1.465e-03,-1.000e+00,-1.301e+00
14000,14000,140000,8.106e-04,2.978e+00,-1.040e+00,1.938e+00,2.978e+00,8.106e-04,-9.800e-01,-3.958e+00
15000,15000,150000,2.560e+00,6.749e-01,-1.120e+00,-3.005e+00,6.749e-01,2.560e+00,-9.400e-01,9.452e-01
16000,16000,160000,6.341e-02,1.897e-02,-1.080e+00,-1.124e+00,1.897e-02,6.341e-02,-9.600e-01,-9.156e-01
17000,17000,170000,2.951e+00,5.848e-03,-1.000e+00,-3.946e+00,5.848e-03,2.951e+00,-1.000e+00,1.946e+00
18000,18000,180000,5.781e-02,0.000e+00,-8.000e-02,-1.378e-01,0.000e+00,5.781e-02,-2.960e+00,-2.902e+00
19000,19000,190000,2.820e-02,0.000e+00,0.000e+00,-2.820e-02,0.000e+00,2.820e-02,-3.000e+00,-2.972e+00
20000,20000,200000,1.328e-02,0.000e+00,-8.000e-02,-9.328e-02,0.000e+00,1.328e-02,-2.900e+00,-2.887e+00
21000,21000,210000,9.209e-03,0.000e+00,-8.000e-02,-8.921e-02,0.000e+00,9.209e-03,-2.960e+00,-2.951e+00
22000,22000,220000,1.370e-01,0.000e+00,0.000e+00,-1.370e-01,0.000e+00,1.370e-01,-3.000e+00,-2.863e+00
23000,23000,230000,2.795e+00,0.000e+00,0.000e+00,-2.795e+00,0.000e+00,2.795e+00,-3.000e+00,-2.051e-01
24000,24000,240000,6.393e-01,0.000e+00,0.000e+00,-6.393e-01,0.000e+00,6.393e-01,-3.000e+00,-2.361e+00
25000,25000,250000,2.609e-02,0.000e+00,0.000e+00,-2.609e-02,0.000e+00,2.609e-02,-3.000e+00,-2.974e+00
26000,26000,260000,1.053e-02,0.000e+00,0.000e+00,-1.053e-02,0.000e+00,1.053e-02,-3.000e+00,-2.989e+00
27000,27000,270000,2.853e+00,0.000e+00,0.000e+00,-2.853e+00,0.000e+00,2.853e+00,-3.000e+00,-1.466e-01
28000,28000,280000,7.140e-01,0.000e+00,0.000e+00,-7.140e-01,0.000e+00,7.140e-01,-3.000e+00,-2.286e+00
29000,29000,290000,1.885e-02,0.000e+00,0.000e+00,-1.885e-02,0.000e+00,1.885e-02,-3.000e+00,-2.981e+00
30000,30000,300000,6.527e-03,0.000e+00,0.000e+00,-6.527e-03,0.000e+00,6.527e-03,-3.000e+00,-2.993e+00
