episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A2_given,A2_received,A2_reward_env,A2_reward_total
1000,1000,10000,-5.000e+00,1.550e+00,-2.060e+00,4.490e+00,1.550e+00,-5.000e+00,-9.800e-01,-7.530e+00
2000,2000,20000,-5.000e+00,2.872e+00,-2.900e+00,4.972e+00,2.872e+00,-5.000e+00,-8.000e-02,-7.952e+00
3000,3000,30000,-5.000e+00,2.994e+00,-2.960e+00,5.034e+00,2.994e+00,-5.000e+00,-2.000e-02,-8.014e+00
4000,4000,40000,-5.000e+00,2.960e+00,-2.920e+00,5.040e+00,2.960e+00,-5.000e+00,-4.000e-02,-8.000e+00
5000,5000,50000,-5.000e+00,1.527e+00,-2.960e+00,3.567e+00,1.527e+00,-5.000e+00,-2.000e-02,-6.547e+00
6000,6000,60000,-5.000e+00,1.839e-02,-2.880e+00,2.138e+00,1.839e-02,-5.000e+00,-6.000e-02,-5.078e+00
7000,7000,70000,-5.000e+00,6.695e-03,-2.960e+00,2.047e+00,6.695e-03,-5.000e+00,-2.000e-02,-5.027e+00
8000,8000,80000,-5.000e+00,3.258e-03,-3.000e+00,2.003e+00,3.258e-03,-5.000e+00,0.000e+00,-5.003e+00
9000,9000,90000,-5.000e+00,2.990e-03,-2.960e+00,2.043e+00,2.990e-03,-5.000e+00,-2.000e-02,-5.023e+00
10000,10000,100000,-5.000e+00,2.140e-03,-3.000e+00,2.002e+00,2.140e-03,-5.000e+00,0.000e+00,-5.002e+00
11000,11000,110000,-5.000e+00,7.485e-04,-3.000e+00,2.001e+00,7.485e-04,-5.000e+00,0.000e+00,-5.001e+00
12000,12000,120000,-5.000e+00,4.616e-04,-2.920e+00,2.080e+00,4.616e-04,-5.000e+00,-4.000e-02,-5.040e+00
13000,13000,130000,-5.000e+00,2.060e-04,-3.000e+00,2.000e+00,2.060e-04,-5.000e+00,0.000e+00,-5.000e+00
14000,14000,140000,-5.000e+00,1.197e-04,-3.000e+00,2.000e+00,1.197e-04,-5.000e+00,0.000e+00,-5.000e+00
15000,15000,150000,-5.000e+00,2.444e-04,-3.000e+00,2.000e+00,2.444e-04,-5.000e+00,0.000e+00,-5.000e+00
16000,16000,160000,-5.000e+00,1.540e+00,-3.000e+00,3.540e+00,1.540e+00,-5.000e+00,0.000e+00,-6.540e+00
17000,17000,170000,-5.000e+00,7.226e-01,-3.000e+00,2.723e+00,7.226e-01,-5.000e+00,0.000e+00,-5.723e+00
18000,18000,180000,-5.000e+00,2.738e+00,-2.920e+00,4.818e+00,2.738e+00,-5.000e+00,-4.000e-02,-7.778e+00
19000,19000,190000,-5.000e+00,2.864e+00,-2.960e+00,4.904e+00,2.864e+00,-5.000e+00,-2.000e-02,-7.884e+00
20000,20000,200000,-5.000e+00,4.795e-01,-3.000e+00,2.479e+00,4.795e-01,-5.000e+00,0.000e+00,-5.479e+00
