episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A2_given,A2_received,A2_reward_env,A2_reward_total
1000,1000,10000,1.346e+00,1.045e+00,-1.360e+00,-1.661e+00,1.045e+00,1.346e+00,-1.540e+00,-1.239e+00
2000,2000,20000,2.204e+00,2.197e-03,-5.600e-01,-2.762e+00,2.197e-03,2.204e+00,-2.420e+00,-2.185e-01
3000,3000,30000,2.874e+00,4.446e-06,-8.000e-02,-2.954e+00,4.446e-06,2.874e+00,-2.900e+00,-2.626e-02
4000,4000,40000,2.988e+00,1.932e-06,-2.000e-02,-3.008e+00,1.932e-06,2.988e+00,-2.960e+00,2.779e-02
5000,5000,50000,3.219e-01,7.898e-06,-4.000e-02,-3.619e-01,7.898e-06,3.219e-01,-2.920e+00,-2.598e+00
6000,6000,60000,2.131e-02,7.709e-07,0.000e+00,-2.131e-02,7.709e-07,2.131e-02,-3.000e+00,-2.979e+00
7000,7000,70000,1.084e-02,7.753e-07,0.000e+00,-1.084e-02,7.753e-07,1.084e-02,-3.000e+00,-2.989e+00
8000,8000,80000,2.115e-01,7.703e-07,-8.000e-02,-2.915e-01,7.703e-07,2.115e-01,-2.960e+00,-2.748e+00
9000,9000,90000,2.850e+00,6.823e-07,0.000e+00,-2.850e+00,6.823e-07,2.850e+00,-3.000e+00,-1.498e-01
10000,10000,100000,7.236e-02,6.729e-07,0.000e+00,-7.236e-02,6.729e-07,7.236e-02,-3.000e+00,-2.928e+00
11000,11000,110000,4.349e-02,6.944e-07,-4.000e-02,-8.349e-02,6.944e-07,4.349e-02,-2.980e+00,-2.937e+00
12000,12000,120000,2.830e+00,4.356e-07,-4.000e-02,-2.870e+00,4.356e-07,2.830e+00,-2.980e+00,-1.502e-01
13000,13000,130000,2.273e+00,4.217e-07,0.000e+00,-2.273e+00,4.217e-07,2.273e+00,-3.000e+00,-7.273e-01
14000,14000,140000,5.557e-01,3.401e-07,0.000e+00,-5.557e-01,3.401e-07,5.557e-01,-3.000e+00,-2.444e+00
15000,15000,150000,4.990e-02,2.986e-07,0.000e+00,-4.990e-02,2.986e-07,4.990e-02,-3.000e+00,-2.950e+00
16000,16000,160000,1.565e-02,2.130e-07,0.000e+00,-1.565e-02,2.130e-07,1.565e-02,-3.000e+00,-2.984e+00
17000,17000,170000,1.209e-02,1.725e-07,0.000e+00,-1.209e-02,1.725e-07,1.209e-02,-3.000e+00,-2.988e+00
18000,18000,180000,1.782e-02,1.596e-07,0.000e+00,-1.782e-02,1.596e-07,1.782e-02,-3.000e+00,-2.982e+00
19000,19000,190000,5.802e-01,1.012e-07,-8.000e-02,-6.602e-01,1.012e-07,5.802e-01,-2.960e+00,-2.380e+00
20000,20000,200000,5.959e-01,6.745e-08,-1.200e-01,-7.159e-01,6.745e-08,5.959e-01,-2.940e+00,-2.344e+00
