episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A2_given,A2_received,A2_reward_env,A2_reward_total
1000,1000,10000,1.801e+00,9.174e-01,-9.800e-01,-1.863e+00,9.174e-01,1.801e+00,-1.820e+00,-9.368e-01
2000,2000,20000,2.990e+00,1.522e-04,-8.000e-02,-3.070e+00,1.522e-04,2.990e+00,-2.840e+00,1.500e-01
3000,3000,30000,2.993e+00,7.646e-06,-2.000e-02,-3.013e+00,7.646e-06,2.993e+00,-2.960e+00,3.251e-02
4000,4000,40000,2.924e+00,4.105e-06,0.000e+00,-2.924e+00,4.105e-06,2.924e+00,-3.000e+00,-7.602e-02
5000,5000,50000,2.360e-01,1.544e-05,-2.000e-02,-2.559e-01,1.544e-05,2.360e-01,-2.960e+00,-2.724e+00
6000,6000,60000,3.174e-02,4.185e-06,-2.000e-02,-5.174e-02,4.185e-06,3.174e-02,-2.960e+00,-2.928e+00
7000,7000,70000,1.248e-02,3.103e-06,0.000e+00,-1.247e-02,3.103e-06,1.248e-02,-3.000e+00,-2.988e+00
8000,8000,80000,4.022e-03,3.381e-06,-2.000e-02,-2.402e-02,3.381e-06,4.022e-03,-2.960e+00,-2.956e+00
9000,9000,90000,2.683e-03,2.916e-06,0.000e+00,-2.680e-03,2.916e-06,2.683e-03,-3.000e+00,-2.997e+00
10000,10000,100000,4.910e-01,3.037e-06,-2.000e-01,-6.910e-01,3.037e-06,4.910e-01,-2.900e+00,-2.409e+00
11000,11000,110000,8.017e-01,3.355e-06,-2.000e-02,-8.217e-01,3.355e-06,8.017e-01,-2.960e+00,-2.158e+00
12000,12000,120000,5.942e-01,1.490e-06,0.000e+00,-5.942e-01,1.490e-06,5.942e-01,-3.000e+00,-2.406e+00
13000,13000,130000,3.093e-02,1.387e-06,0.000e+00,-3.093e-02,1.387e-06,3.093e-02,-3.000e+00,-2.969e+00
14000,14000,140000,5.911e-01,1.254e-06,0.000e+00,-5.911e-01,1.254e-06,5.911e-01,-3.000e+00,-2.409e+00
15000,15000,150000,5.948e-01,1.066e-06,-8.000e-02,-6.748e-01,1.066e-06,5.948e-01,-2.960e+00,-2.365e+00
16000,16000,160000,2.920e+00,7.256e-07,-4.000e-02,-2.960e+00,7.256e-07,2.920e+00,-2.980e+00,-6.019e-02
17000,17000,170000,6.612e-01,4.909e-07,0.000e+00,-6.612e-01,4.909e-07,6.612e-01,-3.000e+00,-2.339e+00
18000,18000,180000,3.569e-01,4.434e-08,-8.000e-02,-4.369e-01,4.434e-08,3.569e-01,-2.960e+00,-2.603e+00
19000,19000,190000,5.788e-01,3.639e-08,-8.000e-02,-6.588e-01,3.639e-08,5.788e-01,-2.960e+00,-2.381e+00
20000,20000,200000,2.101e+00,2.745e-08,-4.000e-02,-2.141e+00,2.745e-08,2.101e+00,-2.980e+00,-8.790e-01
21000,21000,210000,6.172e-01,1.908e-08,0.000e+00,-6.172e-01,1.908e-08,6.172e-01,-3.000e+00,-2.383e+00
22000,22000,220000,5.915e-01,1.325e-08,0.000e+00,-5.915e-01,1.325e-08,5.915e-01,-3.000e+00,-2.409e+00
23000,23000,230000,5.808e-01,5.500e-09,-1.600e-01,-7.408e-01,5.500e-09,5.808e-01,-2.920e+00,-2.339e+00
24000,24000,240000,2.362e+00,0.000e+00,0.000e+00,-2.362e+00,0.000e+00,2.362e+00,-3.000e+00,-6.377e-01
25000,25000,250000,6.154e-01,0.000e+00,0.000e+00,-6.154e-01,0.000e+00,6.154e-01,-3.000e+00,-2.385e+00
26000,26000,260000,4.160e-01,0.000e+00,0.000e+00,-4.160e-01,0.000e+00,4.160e-01,-3.000e+00,-2.584e+00
27000,27000,270000,2.534e+00,0.000e+00,-4.000e-02,-2.574e+00,0.000e+00,2.534e+00,-2.980e+00,-4.460e-01
28000,28000,280000,2.172e+00,0.000e+00,0.000e+00,-2.172e+00,0.000e+00,2.172e+00,-3.000e+00,-8.283e-01
29000,29000,290000,6.137e-01,0.000e+00,0.000e+00,-6.137e-01,0.000e+00,6.137e-01,-3.000e+00,-2.386e+00
30000,30000,300000,3.000e-01,0.000e+00,0.000e+00,-3.000e-01,0.000e+00,3.000e-01,-3.000e+00,-2.700e+00
