episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A2_given,A2_received,A2_reward_env,A2_reward_total
1000,1000,10000,1.773e+00,2.748e-05,-5.200e-01,-2.293e+00,2.748e-05,1.773e+00,-2.740e+00,-9.666e-01
2000,2000,20000,2.759e+00,5.173e-06,-8.000e-02,-2.839e+00,5.173e-06,2.759e+00,-2.960e+00,-2.005e-01
3000,3000,30000,2.999e+00,2.093e-06,0.000e+00,-2.999e+00,2.093e-06,2.999e+00,-3.000e+00,-8.835e-04
4000,4000,40000,2.999e+00,8.837e-07,0.000e+00,-2.999e+00,8.837e-07,2.999e+00,-3.000e+00,-1.301e-03
5000,5000,50000,1.457e+00,1.688e-07,0.000e+00,-1.457e+00,1.688e-07,1.457e+00,-3.000e+00,-1.543e+00
6000,6000,60000,2.857e+00,0.000e+00,0.000e+00,-2.857e+00,0.000e+00,2.857e+00,-3.000e+00,-1.430e-01
7000,7000,70000,2.934e-01,0.000e+00,0.000e+00,-2.934e-01,0.000e+00,2.934e-01,-3.000e+00,-2.707e+00
8000,8000,80000,2.262e+00,0.000e+00,0.000e+00,-2.262e+00,0.000e+00,2.262e+00,-3.000e+00,-7.378e-01
9000,9000,90000,5.997e-01,0.000e+00,0.000e+00,-5.997e-01,0.000e+00,5.997e-01,-3.000e+00,-2.400e+00
10000,10000,100000,9.475e-02,0.000e+00,0.000e+00,-9.475e-02,0.000e+00,9.475e-02,-3.000e+00,-2.905e+00
11000,11000,110000,1.596e-02,0.000e+00,0.000e+00,-1.596e-02,0.000e+00,1.596e-02,-3.000e+00,-2.984e+00
12000,12000,120000,9.608e-03,0.000e+00,0.000e+00,-9.608e-03,0.000e+00,9.608e-03,-3.000e+00,-2.990e+00
13000,13000,130000,9.903e-03,0.000e+00,0.000e+00,-9.903e-03,0.000e+00,9.903e-03,-3.000e+00,-2.990e+00
14000,14000,140000,1.604e-02,0.000e+00,0.000e+00,-1.604e-02,0.000e+00,1.604e-02,-3.000e+00,-2.984e+00
15000,15000,150000,5.494e-02,0.000e+00,0.000e+00,-5.494e-02,0.000e+00,5.494e-02,-3.000e+00,-2.945e+00
16000,16000,160000,2.964e+00,0.000e+00,0.000e+00,-2.964e+00,0.000e+00,2.964e+00,-3.000e+00,-3.612e-02
17000,17000,170000,2.867e+00,0.000e+00,0.000e+00,-2.867e+00,0.000e+00,2.867e+00,-3.000e+00,-1.328e-01
18000,18000,180000,2.819e+00,0.000e+00,0.000e+00,-2.819e+00,0.000e+00,2.819e+00,-3.000e+00,-1.812e-01
19000,19000,190000,2.303e+00,0.000e+00,0.000e+00,-2.303e+00,0.000e+00,2.303e+00,-3.000e+00,-6.969e-01
20000,20000,200000,1.388e+00,0.000e+00,0.000e+00,-1.388e+00,0.000e+00,1.388e+00,-3.000e+00,-1.612e+00
