episode,step_train,step,A1_given,A1_received,A1_reward_env,A1_reward_total,A2_given,A2_received,A2_reward_env,A2_reward_total
1000,1000,10000,1.892e+00,7.403e-01,-9.000e-01,-2.051e+00,7.403e-01,1.892e+00,-1.920e+00,-7.685e-01
2000,2000,20000,2.992e+00,6.821e-02,-3.200e-01,-3.243e+00,6.821e-02,2.992e+00,-2.360e+00,5.634e-01
3000,3000,30000,2.994e+00,8.592e-01,-3.600e-01,-2.495e+00,8.592e-01,2.994e+00,-2.280e+00,-1.448e-01
4000,4000,40000,2.974e+00,3.495e-02,-3.400e-01,-3.279e+00,3.495e-02,2.974e+00,-2.320e+00,6.192e-01
5000,5000,50000,4.455e-01,2.427e-01,-4.000e-02,-2.428e-01,2.427e-01,4.455e-01,-2.920e+00,-2.717e+00
6000,6000,60000,2.363e-02,5.689e-02,-2.000e-02,1.326e-02,5.689e-02,2.363e-02,-2.960e+00,-2.993e+00
7000,7000,70000,7.740e-03,1.733e-03,0.000e+00,-6.007e-03,1.733e-03,7.740e-03,-3.000e+00,-2.994e+00
8000,8000,80000,2.592e-03,1.292e-02,-2.000e-02,-9.669e-03,1.292e-02,2.592e-03,-2.960e+00,-2.970e+00
9000,9000,90000,1.455e-03,2.939e-04,0.000e+00,-1.161e-03,2.939e-04,1.455e-03,-3.000e+00,-2.999e+00
10000,10000,100000,1.030e-03,1.234e-04,0.000e+00,-9.069e-04,1.234e-04,1.030e-03,-3.000e+00,-2.999e+00
11000,11000,110000,4.671e-03,1.180e-03,-2.000e-02,-2.349e-02,1.180e-03,4.671e-03,-2.960e+00,-2.957e+00
12000,12000,120000,2.839e+00,3.234e-05,-4.000e-02,-2.879e+00,3.234e-05,2.839e+00,-2.980e+00,-1.411e-01
13000,13000,130000,3.955e-01,2.339e-05,0.000e+00,-3.955e-01,2.339e-05,3.955e-01,-3.000e+00,-2.605e+00
14000,14000,140000,2.745e-01,1.694e-05,0.000e+00,-2.745e-01,1.694e-05,2.745e-01,-3.000e+00,-2.726e+00
15000,15000,150000,4.198e-02,1.342e-05,0.000e+00,-4.197e-02,1.342e-05,4.198e-02,-3.000e+00,-2.958e+00
16000,16000,160000,2.911e+00,7.088e-06,-4.000e-02,-2.951e+00,7.088e-06,2.911e+00,-2.980e+00,-6.875e-02
17000,17000,170000,6.341e-01,1.496e-06,0.000e+00,-6.341e-01,1.496e-06,6.341e-01,-3.000e+00,-2.366e+00
18000,18000,180000,5.931e-01,1.556e-07,-8.000e-02,-6.731e-01,1.556e-07,5.931e-01,-2.960e+00,-2.367e+00
19000,19000,190000,5.937e-01,1.500e-07,-1.600e-01,-7.537e-01,1.500e-07,5.937e-01,-2.920e+00,-2.326e+00
20000,20000,200000,2.483e+00,1.554e-04,-1.000e-01,-2.583e+00,1.554e-04,2.483e+00,-2.860e+00,-3.772e-01
21000,21000,210000,5.241e-01,4.451e-04,-8.000e-02,-6.036e-01,4.451e-04,5.241e-01,-2.840e+00,-2.316e+00
22000,22000,220000,4.186e-01,6.007e-02,-5.000e-01,-8.585e-01,6.007e-02,4.186e-01,-2.120e+00,-1.761e+00
23000,23000,230000,1.157e-01,5.965e-02,-6.000e-01,-6.560e-01,5.965e-02,1.157e-01,-1.800e+00,-1.744e+00
24000,24000,240000,3.974e-01,5.731e-02,-7.600e-01,-1.100e+00,5.731e-02,3.974e-01,-1.780e+00,-1.440e+00
25000,25000,250000,2.966e+00,7.097e-07,-6.000e-01,-3.566e+00,7.097e-07,2.966e+00,-1.800e+00,1.166e+00
26000,26000,260000,6.533e-01,1.987e-06,-6.000e-01,-1.253e+00,1.987e-06,6.533e-01,-1.800e+00,-1.147e+00
27000,27000,270000,1.943e+00,2.853e-04,-8.800e-01,-2.822e+00,2.853e-04,1.943e+00,-1.660e+00,2.825e-01
28000,28000,280000,7.164e-01,7.406e-07,-6.000e-01,-1.316e+00,7.406e-07,7.164e-01,-1.800e+00,-1.084e+00
29000,29000,290000,6.174e-01,7.639e-08,-6.000e-01,-1.217e+00,7.639e-08,6.174e-01,-1.800e+00,-1.183e+00
30000,30000,300000,1.366e+00,3.078e-07,-6.400e-01,-2.006e+00,3.078e-07,1.366e+00,-1.780e+00,-4.140e-01
